ALUNO	MEDIA_PORTUGUES	MEDIA_MATEMATICA	MEDIA_QUIMICA	MEDIA_BIOLOGIA	MEDIA_FISICA	MEDIA_GEOGRAFIA	MEDIA_HISTORIA
041	7.2	8.0	6.1	6.3	5.9	8.4	7.1
042	7.9	7.1	6.3	5.8	6.3	8.7	6.8
043	7.5	7.4	6.1	7.2	7.1	7.9	7.7
044	8.2	7.3	6.6	7.7	7.7	9.6	8.5
045	5.9	7.1	7.7	7.2	7.3	6.0	6.9
046	8.1	8.9	8.3	8.2	7.9	8.4	7.4
047	7.3	7.9	7.7	7.1	8.1	8.3	6.7
048	8.1	7.4	7.5	9.5	8.1	7.9	8.6
049	7.4	8.1	6.8	8.8	7.5	7.0	9.0
050	7.2	7.1	6.5	6.4	7.2	7.9	6.7
051	7.8	6.3	7.6	4.7	6.7	8.3	4.8
052	7.8	7.5	7.1	8.2	7.2	7.5	8.7
053	7.0	7.0	7.8	8.8	8.3	7.4	8.1
054	8.2	8.7	7.7	7.7	7.5	8.9	7.9
055	9.2	6.6	6.7	7.1	7.7	8.0	7.7
056	8.2	8.1	7.3	7.7	7.2	7.5	7.5
057	5.8	6.2	8.3	7.5	7.3	6.7	8.0
058	6.9	8.2	9.1	7.6	8.1	6.9	6.6
059	8.2	8.1	7.7	8.7	7.3	7.9	8.1
060	7.7	6.8	6.8	7.1	8.0	7.8	7.0
061	9.0	8.8	7.3	7.8	7.9	8.5	7.7
062	7.0	7.6	8.0	7.6	7.8	7.5	7.3
063	7.8	7.6	6.4	7.7	6.4	7.2	8.6
064	7.4	6.9	6.4	6.9	6.8	6.7	8.4
065	8.8	8.5	7.7	7.8	8.6	8.4	6.2
066	7.5	7.2	7.7	7.8	7.9	8.0	7.6
067	6.7	10.0	9.5	8.2	10.0	6.9	5.6
068	7.9	6.9	8.3	8.3	8.4	7.4	7.6
069	7.0	8.2	7.3	8.0	6.9	7.2	8.1
070	7.9	8.3	8.9	7.0	7.5	6.8	7.4
071	7.0	6.4	6.8	7.1	6.7	7.7	7.6
072	9.5	6.4	6.1	7.5	6.9	8.2	8.7
073	7.3	6.5	8.4	8.4	8.7	7.6	6.7
074	8.1	8.5	7.5	8.4	8.8	7.3	7.0
075	8.7	7.7	8.1	8.7	8.0	7.4	9.3
076	7.2	7.8	8.1	7.9	9.3	7.9	7.4
077	9.7	7.1	6.5	6.7	5.6	8.2	8.6
078	5.6	8.3	9.3	8.0	8.8	3.9	5.9
079	8.0	6.4	7.1	8.4	7.8	5.8	7.6
080	7.3	7.6	8.4	7.3	7.7	6.7	7.7
081	8.4	6.2	7.1	7.3	7.4	7.8	7.7
082	8.6	8.7	8.0	7.7	7.1	8.3	8.2
083	8.1	7.8	7.5	8.8	8.2	8.1	7.9
084	6.4	9.3	6.7	5.9	8.3	8.4	5.9
085	6.2	6.3	7.0	7.4	6.9	6.9	7.7
086	6.0	8.1	8.6	6.9	8.1	6.4	6.3
087	6.4	7.3	7.1	7.8	7.7	7.0	7.2
088	6.4	6.6	8.7	8.2	8.0	7.8	8.0
089	8.0	7.1	7.7	7.3	8.0	7.0	7.3
090	7.8	5.5	7.1	7.6	7.3	7.5	8.2
091	9.3	8.1	6.8	9.0	6.6	9.6	9.5
092	7.7	7.9	7.3	5.9	8.1	8.0	4.9
093	6.7	8.0	8.6	8.3	8.4	6.5	7.4
094	8.1	8.2	7.5	7.1	7.6	7.5	6.7
095	7.3	7.9	7.4	7.5	7.7	6.8	7.1
096	7.9	8.2	7.7	7.4	8.3	8.7	6.5
097	8.4	6.8	7.7	7.8	7.5	9.3	8.4
098	8.6	7.8	8.1	9.1	8.4	8.5	8.8
099	8.0	6.8	7.6	10.0	8.7	7.1	10.0
100	6.5	8.1	9.2	8.2	9.0	7.2	8.1
101	8.5	6.9	6.6	5.9	7.1	7.0	6.1
102	7.2	7.4	7.7	8.0	6.8	7.8	8.5
103	7.3	8.6	7.4	7.7	7.1	7.7	7.4
104	9.1	9.3	9.3	8.8	7.6	8.8	9.2
105	7.9	8.0	8.0	7.1	6.5	8.4	8.5
106	6.2	8.4	9.1	8.4	7.9	6.2	7.8
107	8.6	6.7	6.2	8.6	7.0	8.0	9.3
108	6.3	6.8	8.2	7.8	7.5	7.9	7.4
109	6.9	9.3	8.4	8.0	8.1	7.6	7.3
110	9.6	7.0	6.0	7.5	7.5	7.5	7.4
111	8.3	8.4	7.4	8.9	8.5	8.0	8.6
112	8.7	9.2	7.9	9.0	7.6	9.2	8.7
113	8.7	7.0	6.8	6.5	5.4	7.8	7.0
114	9.4	9.4	7.2	8.0	7.6	9.3	8.2
115	6.9	9.3	8.0	4.5	7.3	7.4	5.0
116	5.9	8.3	8.3	7.4	8.5	8.2	7.2
117	6.0	8.4	8.8	8.8	9.2	6.0	6.0
118	6.8	7.5	7.4	7.9	7.6	7.6	7.5
119	6.8	8.2	8.8	8.3	9.0	6.3	7.2
120	7.9	8.7	7.2	6.7	8.2	9.4	6.3
121	6.2	7.5	7.5	6.6	7.4	6.3	7.2
122	6.7	7.8	9.1	7.4	9.0	6.3	5.7
123	10.0	7.7	6.6	7.6	7.3	10.0	8.6
124	8.4	7.0	7.5	8.6	8.2	8.0	7.7
125	8.4	8.7	7.5	7.6	8.3	9.3	7.2
126	8.5	7.5	6.9	6.8	6.9	8.2	7.9
127	6.2	7.0	7.3	6.5	7.2	5.2	6.7
128	7.3	6.4	7.3	6.7	7.1	6.7	6.8
129	9.2	7.7	7.0	7.0	7.2	7.1	7.4
130	9.1	7.1	6.3	7.2	6.2	7.4	7.2
131	5.4	7.1	6.7	8.3	8.3	6.6	8.9
132	9.1	6.5	6.8	7.8	8.1	9.6	7.8
133	8.1	7.8	7.8	8.0	7.8	5.9	7.5
134	9.0	7.1	7.1	7.7	6.8	8.9	8.2
135	6.6	7.8	7.3	6.6	6.7	7.9	6.9
136	8.8	6.7	6.5	7.3	6.3	8.1	8.4
137	7.3	7.4	8.2	7.9	7.6	7.7	8.0
138	7.4	7.7	7.5	6.6	7.7	7.3	6.5
139	8.6	9.7	10.0	8.9	9.1	8.2	6.6
140	7.1	7.7	7.2	8.6	8.8	7.4	8.4
141	6.6	5.8	6.4	6.5	6.2	6.5	7.3
142	8.3	8.9	7.4	7.1	7.5	9.1	7.1
143	7.5	7.6	7.5	7.2	8.3	9.3	7.0
144	7.6	6.3	8.0	8.4	8.3	8.9	8.6
145	7.0	6.6	6.4	5.8	6.2	7.4	6.9
146	6.9	5.9	7.1	7.7	8.5	7.2	6.8
147	8.3	8.5	8.0	8.4	7.6	8.3	8.3
148	5.7	5.6	7.4	8.3	7.8	6.8	8.4
149	7.4	6.4	5.2	4.7	4.7	8.1	7.4
150	8.3	7.4	7.1	8.5	7.4	7.9	9.1
151	8.1	8.4	8.5	7.3	8.2	9.1	6.7
152	5.4	8.7	9.0	7.8	9.2	6.5	6.2
153	8.4	5.8	6.7	5.8	6.6	8.0	7.2
154	7.8	7.5	7.8	6.7	7.5	7.2	6.9
155	8.4	5.6	5.3	7.8	6.3	7.5	8.7
156	6.6	6.7	8.6	9.7	9.1	7.6	8.1
157	6.0	5.9	7.0	7.0	6.9	6.5	7.9
158	6.9	8.2	7.8	8.9	8.0	6.2	8.5
159	8.1	7.3	7.7	7.4	8.2	8.3	7.2
160	7.9	8.6	6.5	7.7	6.5	7.3	8.8
161	8.9	8.6	6.8	7.7	5.9	9.3	9.0
162	9.0	8.3	8.1	7.9	8.3	9.2	7.8
163	7.1	6.5	7.5	6.7	6.4	6.4	7.5
164	6.0	7.3	8.4	10.0	9.3	6.8	9.0
165	6.8	8.9	8.0	7.8	8.4	7.2	7.0
166	9.1	8.8	7.2	6.5	6.8	9.4	7.3
167	7.6	6.7	6.7	8.2	6.7	6.4	8.5
168	8.5	6.5	6.5	6.7	6.5	7.4	7.8
169	7.5	5.8	7.1	7.8	6.4	8.1	9.3
170	7.6	5.1	6.2	6.7	6.0	7.3	7.7
171	9.0	7.8	7.4	8.2	7.4	9.2	9.0
172	6.1	6.1	7.2	6.8	7.4	6.9	6.7
173	7.4	9.0	8.4	8.3	7.9	5.4	7.1
174	6.4	7.1	7.7	7.7	8.9	7.6	6.2
175	7.7	7.6	7.5	6.5	7.4	7.2	6.6
176	8.8	8.6	7.6	8.6	7.2	9.0	8.6
177	8.5	8.4	6.5	7.4	7.2	8.2	7.3
178	7.4	8.1	8.5	7.0	8.4	7.9	6.7
179	5.8	7.4	7.3	6.8	7.8	6.5	6.8
180	8.1	7.9	7.2	7.4	6.6	8.1	8.9
181	6.2	7.6	7.8	6.7	6.7	8.6	7.3
182	8.3	7.7	7.8	7.2	8.3	6.7	6.4
183	9.1	5.8	4.8	6.9	5.7	7.4	8.9
184	6.4	6.4	6.4	6.1	6.9	7.3	6.6
185	7.1	5.8	6.6	6.6	5.5	8.3	8.1
186	7.1	7.2	7.0	7.4	7.5	6.3	7.3
187	6.8	8.3	7.7	7.3	8.2	7.3	6.5
188	8.5	7.9	6.6	7.0	8.1	7.3	6.2
189	6.9	7.0	6.7	6.6	7.3	6.9	7.0
190	9.5	7.5	7.0	6.5	5.9	8.2	7.9
191	6.8	7.7	9.0	8.1	7.5	6.6	7.5
192	6.8	7.6	6.4	7.3	7.5	6.8	7.7
193	5.5	6.6	7.9	8.3	9.4	7.7	7.1
194	7.2	8.1	8.7	7.6	7.2	6.1	7.4
195	8.0	6.9	6.9	7.6	6.7	7.9	8.3
196	8.9	8.5	6.9	8.9	8.5	9.3	8.4
197	8.1	8.1	7.0	7.8	6.9	6.5	8.5
198	9.5	8.0	8.0	7.8	8.4	7.9	7.1
199	8.0	7.7	7.9	7.3	7.2	7.6	8.2
200	5.1	7.5	8.4	6.0	7.6	6.6	5.6
