ID_hash	ult_avaliacao_clima	qtde_projetos_3m	qtde_projetos_6m	qtde_projetos_12m	qtde_projetos_24m	media_horas_trabalho_3m	media_horas_trabalho_6m	media_horas_trabalho_12m	tempo_empresa	flag_promocao_3m	flag_promocao_6m	flag_promocao_12m	flag_promocao_vida	departamento	patamar_salario	turnover
31	0.43	3	4	7	12	157	158	167	10	0	0	0	0	marketing/produto	02_acima_media	0
32	0.72	1	3	3	5	152	159	161	2	0	0	0	1	dados	01_menor_igual_media	0
33	0.42	2	5	6	9	168	168	175	3	0	0	0	0	vendas	01_menor_igual_media	0
34	0.46	2	4	7	7	179	182	188	3	0	0	0	0	TI/suporte	01_menor_igual_media	0
35	0.22	1	2	3	4	152	152	161	1	0	0	0	0	marketing/produto	02_acima_media	0
36	0.7	4	5	7	7	191	186	176	5	0	0	0	0	TI/suporte	01_menor_igual_media	0
37		4	4	7	8	152	155	145	3	0	0	0	0	TI/suporte	02_acima_media	1
38	0.3	0	2	5	8	155	153	151	3	0	0	0	0	dados	01_menor_igual_media	0
39	0.67	0	5	6	10	157	157	158	3	0	0	0	0	TI/suporte	02_acima_media	0
40	0.88	4	4	5	10	176	181	192	3	0	0	0	1	marketing/produto	01_menor_igual_media	0
41	0.23	3	3	3	7	189	191	188	4	0	0	0	1	dados	01_menor_igual_media	0
42		1	4	5	10	188	182	175	7	0	1	0	1	TI/suporte	01_menor_igual_media	0
43	0.68	0	3	6	7	152	154	160	3	0	0	0	0	vendas	01_menor_igual_media	1
44	0.99	3	4	7	7	176	170	172	6	0	0	0	1	dados	01_menor_igual_media	0
45	0.9	3	3	3	7	185	183	173	6	0	0	0	1	TI/suporte	01_menor_igual_media	0
46	0.78	2	2	5	7	152	154	152	3	0	0	0	0	vendas	01_menor_igual_media	0
47	0.9	3	4	6	7	170	162	155	2	0	0	0	0	vendas	01_menor_igual_media	0
48	0.81	4	5	7	9	169	169	158	5	0	0	0	1	dados	01_menor_igual_media	0
49	0.55	2	4	7	12	157	155	152	3	0	0	0	1	TI/suporte	01_menor_igual_media	0
50	0.97	1	3	5	9	159	162	172	3	0	0	0	0	TI/suporte	02_acima_media	0
51	0.53	1	4	5	5	180	187	196	6	0	0	0	1	TI/suporte	01_menor_igual_media	0
52	0.98	1	3	3	6	182	179	184	3	0	0	0	1	dados	01_menor_igual_media	0
53	0.98	1	3	4	5	186	184	185	8	1	0	0	1	RH/financeiro	01_menor_igual_media	1
54	0.87	0	5	7	9	168	168	166	6	0	0	0	0	TI/suporte	01_menor_igual_media	0
55	0.23	3	4	6	7	160	159	157	1	0	0	0	0	vendas	01_menor_igual_media	0
56	0.05	6	6	7	10	181	177	179	4	0	0	0	1	vendas	01_menor_igual_media	0
57	0.35	2	5	6	8	169	161	162	1	0	0	1	1	TI/suporte	01_menor_igual_media	0
58	0.64	2	4	4	9	158	157	167	4	0	0	0	0	vendas	01_menor_igual_media	0
59		3	3	4	9	171	168	155	5	0	0	0	1	dados	01_menor_igual_media	0
60		2	2	2	7	147	157	158	4	0	0	0	1	marketing/produto	01_menor_igual_media	1
61	0.75	5	6	9	11	153	154	160	3	0	0	0	0	vendas	01_menor_igual_media	0
62	0.5	3	3	3	5	166	158	153	4	0	0	0	0	RH/financeiro	01_menor_igual_media	0
63	0.52	2	5	6	7	154	155	153	4	0	0	0	1	vendas	01_menor_igual_media	0
64	0.45	2	4	5	7	156	154	157	8	0	0	0	0	marketing/produto	01_menor_igual_media	0
65	1	1	4	6	7	153	155	158	3	0	0	0	0	TI/suporte	01_menor_igual_media	0
66	0.1	1	6	8	11	181	178	180	4	0	0	0	1	vendas	01_menor_igual_media	0
67	0.04	4	6	8	9	176	177	186	5	0	0	0	0	TI/suporte	01_menor_igual_media	0
68	0.59	3	3	5	7	152	154	152	3	0	0	0	0	dados	01_menor_igual_media	0
69	0.54	2	3	3	6	163	160	157	6	0	0	0	1	RH/financeiro	01_menor_igual_media	0
70	0.66	2	3	3	3	146	156	166	3	0	0	0	0	vendas	01_menor_igual_media	1
71		2	3	5	5	170	170	172	4	0	0	0	0	RH/financeiro	01_menor_igual_media	0
72	0.88	1	4	6	8	163	162	151	4	0	0	0	0	RH/financeiro	01_menor_igual_media	0
73	0.38	1	4	6	8	158	158	160	3	0	0	0	0	TI/suporte	01_menor_igual_media	1
74		2	4	7	7	179	182	190	3	0	0	0	0	TI/suporte	01_menor_igual_media	0
75	0.16	0	2	3	8	156	155	152	5	0	0	0	0	vendas	01_menor_igual_media	0
76	0.27	3	3	3	6	158	155	165	3	0	0	0	1	vendas	01_menor_igual_media	1
77	0.63	3	4	4	6	159	157	158	1	0	0	0	0	vendas	01_menor_igual_media	0
78	0.83	4	4	4	9	171	168	167	3	1	0	0	1	vendas	01_menor_igual_media	1
79	0.85	3	3	5	8	177	184	190	3	0	0	0	0	vendas	01_menor_igual_media	1
80	0.99	3	4	6	9	162	153	150	3	0	0	0	0	RH/financeiro	01_menor_igual_media	0
81	0.55	2	3	5	9	144	154	145	2	0	0	0	1	TI/suporte	02_acima_media	0
82	0.46	1	5	7	11	156	156	152	3	0	0	0	0	TI/suporte	01_menor_igual_media	0
83		0	3	4	8	154	155	146	2	0	0	1	1	vendas	01_menor_igual_media	1
84	0.91	2	3	3	3	191	189	189	3	0	0	0	0	marketing/produto	02_acima_media	0
85	0.11	0	6	6	9	196	194	191	4	0	0	0	0	TI/suporte	01_menor_igual_media	0
86	0.71	5	5	6	8	156	154	146	3	0	0	0	0	TI/suporte	02_acima_media	0
87	0.91	0	5	5	5	184	181	186	1	0	0	0	0	marketing/produto	01_menor_igual_media	0
88	0.39	0	3	6	8	151	150	147	2	0	0	0	1	RH/financeiro	01_menor_igual_media	0
89	0.99	2	4	7	10	169	172	180	3	0	0	0	1	TI/suporte	01_menor_igual_media	0
90	0.5	0	4	7	12	166	156	156	7	1	0	0	1	marketing/produto	01_menor_igual_media	0
91	0.56	1	4	4	8	157	163	166	2	0	0	0	1	marketing/produto	01_menor_igual_media	1
92	0.31	5	5	5	8	153	154	155	5	0	0	0	1	TI/suporte	01_menor_igual_media	1
93	0.5	3	3	6	11	165	158	162	1	0	0	0	0	marketing/produto	01_menor_igual_media	0
94	0.24	3	3	3	7	156	165	155	3	0	0	0	0	TI/suporte	02_acima_media	0
95	0.98	2	3	5	8	146	155	147	1	0	0	0	0	dados	01_menor_igual_media	0
96	0.78	0	4	7	9	178	168	168	2	0	0	0	0	dados	01_menor_igual_media	0
97	0.92	1	2	3	6	161	170	169	5	0	0	0	1	marketing/produto	02_acima_media	0
98	0.38	0	5	5	10	190	187	190	3	0	0	0	0	TI/suporte	01_menor_igual_media	0
99	0.89	1	3	3	7	156	159	158	2	0	0	0	1	dados	01_menor_igual_media	0
100	0.12	3	3	5	8	164	160	163	3	0	0	0	0	RH/financeiro	02_acima_media	0
101	0.12	1	5	5	9	178	188	191	4	0	0	0	0	vendas	01_menor_igual_media	0
102	0.69	4	5	8	8	166	163	159	4	0	0	0	0	marketing/produto	01_menor_igual_media	0
103	0.95	4	5	6	8	170	171	170	5	0	0	0	0	dados	01_menor_igual_media	0
104	0.45	4	5	7	9	171	161	164	1	0	0	0	0	TI/suporte	02_acima_media	0
105	0.69	3	4	4	7	193	183	187	5	0	0	0	1	TI/suporte	01_menor_igual_media	0
106	0.68	3	4	5	10	161	156	158	3	0	0	0	1	vendas	01_menor_igual_media	0
107		1	4	6	8	153	156	151	4	0	0	0	1	TI/suporte	01_menor_igual_media	0
108		1	4	6	6	153	157	169	4	0	0	0	0	marketing/produto	01_menor_igual_media	1
109	0.13	0	4	4	5	179	178	173	3	0	0	0	1	vendas	01_menor_igual_media	0
110	0.92	0	3	3	5	164	156	151	1	0	0	0	1	vendas	01_menor_igual_media	0
111	0.46	5	6	6	10	165	158	167	3	0	0	0	1	TI/suporte	01_menor_igual_media	1
112	0.4	2	2	5	8	157	155	153	3	0	0	0	1	dados	01_menor_igual_media	0
113	0.42	0	3	5	8	168	178	178	3	0	0	0	1	vendas	01_menor_igual_media	0
114	0.99	3	5	8	9	175	178	167	3	0	0	0	1	vendas	01_menor_igual_media	0
115	0.56	3	3	4	4	155	161	159	3	0	0	0	1	marketing/produto	01_menor_igual_media	0
116		6	6	9	11	180	169	174	3	0	0	0	0	dados	01_menor_igual_media	0
117	0.44	0	5	5	6	188	186	177	3	0	0	0	0	TI/suporte	01_menor_igual_media	0
118	0.84	2	4	6	10	181	177	182	3	0	0	0	1	TI/suporte	01_menor_igual_media	0
119	0.03	4	4	4	9	182	176	167	6	0	0	0	0	marketing/produto	01_menor_igual_media	0
120	0.41	1	2	3	5	158	155	144	3	0	0	0	1	vendas	01_menor_igual_media	0
121	0.99	2	4	5	6	183	181	171	3	0	0	0	1	vendas	01_menor_igual_media	0
122	0.94	3	4	7	7	159	159	163	3	0	0	0	1	RH/financeiro	01_menor_igual_media	0
123		1	4	6	7	165	166	174	3	0	1	0	1	dados	01_menor_igual_media	0
124	0.77	1	5	6	8	155	154	152	8	0	0	0	0	marketing/produto	01_menor_igual_media	0
125	0.25	4	5	7	11	182	172	177	4	0	0	0	0	dados	01_menor_igual_media	0
126	0.22	0	3	6	11	156	154	147	3	0	0	0	0	dados	01_menor_igual_media	0
127	0.2	3	3	5	8	154	155	154	3	0	0	0	0	marketing/produto	01_menor_igual_media	1
128	0.34	5	5	8	9	184	183	176	4	0	0	0	1	RH/financeiro	02_acima_media	0
129	0.36	5	5	7	11	175	172	170	3	0	0	0	1	TI/suporte	01_menor_igual_media	1
130	0.45	1	5	8	13	155	156	167	4	0	0	0	1	vendas	01_menor_igual_media	0
131	0.69	4	5	5	9	170	170	175	4	0	0	0	0	vendas	02_acima_media	0
132	0.71	1	3	6	8	156	156	148	3	1	0	0	1	vendas	01_menor_igual_media	0
133	0.8	2	3	4	4	153	153	145	2	0	0	0	1	dados	01_menor_igual_media	0
134	0.2	0	3	4	7	153	153	150	3	0	0	0	1	marketing/produto	02_acima_media	0
135	0.86	0	4	4	9	170	166	168	3	0	0	0	0	marketing/produto	02_acima_media	0
136	0.7	2	5	6	9	187	186	187	4	0	0	0	0	vendas	01_menor_igual_media	0
137		1	2	4	5	154	160	146	4	0	0	0	1	RH/financeiro	01_menor_igual_media	0
138	0.9	4	5	6	8	152	154	147	3	0	0	0	0	dados	02_acima_media	0
139	0.47	1	3	6	6	156	159	156	5	0	0	0	1	TI/suporte	01_menor_igual_media	0
140	0.18	2	4	5	6	160	154	163	1	0	0	0	0	marketing/produto	02_acima_media	0
141		2	3	5	5	152	154	163	2	0	0	0	0	dados	01_menor_igual_media	0
142	0.3	2	2	5	7	153	155	153	3	0	0	0	0	RH/financeiro	01_menor_igual_media	1
143		3	4	6	10	162	158	146	7	0	0	0	0	vendas	01_menor_igual_media	0
144	0.87	2	4	4	4	157	157	158	4	0	0	0	0	TI/suporte	02_acima_media	0
145	0.94	1	4	7	9	160	158	161	2	0	0	0	1	dados	01_menor_igual_media	0
146	0.87	2	4	7	10	173	176	176	5	0	0	0	1	vendas	01_menor_igual_media	0
147	0.25	3	5	7	9	171	173	179	7	1	0	0	1	vendas	01_menor_igual_media	0
148	0.29	4	4	5	6	156	157	169	5	0	0	0	0	RH/financeiro	01_menor_igual_media	0
149	0.73	3	3	5	9	157	155	156	7	0	0	0	0	vendas	02_acima_media	1
150	0.77	3	3	6	10	165	159	160	7	0	0	0	0	vendas	01_menor_igual_media	0
151	0.95	0	5	6	9	184	182	184	5	0	0	0	0	dados	01_menor_igual_media	0
152	0.88	0	5	7	7	175	176	185	1	0	1	0	1	vendas	01_menor_igual_media	1
153		4	4	4	7	148	153	165	10	0	0	0	1	marketing/produto	01_menor_igual_media	1
154	0.9	0	4	4	9	154	163	170	2	0	0	0	0	dados	01_menor_igual_media	0
155	0.31	4	6	7	11	157	155	156	2	0	0	0	0	TI/suporte	01_menor_igual_media	1
156	0.54	0	3	6	10	162	159	150	3	0	0	0	1	vendas	01_menor_igual_media	0
157	0.33	1	4	7	8	188	184	178	3	0	0	0	0	marketing/produto	02_acima_media	0
158	0.63	1	3	5	6	153	151	149	3	0	0	0	0	RH/financeiro	01_menor_igual_media	0
159	0.05	2	6	9	14	199	200	198	5	0	0	0	0	TI/suporte	01_menor_igual_media	0
160	0.95	2	3	6	8	176	175	175	1	0	0	0	1	TI/suporte	01_menor_igual_media	0
161	1	2	3	4	6	162	153	152	1	0	0	0	1	vendas	01_menor_igual_media	0
162	0.11	5	6	9	14	196	197	192	4	0	0	0	1	dados	01_menor_igual_media	0
163		0	4	6	7	157	156	156	2	0	0	0	0	dados	01_menor_igual_media	0
164	0.94	1	4	6	11	176	179	177	5	0	0	0	0	marketing/produto	01_menor_igual_media	0
165	0.15	0	4	7	11	162	159	171	5	0	0	0	0	vendas	01_menor_igual_media	0
166	0.43	4	4	4	9	149	159	161	3	0	0	0	1	RH/financeiro	02_acima_media	1
167	0.36	3	4	6	11	174	166	177	1	0	0	0	0	TI/suporte	01_menor_igual_media	1
168		4	4	6	11	174	176	169	5	0	0	0	0	dados	01_menor_igual_media	0
169	0.81	0	5	6	6	172	170	166	5	0	0	0	1	dados	01_menor_igual_media	0
170	0.94	1	3	3	5	158	159	163	3	0	0	0	0	vendas	01_menor_igual_media	1
171	0.99	2	4	5	7	158	155	152	6	0	0	0	0	vendas	01_menor_igual_media	0
172	0.96	4	5	6	7	182	182	170	3	0	0	0	0	vendas	01_menor_igual_media	0
173	0.95	3	4	7	12	175	177	186	3	0	0	0	0	TI/suporte	02_acima_media	0
174	0.32	1	4	6	11	190	187	189	3	0	0	0	0	TI/suporte	01_menor_igual_media	0
175	0.95	1	4	6	11	188	188	189	4	0	0	0	0	vendas	01_menor_igual_media	0
176	0.7	2	5	7	8	158	156	157	4	0	0	0	1	RH/financeiro	01_menor_igual_media	0
177		3	3	4	6	189	182	186	1	0	0	0	1	RH/financeiro	02_acima_media	1
178	0.29	1	4	7	8	167	160	149	2	0	0	0	0	dados	01_menor_igual_media	0
179	0.43	3	4	6	10	162	158	146	7	0	0	0	0	vendas	01_menor_igual_media	0
180	0.27	1	4	7	7	180	181	184	1	0	0	0	0	marketing/produto	01_menor_igual_media	0
181	0.82	2	3	3	8	157	165	166	1	0	0	0	0	dados	01_menor_igual_media	0
182		1	3	5	5	158	162	168	3	0	1	0	1	dados	02_acima_media	0
183	0.83	2	5	8	11	174	174	165	5	0	0	0	1	vendas	01_menor_igual_media	1
184	0.85	3	3	6	6	145	153	147	4	0	0	0	1	dados	01_menor_igual_media	0
185	0.33	0	5	6	7	183	182	180	3	0	0	0	0	TI/suporte	01_menor_igual_media	0
186	0.62	0	2	5	9	150	153	151	2	0	0	0	1	marketing/produto	02_acima_media	0
187	0.85	0	3	6	6	157	156	158	3	0	0	0	1	TI/suporte	01_menor_igual_media	1
188	0.98	2	2	5	6	165	158	156	4	0	0	0	0	RH/financeiro	01_menor_igual_media	0
189	0.96	4	4	4	4	154	162	150	3	0	0	0	1	vendas	01_menor_igual_media	0
190	0.55	3	5	8	11	160	160	165	1	0	0	0	1	dados	02_acima_media	0
191	0.94	3	5	5	8	154	156	149	3	0	0	0	0	marketing/produto	02_acima_media	0
192	0.92	3	3	3	8	171	180	177	2	0	0	0	1	dados	02_acima_media	0
193	0.18	6	7	10	15	181	178	185	4	0	0	0	0	dados	01_menor_igual_media	0
194	0.57	5	5	8	10	185	178	178	4	0	0	0	0	TI/suporte	02_acima_media	0
195	0.88	1	4	6	6	154	151	153	1	0	0	0	1	TI/suporte	01_menor_igual_media	0
196	0.95	2	4	7	10	175	176	187	3	0	0	0	0	vendas	01_menor_igual_media	1
197	0.88	2	4	6	10	160	168	166	1	0	0	0	1	vendas	01_menor_igual_media	1
198	0.66	2	4	4	5	161	164	172	4	0	0	0	0	vendas	01_menor_igual_media	1
199	0.78	0	2	4	4	157	159	165	2	0	0	0	0	dados	01_menor_igual_media	1
200		2	2	2	6	158	165	173	3	0	0	0	0	RH/financeiro	02_acima_media	0
201	0.35	0	2	5	8	153	154	157	3	0	0	0	1	RH/financeiro	01_menor_igual_media	1
202	0.99	1	4	5	10	162	159	149	4	0	0	0	0	marketing/produto	02_acima_media	0
203	0.33	4	5	5	8	154	159	161	4	0	0	0	0	marketing/produto	01_menor_igual_media	0
204	0.65	0	4	5	9	174	174	171	3	0	0	0	1	dados	01_menor_igual_media	0
205	0.91	0	4	4	9	189	188	199	2	0	0	0	0	vendas	01_menor_igual_media	0
206	0.69	1	4	7	7	189	180	183	2	0	0	0	0	marketing/produto	01_menor_igual_media	0
207		1	3	3	6	179	179	170	2	0	0	1	1	TI/suporte	01_menor_igual_media	1
208	0.93	2	5	8	8	162	157	153	1	0	0	0	1	dados	01_menor_igual_media	0
209	0.72	3	4	7	7	188	185	182	6	0	0	0	1	dados	01_menor_igual_media	0
210	0.6	1	3	4	8	155	157	163	10	1	0	0	1	marketing/produto	02_acima_media	0
211		5	5	8	11	192	193	205	7	0	0	0	1	RH/financeiro	02_acima_media	0
212	0.97	4	4	5	8	176	167	171	1	0	0	0	0	vendas	01_menor_igual_media	0
213	0.59	3	4	7	12	154	160	162	4	0	0	0	0	dados	01_menor_igual_media	0
214	0.96	2	4	5	5	185	183	182	2	0	0	0	0	TI/suporte	02_acima_media	0
215	0.94	5	6	6	11	171	172	173	5	0	0	0	0	marketing/produto	02_acima_media	0
216	0.51	3	4	7	9	159	159	171	4	0	0	0	1	dados	01_menor_igual_media	0
217	0.53	2	2	3	5	151	154	151	7	1	0	0	1	marketing/produto	02_acima_media	0
218	0.53	1	3	5	5	155	160	166	2	0	1	0	1	dados	02_acima_media	0
219	0.19	1	2	4	9	186	178	179	4	0	0	0	0	vendas	01_menor_igual_media	0
220		2	2	3	5	151	154	151	3	0	0	0	1	RH/financeiro	01_menor_igual_media	0
221	0.93	0	4	7	12	185	188	191	10	0	0	0	1	RH/financeiro	01_menor_igual_media	0
222	0.73	0	3	5	8	170	167	175	3	0	0	0	0	dados	01_menor_igual_media	0
223	0.83	1	4	5	8	159	159	160	3	0	0	0	1	RH/financeiro	02_acima_media	0
224	0.54	1	4	6	7	167	161	156	3	0	0	0	1	dados	01_menor_igual_media	0
225	0.12	0	4	6	10	152	160	165	5	0	0	0	0	marketing/produto	01_menor_igual_media	1
226	0.3	5	5	5	10	184	182	177	5	0	0	0	0	dados	01_menor_igual_media	0
227		0	3	4	4	190	180	172	4	0	0	0	0	marketing/produto	01_menor_igual_media	0
228	0.99	3	3	5	5	157	156	157	3	0	0	0	0	dados	02_acima_media	0
229	0.8	3	4	5	8	153	154	161	3	0	0	0	1	TI/suporte	01_menor_igual_media	0
230	0.19	0	5	6	9	160	157	157	4	0	0	0	1	marketing/produto	01_menor_igual_media	0
231	0.02	5	6	7	11	195	204	205	4	0	0	0	1	vendas	01_menor_igual_media	0
232		0	4	5	7	151	154	146	3	0	1	0	1	dados	01_menor_igual_media	0
233	0.63	0	4	7	9	156	156	153	3	0	0	0	1	TI/suporte	01_menor_igual_media	0
234	0.84	3	4	5	6	165	156	159	1	0	0	0	0	vendas	01_menor_igual_media	0
235	0.13	4	5	6	6	162	154	148	3	0	0	0	1	TI/suporte	01_menor_igual_media	1
236		1	4	5	8	148	150	161	4	0	0	0	1	RH/financeiro	01_menor_igual_media	0
237	0.93	2	3	3	4	187	185	193	3	0	0	0	1	TI/suporte	01_menor_igual_media	0
238	0.33	5	6	9	14	188	192	192	3	0	0	0	0	marketing/produto	01_menor_igual_media	0
239	0.95	0	3	4	6	145	153	153	1	0	0	0	1	vendas	01_menor_igual_media	1
240	0.94	3	3	3	5	160	170	162	2	0	0	0	1	vendas	02_acima_media	0
241	0.98	3	5	5	9	163	169	170	6	0	0	0	0	RH/financeiro	01_menor_igual_media	0
242	0.59	1	2	4	5	154	155	146	3	0	0	0	1	RH/financeiro	01_menor_igual_media	0
243	0.88	3	4	7	10	148	157	163	4	0	0	0	0	TI/suporte	02_acima_media	1
244	0.71	1	4	5	10	154	155	148	2	0	0	0	1	dados	01_menor_igual_media	0
245	0.88	2	3	5	10	155	153	153	3	1	0	0	1	marketing/produto	02_acima_media	0
246		1	6	6	9	186	185	186	3	0	0	0	1	dados	02_acima_media	0
247	0.17	5	6	6	6	198	196	199	4	0	0	0	0	vendas	01_menor_igual_media	0
248	0.44	2	2	5	10	151	154	155	3	0	0	0	0	vendas	01_menor_igual_media	1
249	0.85	1	4	7	8	171	171	172	2	0	0	0	1	TI/suporte	01_menor_igual_media	0
250	0.19	1	2	5	6	154	156	160	3	0	0	0	0	dados	01_menor_igual_media	0
251	0.56	3	3	6	6	159	156	158	2	0	0	0	1	dados	02_acima_media	0
252	0.72	3	5	5	6	156	156	152	3	0	0	0	0	marketing/produto	02_acima_media	0
253	0.85	1	4	5	9	198	190	192	5	0	0	0	0	TI/suporte	01_menor_igual_media	0
254	0.28	0	4	6	8	193	186	193	1	0	0	0	0	TI/suporte	01_menor_igual_media	0
255	0.83	3	5	6	7	159	159	158	3	1	0	0	1	RH/financeiro	01_menor_igual_media	0
256		2	2	2	5	158	156	157	3	0	0	0	0	vendas	01_menor_igual_media	0
257	0.08	7	7	7	12	187	177	185	5	0	0	0	1	RH/financeiro	01_menor_igual_media	1
258	0.92	3	3	3	6	175	178	182	3	0	0	0	0	marketing/produto	01_menor_igual_media	1
259		1	3	4	8	155	160	155	3	0	0	0	0	dados	02_acima_media	0
260	0.39	3	3	3	8	154	157	153	10	0	0	0	0	TI/suporte	01_menor_igual_media	0
261	0.71	2	3	4	6	156	157	154	1	0	0	0	1	marketing/produto	01_menor_igual_media	0
262		2	2	2	2	171	177	177	5	0	0	0	1	vendas	01_menor_igual_media	0
263	0.39	1	4	4	4	175	184	178	4	0	0	0	0	dados	01_menor_igual_media	0
264		3	4	5	6	171	164	164	3	0	0	0	1	RH/financeiro	01_menor_igual_media	1
265		3	3	5	5	188	189	188	2	0	0	0	0	TI/suporte	02_acima_media	0
266	0.47	2	2	2	7	158	154	155	3	0	0	0	0	RH/financeiro	01_menor_igual_media	0
267	0.78	2	5	8	12	185	184	185	6	0	0	0	0	dados	01_menor_igual_media	0
268	0.65	2	3	6	6	161	161	159	3	0	0	0	0	dados	01_menor_igual_media	0
269	0.71	3	4	5	10	178	175	175	1	0	1	0	1	RH/financeiro	01_menor_igual_media	0
270	0.78	3	6	9	13	186	176	176	4	0	0	0	0	dados	01_menor_igual_media	0
271	0.37	0	2	3	6	152	155	155	3	0	0	0	1	dados	01_menor_igual_media	0
272	0.12	5	6	8	12	163	161	165	4	0	0	0	0	dados	01_menor_igual_media	0
273	0.27	1	2	3	6	163	155	160	3	0	0	0	1	TI/suporte	01_menor_igual_media	0
274	0.97	1	4	4	8	171	167	165	1	0	0	0	1	vendas	01_menor_igual_media	1
275	0.88	3	5	7	10	158	168	173	6	0	0	0	1	vendas	01_menor_igual_media	1
276	0.67	0	2	3	4	149	155	158	3	0	0	0	1	marketing/produto	01_menor_igual_media	0
277		2	3	4	6	163	162	164	2	0	0	0	0	TI/suporte	01_menor_igual_media	0
278	0.7	0	4	7	9	147	153	165	4	0	0	0	0	RH/financeiro	02_acima_media	0
279	0.92	3	5	5	10	181	179	184	5	0	0	0	0	dados	01_menor_igual_media	0
280	0.19	0	2	3	6	160	154	156	3	0	0	0	1	vendas	01_menor_igual_media	0
281	0.03	1	6	8	13	168	178	180	4	0	0	1	1	marketing/produto	01_menor_igual_media	0
282	0.05	4	5	8	10	202	193	198	5	0	0	0	1	TI/suporte	01_menor_igual_media	0
283	0.92	3	4	4	7	177	175	173	3	0	0	0	0	vendas	02_acima_media	0
284	0.51	0	3	3	6	163	160	162	1	0	0	0	1	dados	01_menor_igual_media	0
285	0.98	3	3	5	8	159	156	163	2	0	0	0	1	vendas	01_menor_igual_media	1
286	0.86	3	5	6	8	167	164	166	2	0	0	0	1	TI/suporte	01_menor_igual_media	0
287	0.56	0	4	7	9	177	176	174	8	0	0	0	0	marketing/produto	01_menor_igual_media	0
288		6	6	7	9	171	161	162	4	0	0	0	1	dados	01_menor_igual_media	0
289	0.74	0	3	4	4	178	181	176	3	0	0	0	0	marketing/produto	01_menor_igual_media	0
290	0.88	1	3	3	7	161	160	170	6	0	0	0	0	TI/suporte	01_menor_igual_media	1
291	0.91	3	3	5	6	157	159	162	1	0	0	0	1	TI/suporte	01_menor_igual_media	1
292	0.79	1	3	5	7	152	155	158	2	0	0	0	0	vendas	01_menor_igual_media	1
293		1	4	7	8	171	174	175	3	0	0	0	1	TI/suporte	01_menor_igual_media	0
294	0.83	1	3	3	8	157	159	156	1	0	0	0	1	marketing/produto	01_menor_igual_media	0
