ID_respondente	ult_avaliacao_clima	qtde_projetos_3m	qtde_projetos_6m	qtde_projetos_12m	qtde_projetos_24m	media_horas_trabalho_3m	media_horas_trabalho_6m	media_horas_trabalho_12m	tempo_empresa	flag_promocao_3m	flag_promocao_6m	flag_promocao_12m	flag_promocao_vida	departamento	patamar_salario	turnover
64	0.63	4	4	7	10	175	176	183	3	0	0	1	1	vendas	01_menor_igual_media	0
65	0.32	1	2	4	9	178	185	185	3	0	0	0	0	marketing/produto	01_menor_igual_media	0
66	0.1	1	6	6	9	192	183	187	4	0	0	0	0	dados	01_menor_igual_media	0
67	0.85	1	6	9	10	155	156	153	4	0	0	0	0	TI/suporte	01_menor_igual_media	1
68	0.94	2	3	5	5	150	158	163	3	0	0	0	1	marketing/produto	01_menor_igual_media	0
69	0.58	1	4	7	11	174	176	187	3	0	0	0	0	vendas	01_menor_igual_media	0
70	0.6	2	2	2	7	144	153	159	3	0	0	0	1	dados	01_menor_igual_media	1
71	0.37	0	4	4	8	157	159	157	3	0	0	0	0	TI/suporte	01_menor_igual_media	1
72	0.98	3	4	7	7	186	179	181	10	0	0	0	0	marketing/produto	01_menor_igual_media	0
73	0.83	1	6	8	10	144	154	144	3	0	0	0	0	marketing/produto	01_menor_igual_media	0
74	0.65	1	2	3	7	150	153	150	3	0	0	0	1	dados	01_menor_igual_media	0
75	0.96	3	5	7	7	162	155	158	3	0	0	0	0	RH/financeiro	02_acima_media	0
76	0.17	0	2	5	10	148	152	149	4	0	0	0	1	vendas	01_menor_igual_media	0
77	0.88	2	3	4	5	191	182	174	4	0	0	0	1	TI/suporte	01_menor_igual_media	0
78	0.95	4	4	6	9	147	154	153	2	1	0	0	1	vendas	01_menor_igual_media	0
79	0.28	0	2	3	6	153	154	154	3	0	0	0	1	TI/suporte	01_menor_igual_media	0
80	0.79	2	3	6	6	175	173	172	2	0	0	0	0	vendas	01_menor_igual_media	1
81	0.12	0	4	7	7	182	179	178	3	0	0	0	1	TI/suporte	01_menor_igual_media	0
82	0.95	3	5	7	9	156	155	150	4	0	0	0	1	vendas	01_menor_igual_media	0
83	0.88	1	3	6	7	172	174	164	2	0	0	0	1	dados	01_menor_igual_media	0
84	0.24	3	3	3	6	153	160	155	1	0	0	0	0	dados	01_menor_igual_media	0
85	0.53	0	2	4	4	156	155	152	3	0	0	1	1	marketing/produto	01_menor_igual_media	0
86	0.61	2	3	5	5	154	157	150	6	0	0	0	1	marketing/produto	01_menor_igual_media	0
87	0.28	3	5	7	7	154	155	162	7	0	0	0	0	vendas	01_menor_igual_media	0
88	0.91	3	4	7	7	177	170	173	3	0	0	0	1	RH/financeiro	01_menor_igual_media	0
89	0.35	1	4	4	5	159	157	166	3	0	0	0	1	dados	01_menor_igual_media	0
90	0.04	4	5	6	9	162	152	160	3	0	0	0	1	marketing/produto	01_menor_igual_media	0
91	0.42	2	3	4	6	154	157	146	3	0	0	0	1	TI/suporte	01_menor_igual_media	0
92	0.84	2	4	7	10	178	178	184	4	0	0	1	1	vendas	01_menor_igual_media	1
93	0.5	1	3	6	7	158	164	165	7	0	0	0	0	vendas	01_menor_igual_media	0
94	0.85	6	6	7	8	160	159	159	3	1	0	0	1	dados	01_menor_igual_media	1
95	0.93	1	4	7	9	179	181	169	7	0	0	0	0	vendas	01_menor_igual_media	0
96	0.92	0	3	3	7	164	155	156	1	0	0	0	0	dados	01_menor_igual_media	0
97	0.55	0	3	4	9	156	157	160	2	0	0	0	1	TI/suporte	01_menor_igual_media	1
98	0.63	1	2	4	9	152	154	165	3	0	0	0	0	marketing/produto	01_menor_igual_media	0
99	0.61	2	3	5	6	155	158	162	3	0	0	0	0	dados	01_menor_igual_media	0
100	0.1	2	2	3	5	157	153	150	3	0	0	0	1	RH/financeiro	01_menor_igual_media	0
101	0.17	1	5	7	7	151	160	163	5	0	0	0	0	vendas	01_menor_igual_media	0
102	0.54	0	4	5	5	153	155	160	2	0	0	1	1	RH/financeiro	01_menor_igual_media	1
103	0.71	1	5	6	6	173	175	173	1	0	0	0	0	vendas	01_menor_igual_media	1
104	0.94	0	5	7	12	156	157	156	6	0	0	0	0	dados	01_menor_igual_media	0
105	0.88	1	3	5	6	155	157	147	3	0	1	0	1	vendas	01_menor_igual_media	0
106	0.76	4	4	5	8	185	183	185	7	0	0	0	1	vendas	01_menor_igual_media	0
107	0.85	2	3	4	7	160	157	153	1	0	0	0	0	marketing/produto	01_menor_igual_media	1
108	0.99	4	6	9	13	165	158	153	4	0	0	0	0	vendas	02_acima_media	0
109		1	3	5	5	152	158	156	5	0	0	0	0	vendas	01_menor_igual_media	1
110	0.56	2	2	5	5	151	159	158	8	0	0	0	0	marketing/produto	01_menor_igual_media	0
111	0.64	1	3	3	7	157	158	159	3	1	0	0	1	marketing/produto	01_menor_igual_media	0
112	0.66	5	5	7	11	174	173	174	2	0	0	0	1	marketing/produto	02_acima_media	0
113	0.92	2	4	4	8	146	153	151	2	0	0	0	0	TI/suporte	01_menor_igual_media	0
114	0.75	1	3	4	9	172	171	177	7	1	0	0	1	marketing/produto	02_acima_media	0
115	0.02	2	2	5	9	154	154	153	7	1	0	0	1	marketing/produto	02_acima_media	0
116	0.85	2	3	3	4	159	153	155	2	0	0	0	0	RH/financeiro	02_acima_media	0
117	0.03	1	4	6	6	169	172	181	4	0	0	0	0	marketing/produto	01_menor_igual_media	0
118	0.13	1	7	10	10	185	186	189	4	0	0	0	0	vendas	01_menor_igual_media	0
119	0.79	2	2	3	5	160	163	161	4	0	0	0	0	dados	01_menor_igual_media	1
120	0.05	3	6	8	10	162	154	146	7	1	0	0	1	marketing/produto	02_acima_media	0
121	0.36	0	3	4	9	161	170	169	3	0	1	0	1	dados	01_menor_igual_media	0
122	0.15	4	6	6	10	195	193	184	4	0	0	0	0	vendas	01_menor_igual_media	1
123	0.83	2	3	4	7	184	182	180	1	0	1	0	1	TI/suporte	01_menor_igual_media	0
124	0.2	2	4	6	9	166	160	164	3	0	0	0	0	TI/suporte	01_menor_igual_media	1
125	0.37	3	4	7	10	147	156	148	4	0	0	0	0	marketing/produto	01_menor_igual_media	0
126	0.32	1	5	7	8	185	189	187	1	0	0	0	0	vendas	01_menor_igual_media	0
127	0.36	0	2	5	7	161	154	151	2	0	0	0	1	vendas	01_menor_igual_media	0
128	0.67	2	5	6	7	168	171	174	2	0	0	0	0	RH/financeiro	01_menor_igual_media	1
129	0.2	3	3	5	8	171	172	167	5	0	0	0	0	vendas	01_menor_igual_media	0
130	0.35	2	2	4	8	158	155	157	3	0	0	0	0	RH/financeiro	01_menor_igual_media	0
131	0.54	2	5	5	9	166	169	169	2	0	0	0	1	TI/suporte	01_menor_igual_media	0
132	0.13	1	2	2	5	158	154	161	3	0	0	0	1	RH/financeiro	01_menor_igual_media	0
133	0.36	1	7	7	9	177	169	166	5	0	0	0	0	RH/financeiro	01_menor_igual_media	1
134	0.95	3	3	5	9	157	158	159	2	0	0	0	0	dados	01_menor_igual_media	0
135	0.33	0	3	3	7	155	153	151	1	0	0	0	0	TI/suporte	01_menor_igual_media	0
136	0.29	2	5	6	9	189	192	183	3	0	0	0	1	dados	02_acima_media	0
137	0.19	2	6	6	11	188	180	174	4	0	0	0	1	dados	01_menor_igual_media	1
138	0.89	2	4	7	10	169	174	179	1	0	1	0	1	marketing/produto	01_menor_igual_media	0
139	0.55	4	4	4	4	155	155	153	2	0	0	0	0	RH/financeiro	01_menor_igual_media	1
140	0.95	1	3	4	4	179	187	189	3	0	0	0	0	TI/suporte	01_menor_igual_media	0
141	0.99	2	4	7	11	183	183	178	2	0	0	0	0	vendas	01_menor_igual_media	1
142	1	3	3	6	7	160	160	152	2	0	0	0	0	dados	01_menor_igual_media	0
143	0.84	0	4	6	11	182	190	191	3	0	0	0	0	vendas	01_menor_igual_media	0
144	0.78	1	3	3	6	159	153	144	1	0	0	0	0	vendas	01_menor_igual_media	1
145	0.43	0	3	3	4	176	182	178	1	0	0	0	0	dados	01_menor_igual_media	0
146		5	5	5	5	146	156	155	3	0	0	0	1	vendas	01_menor_igual_media	0
147	0.88	2	3	5	9	168	167	164	1	0	0	0	1	dados	01_menor_igual_media	0
148	0.75	0	3	3	8	180	171	169	3	0	0	0	1	TI/suporte	01_menor_igual_media	1
149	0.14	0	6	7	9	205	202	199	4	0	0	0	1	marketing/produto	02_acima_media	0
150	0.95	3	4	5	6	162	166	168	2	0	0	0	0	TI/suporte	01_menor_igual_media	0
151	0.86	0	5	8	12	185	176	185	2	0	1	0	1	vendas	01_menor_igual_media	0
152	0.77	1	3	5	10	154	155	154	4	0	0	0	0	dados	02_acima_media	0
153	0.46	3	3	4	8	183	187	183	2	0	0	0	0	vendas	01_menor_igual_media	1
154	0.53	2	3	6	10	154	151	154	3	0	0	0	0	TI/suporte	01_menor_igual_media	1
155	0.35	4	5	5	8	151	153	156	5	0	0	0	1	marketing/produto	01_menor_igual_media	0
156	0.6	1	2	4	9	163	153	150	3	0	0	0	1	dados	01_menor_igual_media	0
157	0	3	6	6	8	168	165	167	2	0	0	0	0	TI/suporte	01_menor_igual_media	0
158	0.46	1	2	5	9	152	156	167	3	0	0	0	0	RH/financeiro	01_menor_igual_media	0
159	0.28	0	5	7	12	165	163	161	2	0	0	0	1	RH/financeiro	02_acima_media	0
160	0.54	3	5	8	9	154	157	163	3	0	0	0	1	marketing/produto	01_menor_igual_media	0
161	0.73	1	3	4	9	161	158	169	3	0	0	0	0	marketing/produto	01_menor_igual_media	0
162	0.81	0	5	8	8	179	172	174	5	0	0	0	1	dados	01_menor_igual_media	0
163	0.77	3	4	7	12	175	172	177	5	0	0	0	0	dados	01_menor_igual_media	1
164	0.07	4	5	6	8	176	180	175	4	0	0	0	1	dados	01_menor_igual_media	0
165	0.59	0	2	2	2	149	154	153	3	0	0	0	0	TI/suporte	01_menor_igual_media	0
166	0.87	3	5	5	7	191	186	191	5	0	0	0	0	dados	01_menor_igual_media	0
167	0.87	3	3	6	10	193	188	188	3	0	0	0	1	dados	01_menor_igual_media	0
168	0.49	3	3	6	6	166	157	163	3	0	0	0	0	vendas	01_menor_igual_media	0
169		0	3	3	6	158	160	162	4	0	0	0	0	vendas	01_menor_igual_media	1
170	0.94	3	4	6	8	185	178	169	3	0	0	0	0	dados	01_menor_igual_media	0
171		3	4	6	9	201	190	195	6	0	0	0	0	RH/financeiro	01_menor_igual_media	0
172		0	2	2	2	157	156	165	3	0	0	0	1	RH/financeiro	01_menor_igual_media	0
173	0.01	3	4	4	6	152	155	156	4	0	0	1	1	dados	01_menor_igual_media	0
174	0.82	0	3	4	8	155	157	145	3	0	0	0	0	marketing/produto	01_menor_igual_media	0
175	0.69	3	4	6	11	179	169	171	3	0	0	0	1	vendas	01_menor_igual_media	0
176	0.79	3	3	6	7	151	154	148	3	0	0	0	0	RH/financeiro	01_menor_igual_media	1
177	0.78	1	4	6	9	192	190	191	3	0	0	0	0	dados	01_menor_igual_media	1
178		2	2	3	8	157	158	167	3	0	0	0	0	marketing/produto	01_menor_igual_media	0
179	0.49	1	5	7	12	189	184	174	2	0	0	0	1	vendas	02_acima_media	0
180	0.17	2	2	5	9	157	155	148	3	0	0	0	1	dados	01_menor_igual_media	0
181	0.71	0	5	8	8	181	183	173	3	0	0	1	1	dados	01_menor_igual_media	0
182	0.74	2	4	7	7	159	158	149	2	0	0	0	1	TI/suporte	01_menor_igual_media	0
183	0.94	2	4	7	11	169	172	168	5	0	0	0	0	dados	01_menor_igual_media	0
184	0.82	0	5	7	7	160	158	155	6	0	0	0	0	TI/suporte	01_menor_igual_media	0
185	0.86	2	5	8	9	147	156	165	3	0	0	0	0	vendas	01_menor_igual_media	0
186	0.36	3	5	6	10	157	155	153	4	0	0	0	1	marketing/produto	01_menor_igual_media	0
187	1	1	3	5	10	170	176	183	2	0	0	0	0	vendas	02_acima_media	0
188	0.9	1	4	5	5	150	160	162	3	0	0	0	0	dados	01_menor_igual_media	0
189	0.02	5	6	6	7	187	181	170	4	0	0	0	0	TI/suporte	01_menor_igual_media	0
190	0.85	0	3	5	5	153	156	155	4	0	0	0	0	vendas	01_menor_igual_media	0
191	0.9	5	5	6	9	174	166	169	2	0	0	0	0	vendas	01_menor_igual_media	0
192	1	2	5	5	7	172	179	168	3	0	0	0	0	dados	01_menor_igual_media	0
193	0.7	5	5	8	13	167	162	152	1	0	0	1	1	TI/suporte	01_menor_igual_media	1
194	0.96	2	5	6	7	172	169	170	3	0	0	0	0	RH/financeiro	01_menor_igual_media	1
195	0.91	5	5	7	12	191	185	180	1	0	0	0	0	TI/suporte	01_menor_igual_media	0
196	0.48	3	3	6	10	195	194	195	3	0	0	0	0	dados	01_menor_igual_media	0
197	0.04	3	6	8	8	201	196	197	4	0	0	0	0	dados	01_menor_igual_media	0
198	0.92	1	4	7	12	168	176	176	1	0	0	0	0	TI/suporte	01_menor_igual_media	0
199	0.09	1	2	4	6	157	154	158	3	0	0	0	0	dados	01_menor_igual_media	0
200	0.74	2	2	3	7	172	174	175	7	0	0	0	0	TI/suporte	01_menor_igual_media	1
201	0.89	0	4	7	8	155	158	155	1	0	0	0	1	RH/financeiro	02_acima_media	0
202	0.89	1	4	5	7	190	193	196	7	0	0	0	1	vendas	02_acima_media	0
203	0.48	1	2	5	10	145	153	156	3	0	0	0	0	vendas	01_menor_igual_media	0
204	0.45	3	4	7	7	148	156	147	3	0	0	0	0	vendas	01_menor_igual_media	0
205	0.95	0	6	9	12	173	175	172	5	0	0	0	1	vendas	01_menor_igual_media	0
206	0.24	3	4	5	10	168	166	163	4	0	0	0	0	TI/suporte	01_menor_igual_media	0
207	0.08	4	6	7	7	201	198	210	4	0	0	0	1	RH/financeiro	01_menor_igual_media	0
208	0.68	1	3	4	7	154	154	153	3	0	0	0	0	TI/suporte	01_menor_igual_media	0
209	0.98	3	4	4	5	182	182	181	3	1	0	0	1	vendas	01_menor_igual_media	0
210	0.7	4	4	4	6	161	159	148	8	0	0	0	1	vendas	01_menor_igual_media	0
211	0.99	3	4	7	12	173	180	183	6	0	0	0	1	dados	01_menor_igual_media	0
212	0.9	1	4	4	7	187	179	169	5	0	0	0	0	vendas	01_menor_igual_media	0
213	0.9	2	4	4	9	183	174	163	4	0	0	0	0	vendas	01_menor_igual_media	1
214	0.73	2	4	6	8	149	151	153	2	0	0	0	1	vendas	02_acima_media	0
215	0.62	5	5	5	8	163	173	172	4	0	0	0	0	vendas	01_menor_igual_media	1
216	0.87	2	5	7	12	184	181	184	5	0	0	0	0	dados	01_menor_igual_media	0
217	0.96	2	5	7	10	166	167	178	5	0	0	0	0	dados	01_menor_igual_media	0
218	0.52	0	6	6	9	206	197	208	3	0	0	0	0	vendas	01_menor_igual_media	0
219	0.8	0	4	6	7	152	155	154	3	0	0	0	0	marketing/produto	01_menor_igual_media	0
220	0.55	3	5	6	10	174	167	177	3	0	0	0	1	TI/suporte	01_menor_igual_media	0
221	0.1	0	2	4	5	159	155	165	3	0	0	0	1	RH/financeiro	01_menor_igual_media	1
222	0.45	1	2	2	7	181	179	176	4	0	0	0	1	TI/suporte	01_menor_igual_media	1
223	0.72	2	4	4	6	161	158	153	4	0	0	0	0	marketing/produto	02_acima_media	0
224	0.45	2	4	5	8	151	159	163	3	0	0	0	1	vendas	01_menor_igual_media	0
225	0.69	2	4	4	4	173	176	179	3	0	0	0	0	RH/financeiro	01_menor_igual_media	1
226	0.91	1	4	5	10	174	177	177	5	0	0	1	1	vendas	01_menor_igual_media	0
227	0.51	1	3	6	8	167	160	161	2	0	0	0	0	TI/suporte	01_menor_igual_media	1
228	0	0	4	4	9	162	153	155	2	0	0	0	1	dados	01_menor_igual_media	1
229	0.82	3	4	4	5	163	164	170	2	0	0	0	0	marketing/produto	01_menor_igual_media	1
230	0.36	1	4	6	9	150	158	163	3	0	0	0	1	TI/suporte	01_menor_igual_media	0
231		1	2	4	5	167	154	151	3	0	0	0	0	vendas	01_menor_igual_media	0
232	0.45	4	6	9	10	161	159	156	3	0	0	0	0	vendas	02_acima_media	0
233	0.14	0	7	9	9	173	180	186	5	0	0	0	0	dados	01_menor_igual_media	0
234	0.81	2	3	4	8	157	155	152	3	0	1	0	1	RH/financeiro	01_menor_igual_media	0
235	0.8	3	4	6	8	153	162	165	2	1	0	0	1	vendas	01_menor_igual_media	0
236	0.49	1	5	7	11	154	156	168	3	0	0	0	0	vendas	02_acima_media	1
237	0.36	3	4	5	5	193	190	187	6	0	0	0	0	dados	01_menor_igual_media	0
238	0.8	3	5	5	8	153	155	153	4	0	0	0	1	TI/suporte	01_menor_igual_media	0
239	0.92	2	3	6	9	185	187	197	10	0	0	0	0	dados	01_menor_igual_media	0
240	0.53	4	4	7	11	170	160	161	3	0	0	0	1	dados	02_acima_media	0
241	0.94	2	3	5	10	153	154	154	3	0	0	0	1	dados	01_menor_igual_media	0
242	0.83	0	3	3	3	158	160	166	3	0	0	0	0	vendas	01_menor_igual_media	1
243	0.1	1	2	2	3	146	154	155	3	0	0	0	0	TI/suporte	01_menor_igual_media	0
244	0.26	2	4	6	11	158	156	164	3	0	0	0	0	TI/suporte	01_menor_igual_media	0
245	0.13	5	6	9	12	174	181	183	4	0	0	0	1	vendas	01_menor_igual_media	0
246	0.59	0	2	4	9	154	160	161	2	0	0	0	0	dados	01_menor_igual_media	0
247	0.9	2	3	3	4	161	155	152	1	0	0	0	0	vendas	01_menor_igual_media	0
248	0.08	1	2	3	3	162	162	159	4	0	0	0	0	TI/suporte	01_menor_igual_media	0
249		2	3	5	8	190	191	184	3	0	0	0	0	dados	01_menor_igual_media	0
250	0.78	2	3	4	5	159	159	157	3	0	0	0	1	dados	01_menor_igual_media	0
251	0.81	2	3	3	8	162	153	152	2	0	0	1	1	vendas	01_menor_igual_media	0
252	0.81	2	3	4	7	149	155	166	1	1	0	0	1	marketing/produto	01_menor_igual_media	0
253	0.67	1	3	6	11	154	152	152	6	0	0	0	1	TI/suporte	01_menor_igual_media	0
254	0.88	0	3	5	7	182	180	183	6	0	0	0	1	dados	01_menor_igual_media	0
255	0.59	2	3	6	10	158	168	170	2	0	0	0	0	dados	01_menor_igual_media	0
256		3	3	4	5	150	157	155	3	0	0	0	1	marketing/produto	01_menor_igual_media	0
257	0.61	4	4	7	10	179	173	180	7	0	0	0	0	vendas	01_menor_igual_media	1
258	0.25	2	5	5	5	179	180	182	4	0	0	0	0	dados	01_menor_igual_media	0
259	0.96	0	3	5	6	149	155	153	8	0	0	0	0	RH/financeiro	01_menor_igual_media	0
260	0.5	0	3	4	7	169	169	181	3	0	0	0	0	TI/suporte	01_menor_igual_media	0
261	0.99	5	5	6	9	180	180	183	4	1	0	0	1	vendas	01_menor_igual_media	0
262	0.8	1	3	6	10	164	166	166	3	0	0	0	0	RH/financeiro	02_acima_media	0
263	0.96	0	4	4	7	157	156	146	3	0	0	0	0	vendas	01_menor_igual_media	1
264	0.79	2	2	3	6	156	154	161	2	0	0	0	1	dados	01_menor_igual_media	0
265	0.77	1	4	6	8	183	183	189	5	0	0	0	0	TI/suporte	01_menor_igual_media	1
266	0.45	0	6	6	6	152	154	155	6	0	0	0	1	dados	01_menor_igual_media	0
267	0.9	0	3	6	10	186	184	183	2	0	0	0	1	vendas	01_menor_igual_media	1
268	0.95	3	3	6	9	179	182	175	3	0	0	1	1	TI/suporte	01_menor_igual_media	0
269	0.99	4	5	6	6	157	153	155	6	0	0	0	1	dados	01_menor_igual_media	0
270	0.95	1	4	5	9	164	164	152	8	0	0	0	0	RH/financeiro	01_menor_igual_media	0
271	0.7	2	3	6	11	145	152	153	7	0	0	0	1	vendas	01_menor_igual_media	1
272	0.67	1	3	4	9	154	153	159	2	0	0	0	0	dados	01_menor_igual_media	0
273	0.76	4	5	8	8	168	170	167	5	0	0	0	1	vendas	01_menor_igual_media	0
274	0.17	4	6	7	8	194	194	200	4	0	1	0	1	RH/financeiro	01_menor_igual_media	1
275	0.46	3	4	7	10	160	157	145	1	0	1	0	1	dados	01_menor_igual_media	0
276	0.94	2	2	5	9	163	159	164	1	0	0	0	0	TI/suporte	01_menor_igual_media	1
277	0.1	0	3	6	7	163	158	159	3	0	0	0	0	marketing/produto	01_menor_igual_media	0
278	0.83	1	4	7	10	181	182	173	2	0	0	0	0	dados	02_acima_media	0
279	0.3	1	4	5	7	162	157	155	5	0	0	0	0	RH/financeiro	01_menor_igual_media	1
280	0.67	0	3	6	9	151	160	150	1	0	0	0	0	vendas	01_menor_igual_media	1
281	0.03	4	4	6	9	157	155	149	5	0	0	0	1	marketing/produto	02_acima_media	0
282		0	3	5	10	157	159	146	3	0	0	1	1	TI/suporte	01_menor_igual_media	1
283	0.74	0	2	3	5	151	155	157	2	0	0	0	0	RH/financeiro	01_menor_igual_media	0
284	0.06	4	6	9	14	165	159	150	3	0	0	0	1	vendas	01_menor_igual_media	0
285	0.38	1	3	4	4	163	160	171	3	0	0	0	0	marketing/produto	01_menor_igual_media	0
286	0.45	3	4	6	10	179	170	164	2	0	0	0	1	dados	02_acima_media	0
287	0.47	0	4	7	7	165	165	160	5	0	0	0	0	RH/financeiro	01_menor_igual_media	0
288	0.96	2	4	6	6	153	155	154	3	0	0	1	1	marketing/produto	01_menor_igual_media	0
289	0.95	0	3	3	3	158	156	157	3	0	0	0	1	vendas	01_menor_igual_media	1
290		0	5	8	8	183	185	191	4	0	0	0	0	dados	02_acima_media	0
291	0.99	1	4	5	5	178	188	186	5	0	0	0	0	vendas	01_menor_igual_media	0
292	0.53	2	2	2	5	153	155	143	3	1	0	0	1	TI/suporte	01_menor_igual_media	0
293	0.42	3	3	3	5	157	158	156	4	0	0	1	1	dados	01_menor_igual_media	0
