ID	SAFRA	IDADE	RENDA_MEDIA_MENSAL	TOTAL_INVESTIMENTOS	QTDE_CONSULTAS_CREDITO_12M	QTDE_CARTOES	QTDE_EMPRESTIMOS_12M	QTDE_CHEQUE_ESPECIAL_12M	QTDE_PGTOS_EM_ATRASO_12M	TOTAL_DIAS_ATRASO_12M	FLAG_PGTO_PARCIAL_12M	VALOR_PGTOS_12M	PERC_MEDIO_LIMITE_TOMADO_12M	RESPOSTA_MAU_BOM
0x1052a	Safra 3	19	3800	25300	3	1	0	4	0	0	Sim	14224	0.02	1
0x10536	Safra 3	19	4400	0	1	2	0	2	1	7	Sim	12665	0.04	1
0x10542	Safra 1	19	15200	15800	1	2	0	3	3	7	Sim	13454	0.06	1
0x1054e	Safra 3	19	2900	77200	0	1	0	1	0	0	Sim	13023	0.94	1
0x1055a	Safra 3	19	15000	33300	0	8	1	1	2	29	Sim	14644	0.19	0
0x10566	Safra 3	19	4700	100	1	3	1	2	4	17	Sim	26187	0.7	0
0x10572	Safra 3	19	3400	0	0	1	0	1	1	1	Nao	8607	0.04	1
0x1057e	Safra 1	19	6900	118300	2	6	2	2	11	45	Sim	35312	0.62	1
0x1058a	Safra 2	19	17100	88300	5	4	0	1	2	7	Sim	30788	0.11	1
0x10596	Safra 3	19	11900	1000	0	3	1	1	3	23	Sim	21233	0.67	0
0x105a2	Safra 3	19	11900	0	0	4	0	1	3	16	Sim	30130	0.57	0
0x105ae	Safra 1	19	2900	10200	0	4	0	1	3	18	Sim	22557	0.2	1
0x105ba	Safra 2	19	5000	4200	1	2	0	2	1	2	Sim	28888	0.01	1
0x105c6	Safra 2	19	10400	900	0	1	0	1	1	1	Nao	15366	0.05	0
0x105d2	Safra 2	19	7400	35700	3	1	0	2	0	0	Nao	6207	0.69	1
0x105d7	Safra 3	19	11200	100	2	5	1	2	3	10	Sim	33153	0.14	1
0x105d8	Safra 3	19	7200	0	0	6	1	1	6	33	Sim	6376	0.02	1
0x105de	Safra 2	19	5200	0	1	5	0	3	3	7	Sim	39634	0.32	1
0x105ea	Safra 2	19	5100	3800	0	3	0	3	2	14	Sim	7580	0.04	1
0x105f6	Safra 3	19	4600	10100	0	1	0	1	1	1	Nao	9593	0.45	0
0x10602	Safra 3	19	4100	900	1	2	0	2	2	3	Nao	16292	0.49	1
0x1060e	Safra 3	19	17300	63700	7	6	2	3	6	98	Sim	33269	0.32	0
0x1061a	Safra 2	19	2300	300	0	2	0	3	1	8	Sim	19408	0.11	0
0x10626	Safra 3	19	4300	200	1	3	1	1	4	30	Nao	9719	0.74	1
0x10632	Safra 2	19	3200	44300	0	4	0	1	0	0	Nao	13539	0.52	1
0x1063e	Safra 1	19	9200	300	1	3	0	2	6	12	Sim	12755	0.48	1
0x1064a	Safra 1	19	6500	200	1	7	1	2	3	37	Sim	46233	0.11	1
0x10651	Safra 3	19	13200	4600	0	4	0	0	2	12	Sim	20073	0.52	1
0x10656	Safra 2	19	3000	26700	0	4	0	0	2	7	Nao	16923	0.51	1
0x10662	Safra 1	19	14600	44400	0	2	0	1	2	2	Nao	5810	0.28	1
0x1066e	Safra 1	19	5700	0	0	2	0	2	2	9	Nao	946	0.4	1
0x1067a	Safra 1	19	5700	1500	2	3	0	2	2	12	Sim	13594	0	1
0x10686	Safra 3	19	5400	0	1	3	1	2	5	11	Sim	12827	0.25	0
0x10692	Safra 3	19	2600	12000	2	2	0	1	4	4	Nao	8160	0.67	1
0x1069e	Safra 2	20	6400	1100	1	4	0	1	0	0	Sim	27772	0.38	0
0x106aa	Safra 2	20	10900	0	0	5	1	1	4	20	Sim	10724	0.05	1
0x106b6	Safra 1	20	10100	0	0	4	0	3	3	15	Sim	46322	0.15	1
0x106c2	Safra 2	20	9900	3200	0	1	0	1	1	1	Nao	6114	0.17	1
0x106ce	Safra 1	20	3900	0	3	7	3	2	1	10	Sim	33454	0.08	1
0x106da	Safra 1	20	6100	46600	0	3	1	1	3	25	Sim	32432	0.08	1
0x106e6	Safra 3	20	21500	52500	0	1	0	1	1	1	Nao	21075	0.31	1
0x106f2	Safra 2	20	14600	70700	0	3	0	0	3	12	Nao	9562	0	1
0x106fe	Safra 2	20	7600	1300	0	2	0	1	2	2	Nao	9806	0.03	1
0x1070a	Safra 1	20	6200	400	1	2	0	1	2	8	Nao	8063	0.45	1
0x10716	Safra 2	20	2100	500	0	3	0	1	4	15	Sim	23669	0	1
0x10722	Safra 2	20	5100	1800	0	2	0	3	2	8	Sim	13935	0.05	1
0x1072e	Safra 1	20	6200	6300	0	3	0	1	4	11	Sim	31827	0.55	1
0x1073a	Safra 3	20	9000	700	2	6	2	2	3	31	Sim	44121	0.74	1
0x10746	Safra 3	20	19600	13900	4	3	2	5	2	32	Sim	7906	0.3	0
0x10752	Safra 2	20	12900	147200	0	2	0	1	1	3	Nao	6678	0.2	1
0x1075e	Safra 3	20	18400	14900	1	4	0	2	1	2	Sim	10045	0.44	1
0x1076a	Safra 1	20	3800	200	0	2	0	1	3	4	Sim	21983	0.11	1
0x10776	Safra 3	20	4800	0	0	1	0	1	0	0	Nao	9464	0.01	1
0x10782	Safra 1	20	7400	300	0	2	0	1	2	2	Sim	6535	0.25	1
0x1078e	Safra 1	20	8800	400	0	4	0	1	4	5	Nao	2625	0.21	1
0x1079a	Safra 3	20	23300	2500	1	1	0	2	0	0	Sim	21661	0.06	1
0x1079b	Safra 3	20	4500	0	0	3	2	1	1	1	Sim	3894	0.56	0
0x1079c	Safra 3	20	2500	100	0	4	0	1	3	6	Sim	13689	0.06	1
0x107a6	Safra 3	20	14900	98400	10	2	0	1	1	4	Nao	4962	0.32	1
0x107b2	Safra 1	20	19100	79100	8	4	0	3	1	1	Sim	21336	0.44	1
0x107b9	Safra 1	20	14600	58700	0	1	0	1	0	0	Nao	11176	0.35	1
0x107be	Safra 3	20	19300	48800	0	4	0	1	4	18	Sim	21494	0.65	0
0x107ca	Safra 2	20	16600	0	6	6	1	5	2	25	Sim	21865	0.44	1
0x107d6	Safra 3	20	5900	0	0	5	1	2	3	6	Sim	13471	0.51	1
0x107e2	Safra 3	20	5400	1700	2	3	1	2	1	3	Sim	20189	0.1	0
0x107e9	Safra 1	20	4500	0	1	2	0	2	1	1	Sim	11402	0	1
0x107ee	Safra 1	20	6100	2000	1	3	1	2	0	0	Sim	17291	0.45	1
0x107fa	Safra 2	20	10500	136000	3	4	1	2	2	27	Sim	2688	0.19	1
0x10806	Safra 1	20	8000	0	1	3	2	2	2	38	Sim	13113	0.21	1
0x10812	Safra 3	20	9000	34700	3	4	0	2	2	2	Sim	24632	0.76	1
0x1081e	Safra 2	20	5400	10000	2	2	0	1	2	4	Nao	21520	0.05	1
0x1082a	Safra 3	20	3500	100	1	5	0	1	6	11	Sim	7116	0.27	1
0x10836	Safra 3	20	24000	800	3	5	1	2	2	8	Sim	8099	0.01	1
0x10842	Safra 1	20	5000	1700	1	3	0	3	2	4	Nao	13099	0.31	1
0x10846	Safra 1	20	18900	8300	1	3	2	1	4	59	Sim	2583	0.34	1
0x10847	Safra 2	20	3400	0	1	2	0	2	2	5	Sim	17542	0.57	1
0x1084e	Safra 2	20	1800	1700	0	1	0	1	1	1	Nao	6379	0.3	1
0x1085a	Safra 3	20	6800	7400	0	3	0	1	5	14	Nao	13671	0.2	1
0x10866	Safra 1	20	9700	9300	1	4	0	1	3	4	Nao	18703	0.06	0
0x10872	Safra 2	20	9800	0	0	1	0	1	0	0	Nao	13591	0.56	1
0x1087e	Safra 3	20	11400	0	1	3	2	2	2	39	Sim	10705	0.65	0
0x1088a	Safra 1	20	5400	700	0	2	0	0	1	3	Nao	17562	0.27	1
0x10896	Safra 1	20	5600	0	1	4	0	2	2	5	Sim	22380	0.13	1
0x108a2	Safra 2	20	6500	30100	1	1	0	1	0	0	Sim	9219	0.01	0
0x108ae	Safra 1	20	12400	55800	2	4	0	1	2	6	Sim	10839	0.26	0
0x108ba	Safra 1	20	8300	100	1	6	0	2	1	13	Sim	23522	0.34	0
0x108c6	Safra 3	20	13400	149100	0	5	0	1	1	6	Sim	36235	0.77	1
0x108d2	Safra 2	20	10000	300	1	3	0	2	3	11	Sim	21085	0.43	1
0x108de	Safra 2	20	6900	800	0	1	0	1	1	1	Nao	13349	0.38	1
0x108ea	Safra 2	20	11000	200	0	3	0	2	2	2	Sim	14123	0.36	1
0x108f6	Safra 2	20	6900	0	1	5	2	4	8	70	Sim	8413	0.35	0
0x10902	Safra 1	20	7900	6200	1	4	1	3	2	24	Sim	25272	0.01	0
0x1090e	Safra 1	20	6300	0	1	4	1	2	3	31	Sim	9115	0.4	0
0x1091a	Safra 1	20	5700	1800	1	2	0	1	4	4	Nao	3561	0.33	1
0x10926	Safra 2	20	3800	0	0	2	0	1	1	2	Nao	9950	0.02	1
0x10932	Safra 2	20	9200	37000	0	1	0	1	0	0	Nao	5249	0.42	1
0x10933	Safra 2	20	3600	0	0	4	0	1	2	2	Sim	22778	0.43	1
0x10934	Safra 1	20	7100	900	0	2	0	1	2	9	Sim	20747	0.06	1
0x1093e	Safra 1	20	3300	0	0	2	0	1	1	7	Sim	15454	0.44	1
0x1094a	Safra 2	20	16300	1500	2	6	4	2	6	59	Sim	5801	0.75	0
0x10956	Safra 2	20	9700	26000	0	1	0	1	0	0	Nao	14036	0.5	1
0x10962	Safra 2	20	2700	17600	0	1	0	1	0	0	Nao	0	0	0
0x1096e	Safra 3	20	8900	0	3	5	3	5	2	26	Sim	38640	0	0
0x1097a	Safra 1	20	9100	7300	0	1	0	1	0	0	Sim	0	0	1
0x10986	Safra 2	20	2400	19500	0	2	0	1	2	5	Nao	3496	0.14	0
0x10992	Safra 2	20	14600	0	0	3	1	1	4	15	Sim	40771	0.05	1
0x1099e	Safra 2	20	4700	0	1	5	6	2	3	167	Sim	3316	0.02	0
0x109aa	Safra 3	20	3400	100	0	1	0	1	0	0	Sim	10110	0.09	1
0x109ab	Safra 3	20	8000	10500	0	2	0	1	1	2	Nao	7560	0.78	1
0x109b6	Safra 1	20	5600	3400	0	2	0	1	2	2	Nao	15768	0.08	1
0x109c2	Safra 1	20	13500	0	1	6	1	2	6	77	Sim	24777	0.22	1
0x109ce	Safra 2	20	14100	11100	1	4	3	3	3	30	Sim	12620	0.19	1
0x109da	Safra 2	20	30300	3900	1	2	0	2	2	4	Sim	29984	0	1
0x109e6	Safra 3	20	4800	6900	2	2	0	0	2	2	Nao	3451	0.1	1
0x109f2	Safra 3	20	2400	400	1	2	0	2	1	3	Nao	18194	0.06	0
0x109fe	Safra 3	20	5800	4200	2	3	0	1	3	13	Sim	10657	0.33	1
0x10a0a	Safra 1	20	7800	1300	0	3	0	1	3	16	Nao	16621	0.53	1
0x10a16	Safra 1	20	7000	19600	0	2	0	1	1	3	Sim	20365	0.47	1
0x10a22	Safra 2	20	10500	28300	0	2	0	1	2	2	Nao	9372	0.31	1
0x10a2e	Safra 3	20	21300	1000	0	1	0	0	0	0	Nao	3030	0.57	1
0x10a3a	Safra 1	20	6900	7400	0	1	0	2	0	0	Sim	0	0	1
0x10a46	Safra 2	20	8600	100	1	4	0	2	7	15	Sim	31633	0.08	1
0x10a52	Safra 1	20	12200	0	0	2	0	1	4	4	Sim	19032	0.77	0
0x10a53	Safra 3	20	20200	13000	0	2	0	1	1	1	Nao	16960	0.24	1
0x10a54	Safra 2	20	5000	0	0	4	0	2	1	1	Sim	16168	0.13	1
0x10a5e	Safra 1	20	5400	17000	0	2	0	3	1	2	Nao	18410	0.05	1
0x10a6a	Safra 3	20	14300	30600	3	5	1	4	7	28	Sim	34011	0.26	1
0x10a76	Safra 1	20	20500	66100	2	4	0	2	1	1	Sim	20883	0.27	0
0x10a7d	Safra 3	20	4100	300	1	4	0	2	4	10	Sim	17247	0.69	1
0x10a82	Safra 2	20	8100	97400	3	1	0	3	1	1	Sim	15570	0.04	1
0x10a86	Safra 3	20	7500	0	0	2	0	1	3	3	Nao	4657	0.42	1
0x10a87	Safra 1	20	2600	200	0	3	1	1	3	24	Sim	20857	0.92	1
0x10a8e	Safra 3	20	9700	39400	0	1	0	1	0	0	Nao	24435	0.64	1
0x10a9a	Safra 2	20	16200	37100	2	2	0	2	2	6	Sim	24820	0.21	1
0x10aa6	Safra 3	20	18200	13400	0	4	0	1	5	9	Sim	21311	0.76	1
0x10ab2	Safra 3	20	5900	16400	1	2	0	2	3	8	Sim	13613	0.82	1
0x10abe	Safra 3	20	3100	0	0	4	0	1	2	8	Nao	6659	0.15	1
0x10aca	Safra 2	20	6000	16500	3	3	1	1	3	35	Sim	31622	0.1	1
0x10ad6	Safra 2	20	8200	4500	1	4	0	1	3	10	Sim	19167	0.4	1
0x10ae2	Safra 2	20	13500	35100	0	1	0	0	0	0	Nao	0	0	1
0x10aee	Safra 1	20	14600	7100	0	3	0	1	0	0	Sim	9981	0.81	1
0x10afa	Safra 1	20	6900	100	0	3	1	1	3	31	Sim	9720	0.28	0
0x10b06	Safra 2	20	1400	23000	0	4	0	1	0	0	Nao	16906	0.87	1
0x10b12	Safra 3	20	13100	100	1	6	1	2	6	28	Sim	34760	0.05	1
0x10b1e	Safra 1	20	6000	1100	2	3	0	1	2	14	Nao	782	0.1	1
0x10b2a	Safra 2	20	14800	51900	5	5	1	5	5	58	Sim	55727	0.17	1
0x10b36	Safra 2	20	7100	0	1	4	0	2	5	11	Sim	7272	0.77	1
0x10b42	Safra 2	20	10200	48100	5	1	0	1	0	0	Nao	12060	0.02	1
0x10b4e	Safra 2	20	7200	3900	0	3	0	1	3	11	Sim	19763	0.63	0
0x10b4f	Safra 3	20	5000	27900	0	1	0	0	0	0	Nao	7520	0.02	1
0x10b5a	Safra 1	20	4300	200	0	2	0	0	2	3	Nao	10575	0.09	1
0x10b66	Safra 3	20	6000	0	1	3	0	1	3	12	Nao	5644	0.09	1
0x10b72	Safra 2	20	7600	0	0	3	0	1	4	14	Sim	19411	0.4	1
0x10b7e	Safra 2	20	23300	3300	0	1	0	0	1	1	Nao	13640	0.14	1
0x10b8a	Safra 1	20	19500	16500	1	2	0	3	1	1	Sim	16013	0.31	1
0x10b96	Safra 3	20	7300	0	1	4	3	2	6	17	Sim	23357	0.86	0
0x10ba2	Safra 2	20	8500	6800	0	1	0	1	1	1	Sim	26308	0.31	1
0x10bae	Safra 2	20	4400	600	0	1	0	1	0	0	Nao	10316	0.77	1
0x10bba	Safra 3	20	7700	6500	0	2	0	1	4	4	Nao	4265	0.57	0
0x10bc6	Safra 2	20	7200	11300	0	2	0	0	1	1	Sim	11102	0.09	1
0x10bd2	Safra 3	20	5400	0	1	3	1	2	1	6	Sim	20193	0.87	1
0x10bde	Safra 1	20	5900	64100	0	2	0	1	1	1	Nao	16131	0.1	1
0x10bea	Safra 1	20	16500	33200	0	1	0	1	1	1	Sim	10775	0.75	1
0x10bee	Safra 3	20	9200	100	0	2	0	0	3	4	Sim	12664	0.3	1
0x10bef	Safra 3	20	10700	22700	0	4	1	1	5	26	Sim	21626	0.39	1
0x10bf6	Safra 1	20	7800	3000	3	3	1	3	10	54	Sim	43115	0.7	1
0x10c02	Safra 2	20	11500	140900	0	4	0	0	3	7	Sim	16151	0.42	1
0x10c0e	Safra 2	20	7200	21300	0	1	0	1	1	1	Sim	2235	0.06	1
0x10c1a	Safra 3	20	8100	300	2	7	0	2	2	5	Sim	46137	0	1
0x10c26	Safra 2	20	7500	0	1	5	1	3	3	35	Sim	33440	0.29	1
0x10c32	Safra 1	20	6600	0	0	1	0	0	0	0	Sim	26875	0.33	0
0x10c3e	Safra 3	20	4300	0	2	7	1	2	5	55	Sim	11854	0	1
0x10c4a	Safra 3	20	3900	14600	1	1	0	1	1	1	Nao	15511	0.55	0
0x10c56	Safra 3	20	8100	48500	0	2	0	1	1	6	Nao	17510	0.29	1
0x10c62	Safra 2	20	5300	0	2	4	0	2	4	13	Sim	39728	0.02	1
0x10c6e	Safra 3	20	21700	5200	0	3	1	1	2	9	Sim	2852	0.08	1
0x10c7a	Safra 1	20	14600	1100	0	3	0	1	3	13	Sim	17794	0.15	1
0x10c86	Safra 1	20	11700	3700	1	7	1	2	4	48	Sim	7540	0.42	1
0x10c87	Safra 2	20	10200	135400	1	1	0	1	0	0	Nao	4199	0.11	1
0x10c92	Safra 2	20	3600	100	1	3	0	1	2	13	Sim	14081	0.36	1
0x10c9e	Safra 3	20	7200	1800	2	2	0	4	2	4	Sim	13608	0.02	1
0x10caa	Safra 3	20	8000	0	1	5	1	2	12	52	Sim	35424	0.82	0
0x10cb6	Safra 3	20	21400	1100	0	3	1	1	6	25	Sim	20013	0.11	1
0x10cc2	Safra 3	20	7200	6500	1	2	0	1	3	5	Nao	5833	0.01	1
0x10cce	Safra 3	20	8100	75200	4	2	0	1	1	6	Nao	7161	0.49	1
0x10cda	Safra 2	20	12600	5900	3	5	1	2	3	71	Sim	44565	0.33	1
