COD_ESCOLA	TEMPO_MEDIO_EDUC_PAIS	PERC_ALUNOS_BOLSA_FAM	PERC_ALUNOS_DEFICIT_APREND	ESCOLA_TEMPO_INTEG	PERC_PROF_POS_GRAD	PERC_PROF_TEMP	IDEB
174702	6,1	17	17	0	66	4	6,2
176039	7	0	5	0	69	4	7,7
179507	8,8	4	1	0	63	7	8,5
182327	7,7	2	0	0	67	3	7,6
187134	6,8	0	3	0	59	13	7,2
187776	5,8	11	1	0	58	8	6,3
188014	6	1	0	0	60	14	6,4
188189	5,7	29	18	0	55	13	5,9
190075	7,7	9	8	0	69	2	7,8
190890	8	11	7	0	61	1	8,1
192179	5,6	22	17	0	68	2	6
197375	4,5	13	9	0	51	19	5
198684	7,2	5	20	0	68	0	7,7
198935	3,6	32	45	0	56	17	4,5
199914	5,4	0	9	0	63	10	6
200327	6,2	10	11	0	66	4	6,5
202353	5,9	21	5	0	57	40	6,3
202549	6,2	17	25	0	61	11	6,5
203823	3,9	0	28	0	39	31	3,8
206100	3,3	69	56	0	59	10	4,9
206386	4,8	58	29	0	52	10	5,5
206968	6	28	11	0	63	7	6,3
208451	6,6	11	4	0	64	9	6,6
209591	7,4	4	13	0	65	5	7,6
210822	4,8	19	2	0	56	14	5,8
211139	6,1	13	9	0	56	13	6,4
211179	4,5	30	31	0	47	21	4,8
211461	5,8	27	13	0	52	51	6,2
211939	6,6	12	7	0	67	6	7
212670	7,1	0	2	0	67	4	6,9
213996	8,4	1	3	0	66	6	8,2
214352	5,5	27	17	0	55	15	6
215909	7,3	18	16	0	66	6	7,1
215920	3,3	75	41	1	46	21	4,1
216070	7,7	6	11	0	57	11	7,5
216104	5,3	41	5	0	46	17	5,6
217102	6,9	11	4	0	58	11	6,6
217406	5,1	45	24	0	65	5	5,3
218103	8,1	0	2	0	67	3	8,3
220107	5,6	35	13	0	51	17	5,4
222567	7,2	0	10	0	57	19	6,6
222853	3,9	26	46	0	68	11	4,4
224605	7,5	0	2	0	63	8	8
225462	5,1	0	23	0	60	15	5,6
225897	5,7	48	18	0	53	13	6,1
226024	4,3	70	45	0	64	9	5,7
226580	6,1	0	29	0	62	5	6,2
228371	6,3	12	4	0	56	12	5,7
229522	5,6	54	33	0	54	13	5,5
229531	6,3	18	1	0	60	14	6,8
229924	6,7	15	7	0	56	13	6,6
230067	8,3	0	5	0	63	14	8,1
230844	6,1	15	8	0	61	9	5,7
233666	5,1	41	5	0	38	38	5,2
236181	7,5	0	7	0	64	8	7,4
237322	3,3	0	29	0	51	22	4,1
238373	4,8	0	25	0	53	23	5,5
238435	7	0	0	0	70	0	6,8
239181	6,2	18	1	0	70	3	7,1
239854	5,6	40	31	0	70	4	5,9
242687	6,5	0	0	0	48	13	6,4
243928	5,3	39	24	0	39	1	5,9
244204	6,7	0	8	0	60	11	7,2
244235	5,9	39	10	0	62	10	6,2
244684	6,8	0	12	0	55	15	6,7
245477	7,9	1	2	0	70	4	8
245682	5,4	36	4	0	69	16	5,3
247669	6,8	17	3	0	70	0	6,9
247837	7,3	4	1	0	68	5	7,2
248706	3,8	62	14	0	41	29	5,5
249885	7,1	13	3	0	67	3	7,6
250037	6,9	0	0	0	67	3	6,9
250341	6,6	12	3	0	53	14	7
250673	6,2	18	3	0	50	16	6,9
251727	7,2	6	4	0	69	3	7,4
252854	4,8	0	17	0	52	14	5
254756	6,7	0	0	0	59	11	7
254790	6,3	0	14	0	63	7	6,2
255793	6,8	20	9	0	51	16	7,2
256776	6,3	29	0	0	66	4	6,7
257040	7,4	14	4	0	65	9	7,5
257490	8,1	0	3	0	65	8	8,2
258786	7,1	0	7	0	54	20	6,9
259485	3,7	87	31	0	68	2	6,2
259659	7,3	9	1	0	64	6	7,6
259785	4,6	0	25	0	53	17	5,3
261909	4,3	7	11	0	57	13	5
263026	8,2	0	0	0	66	7	8
263652	6,7	0	2	0	50	18	6,7
263705	5,3	0	4	0	44	24	5,4
266244	5,5	0	17	0	60	10	5,7
266432	6,2	0	1	0	22	43	6,2
267229	5,5	35	8	0	67	3	5,9
267272	5,9	0	0	0	70	5	6,7
267470	5,2	0	13	0	57	14	5,7
268715	6,5	0	0	0	66	4	6,8
269911	6,2	0	14	0	70	3	6,4
271053	5,4	0	22	0	67	8	5,8
271266	4,4	0	11	0	60	15	4,9
271373	6,6	23	0	0	67	3	6,8
271648	4,8	62	38	0	66	10	5,4
272916	6,7	18	2	0	70	0	7,2
273931	5,3	33	5	0	64	6	5,9
276083	4,6	61	20	0	48	22	6,2
276309	6,8	0	3	0	65	5	7,1
277525	3,8	0	28	0	49	20	4,7
277538	5,4	22	11	0	59	11	6
277624	6	1	9	0	63	5	6,6
277792	4,4	55	27	0	56	19	5,7
277885	6,2	15	11	0	56	12	5,7
278413	2,9	89	40	0	56	14	4,4
280140	6,5	0	27	0	68	2	6,4
280168	5	33	14	0	59	11	5,4
280305	5,6	54	2	0	70	12	6
280326	6,7	0	0	0	66	8	7
280652	7,3	0	0	0	66	4	7,9
280766	5,7	32	21	0	67	3	5,9
281035	5,9	18	1	0	64	6	6,9
282189	6,7	17	13	0	52	16	7,2
282688	5,4	47	27	0	53	16	6,3
283512	3,1	76	37	0	61	26	4,1
284452	5	53	22	0	67	3	5,5
285466	5,7	0	2	0	62	11	6,1
288400	5,9	38	6	0	62	4	6,7
289281	5,8	17	9	0	68	4	6,4
289332	3,8	0	10	0	58	13	4,5
289371	6,6	10	7	0	70	0	7
289570	5,6	27	14	0	61	8	6,1
289688	6,6	17	12	0	55	18	6,8
289705	6,7	16	1	0	63	7	7,2
290423	5,9	24	16	0	60	14	6,4
290983	6,4	27	13	0	65	2	6,5
291146	5	0	1	0	51	28	6,1
291225	5,5	31	8	0	69	16	5,8
292349	5,9	28	3	0	67	3	6,6
294373	7,6	5	7	0	69	4	7,9
295002	6,6	13	6	0	66	4	6,8
296179	5,7	0	3	0	60	8	6,7
297054	4,8	33	4	0	44	29	5
299914	7,6	1	9	0	65	6	7,6
301427	6,2	25	25	0	70	2	6,5
301996	4,8	48	27	0	53	17	4,3
302479	5,6	28	23	0	67	3	5,9
303710	5,8	23	3	0	66	4	6
303859	7,1	0	7	0	65	5	7,8
304017	6,1	0	2	0	56	7	6,9
305059	7,1	5	9	0	68	3	7,4
305444	6,6	11	5	0	61	10	6,5
305713	6,4	23	12	0	57	15	6,5
307245	6,2	21	14	0	62	6	6,1
307270	6,9	12	1	0	63	13	6,8
307419	5,8	37	2	0	52	21	5,9
307451	4,9	3	22	0	65	5	5,6
310443	4,7	0	27	0	51	20	5,5
310583	6,2	0	3	0	70	0	6,2
312678	7,6	8	6	0	67	4	7,3
315920	5,9	0	10	0	58	19	6
316652	6,9	0	2	0	54	13	6,7
317381	6	28	6	0	67	3	6,5
317522	8,2	4	2	0	61	7	8,2
317740	5,8	21	6	0	58	13	6,3
319214	4,2	66	44	1	49	17	4,9
320462	8,4	0	1	0	67	3	8,1
321174	4,9	59	28	0	54	13	5,5
321379	6,4	0	10	0	59	14	6,5
321663	4,9	59	26	0	58	18	5
322452	4,2	0	36	0	61	12	4,5
323132	5,5	0	9	0	65	6	6,4
324305	6,2	14	7	0	62	11	6,1
325015	4,4	58	5	0	60	10	4,9
325875	6,8	20	10	0	68	3	6,4
326710	5,9	0	16	0	67	5	6,5
326887	7,2	0	6	0	65	5	6,4
328707	6,1	40	20	0	64	6	5,9
329911	3,1	84	29	1	59	8	4,5
330060	6,5	0	8	0	70	3	6,5
330118	5,9	17	14	0	64	10	6,5
330265	6,4	16	17	0	56	24	6,5
333990	6,7	9	4	0	57	13	6,3
334421	4,7	68	18	0	53	14	5,2
334496	6,4	0	2	0	70	0	6,9
335247	7,8	5	13	0	62	8	8,4
335350	5,1	52	26	0	55	15	5,1
337379	4,8	12	18	0	60	0	5
337752	6,2	25	7	0	68	2	7
338311	5,2	0	8	0	59	4	6,3
338742	5,2	46	15	0	55	12	5,9
338977	5,8	10	24	0	65	4	6,1
339404	4,3	62	38	0	56	14	4,8
340111	5,8	12	2	0	65	10	5,8
344475	5	9	16	0	66	7	5
344712	4,5	44	7	0	61	16	5
345610	6,6	0	3	0	65	5	7
346428	3,8	59	47	0	63	7	5,3
346886	7,5	10	7	0	68	3	7,6
348029	6,4	0	21	0	62	2	6,3
349462	7,4	0	4	0	68	2	7,7
349646	6	27	7	0	70	0	5,7
349929	3,3	83	33	1	48	17	4,8
351923	5,7	0	19	0	54	16	5,9
352113	5,6	39	3	0	42	31	5,4
352117	3,9	64	26	0	50	17	4,5
352851	6,2	0	2	0	41	29	6,3
354835	5,8	11	24	0	64	4	5,8
354914	7,2	0	5	0	70	0	7,4
355298	4,4	52	8	0	56	14	5,2
355518	4,3	0	24	0	61	9	4,5
357326	6,4	0	3	0	65	5	6,6
357339	4,4	50	16	0	55	15	4,8
359243	5,6	0	5	0	54	17	5,4
360723	6,8	6	0	0	63	7	6,6
362020	6,5	0	8	0	58	11	6,1
363594	7,1	5	2	0	67	2	7,2
363923	7	0	0	0	64	4	6,6
364085	6,1	0	1	0	68	2	6,5
364172	3,9	0	23	0	35	33	4
368887	5,1	61	40	0	70	0	6,8
369588	5,5	35	11	0	58	7	6,2
369806	6,4	19	14	0	59	11	6,3
370666	4,7	27	0	0	28	42	6,2
372443	5,9	25	19	0	59	17	6,2
372821	4,9	98	30	0	68	2	5,4
373185	5,8	35	27	0	61	13	6,1
375202	5,2	11	2	0	66	8	7,3
377292	6,1	56	37	0	57	10	5,9
378960	6,7	18	4	0	43	23	6,7
379552	3,5	55	9	0	49	21	4,8
381571	4,3	0	30	0	62	8	5,3
382640	5	55	37	0	62	8	5,6
382883	3,4	87	45	1	55	13	4,6
382984	3,8	78	38	0	62	10	4,6
383220	3,3	0	51	0	51	19	4
384105	5	50	4	0	24	54	4,5
384200	5,6	0	6	0	41	28	5,2
384368	4,9	64	31	0	61	9	4,8
384563	5,5	0	18	0	62	9	5,8
384758	3,2	68	40	0	39	21	4,1
384788	8,1	8	4	0	57	13	7,9
385259	4,9	0	23	0	49	21	5,1
387072	6,1	14	30	0	66	6	6,3
388056	5,4	35	15	0	56	42	5,6
388297	3,1	81	34	1	53	13	4,8
389845	6	12	3	0	66	5	6,4
390096	5,7	35	12	0	59	9	5,7
391131	4,4	0	36	0	45	27	4,3
391991	5	44	29	0	55	10	5,3
392423	4,6	0	26	0	59	13	5,1
392770	6,8	18	7	0	63	12	6,4
393063	6	0	7	0	70	2	6,4
393562	7,2	0	8	0	62	9	7,5
393898	7,2	8	7	0	65	7	6,9
397518	7,6	0	0	0	70	2	7,6
403132	5,2	23	19	0	59	9	5,9
403622	2,9	73	66	0	57	13	4,3
405219	5,8	36	2	0	64	7	5,4
405723	9	0	1	0	64	4	9,1
406451	6,5	12	1	0	66	8	7,2
406976	5,8	27	19	0	65	3	6
408044	6	28	15	0	48	16	6,1
408502	5,3	0	6	0	38	31	5,3
414794	6,7	0	11	0	57	14	6,1
415162	7,9	34	18	0	58	12	7,7
416345	4,3	0	35	0	67	14	4,6
417657	3,4	67	22	0	57	13	4,6
418396	6,5	0	2	0	66	4	7
419358	5,1	4	9	0	57	14	5,1
419964	4,8	24	24	0	59	10	5,1
421094	4,1	36	41	0	42	15	4,4
421628	7,5	0	9	0	59	15	7,3
421640	6,7	10	0	0	64	7	7
422782	7	7	5	0	70	0	7,3
423069	3,7	80	28	1	48	17	5,1
423148	6,1	30	17	0	55	20	6,5
423247	5,9	29	7	0	40	21	6,1
423931	6,5	23	11	0	52	12	6,2
424346	4,7	40	42	0	66	7	5,5
426381	6,9	32	0	0	70	0	7,3
426733	5,5	57	19	0	60	8	6,2
426903	5,4	47	11	0	59	9	5,6
428210	4,1	81	50	0	70	1	5,4
428702	5,9	27	13	0	54	13	5,9
429315	5,1	0	6	0	57	13	5,5
429713	5,9	37	4	0	66	8	5,9
429802	6,9	11	8	0	45	26	7,7
431286	6,9	0	2	0	65	5	7,6
431373	5,6	39	15	0	65	5	5,9
431868	5,9	42	23	0	67	4	6
432627	5,7	21	21	0	52	12	6
432870	6,3	15	11	0	53	17	6
434858	4,8	69	14	1	42	23	4,3
436110	4,3	86	33	0	68	3	5
436526	6,5	13	2	0	63	6	6,8
441310	6	10	11	0	70	2	7
442461	6,4	46	4	0	36	22	6,3
442492	6,9	0	4	0	62	8	7,6
443681	7	0	1	0	59	13	6,9
445142	6,3	0	2	0	70	0	6,8
445630	5,8	35	24	0	70	4	5,9
446986	5,3	50	17	0	52	16	5,3
449323	7	27	4	0	65	6	6,6
449326	4,5	0	25	0	65	6	5,4
449574	4,2	48	15	0	54	20	4,3
450300	5,3	38	7	0	60	18	5,8
450546	6,7	22	12	0	69	1	6,9
452389	6,5	0	0	0	60	10	7
452582	6	4	3	0	70	3	7,7
452837	5,2	59	36	0	65	5	6,5
452964	5,9	33	0	0	67	3	6,6
453752	4,5	57	21	0	44	26	5,1
455593	6,9	0	9	0	69	2	6,5
455974	5,2	32	33	0	49	21	6
456066	6,8	12	17	0	64	6	7,1
456706	2,9	72	41	1	43	20	4,6
457863	6,1	22	13	0	51	12	6,4
459257	8,5	0	1	0	62	10	8,4
461507	4	68	41	0	58	14	4,9
461523	7	0	1	0	70	4	6,9
461644	6	0	0	0	59	11	6,8
462251	6,8	17	5	0	69	1	6,9
463195	5,3	40	22	0	58	12	5,8
464167	7	9	0	0	68	2	7,5
464228	7,1	9	3	0	59	11	7,1
464581	4,7	0	27	0	70	6	4,9
465705	7,3	8	11	0	55	8	7,4
466795	7,2	0	1	0	63	10	7,3
467272	5,4	33	19	0	43	3	6
467432	7	28	11	0	64	4	7,1
467846	7	5	19	0	65	3	6,8
468026	6,3	0	2	0	70	6	6,7
468301	4,4	0	8	0	45	23	5,5
468640	6,1	0	0	0	70	3	6,3
469794	6,6	18	10	0	68	5	7,2
469950	5,7	25	9	0	50	16	5,7
470142	6,2	26	10	0	53	21	6,4
470377	5,6	17	6	0	70	0	6,6
471811	7,2	0	5	0	65	7	7,2
472314	5,2	41	2	0	51	19	5,5
473728	4,3	46	30	0	57	14	4,7
474230	5,1	58	16	0	45	19	4,4
474238	8,1	10	6	0	65	8	8,2
475366	7,9	6	13	0	65	5	7,7
475846	9	3	4	0	63	3	8,9
475855	5,3	31	8	0	67	4	5,9
479973	6,4	23	16	0	64	0	6,7
480249	4,9	47	2	0	49	27	5,7
480300	6,8	0	0	0	60	10	7,1
481198	5	19	18	0	70	2	6,2
482199	5	28	33	0	59	12	4,7
483402	8,3	5	1	0	68	2	8
483781	5,6	4	21	0	63	14	5,7
484384	4,4	44	35	0	52	16	4,9
485051	4,1	0	18	0	54	19	4,6
487950	6,1	25	12	0	64	13	6,4
488320	6,5	7	6	0	65	4	7
490368	5,8	0	3	0	54	16	5,9
491998	4,9	46	9	0	67	1	5,9
497105	4,4	55	28	0	66	18	4,7
497168	7,9	0	9	0	68	7	7,7
498158	7,3	0	0	0	63	14	7,6
499998	7,1	14	8	0	63	14	6,9
500084	8,4	2	0	0	63	2	9,7
501995	6,4	20	14	0	66	2	6,8
502274	6,6	0	10	0	67	8	7
502790	6,6	24	4	0	54	11	5,7
502971	5,8	0	10	0	63	12	6,6
503547	8,3	1	4	0	63	20	8,9
504103	6,1	19	7	0	51	19	4,4
504831	3,7	58	18	0	55	15	4,7
505362	8,6	1	1	0	66	3	8,1
506329	3,8	84	21	0	52	12	5,1
507711	5,1	37	19	0	58	11	5,3
508122	3,2	89	29	1	51	11	4,8
508195	7,5	8	13	0	59	10	7,5
508342	5,8	40	13	0	67	0	6
509000	6,8	0	7	0	61	4	6,7
509039	5,6	46	8	0	56	14	6,6
509205	4,4	0	25	0	68	2	4,6
509280	3,6	0	43	0	56	17	5
509767	6,5	0	10	0	68	5	7,2
510641	4,8	60	18	0	70	0	5,8
511346	6,6	0	6	0	68	2	6,9
513326	4,8	35	26	0	62	8	5,3
513418	5,9	30	1	0	68	0	6
513748	3,6	0	14	0	50	20	5
514245	6,7	0	5	0	68	2	7
514929	5,7	0	33	0	61	10	5,7
516092	6,4	0	14	0	57	16	5,9
517406	5,6	36	27	0	57	10	5,3
520824	3,4	71	49	0	55	15	4,7
521014	7,8	6	5	0	58	12	7,9
522221	5,1	31	21	0	52	8	5,5
524067	6,6	0	14	0	62	4	6,7
524698	3,8	0	9	0	61	12	5,2
524984	3,9	0	27	0	42	24	4,1
525333	6,2	24	16	0	53	17	6
525717	4,3	77	37	0	66	2	5,2
527235	4,9	0	26	0	68	4	5,1
528686	7,2	3	17	0	67	1	7,2
528757	4,3	60	36	0	47	28	4,3
529009	5,3	46	14	0	67	5	5,2
529222	6,8	2	0	0	70	0	7,6
529531	8,5	0	12	0	64	6	8,4
529600	7,5	5	7	0	68	2	7,5
530312	6,5	15	5	0	61	7	6,5
531528	7,9	5	1	0	70	2	8
531636	7,1	6	5	0	70	1	7,2
531754	7,3	0	3	0	65	13	7,6
532504	6,3	5	0	0	62	12	6,6
534885	8	1	9	0	57	14	8,3
535578	5,6	27	7	0	58	18	5,8
535939	5,5	49	27	0	70	3	5,6
536384	5,6	0	15	0	59	9	5,1
537595	4,4	43	20	0	49	21	5,2
538438	4,1	12	24	0	58	14	4,9
538662	5,2	62	9	0	65	5	5,8
539063	6,6	0	6	0	67	6	7,1
540384	4,1	48	11	0	45	27	4,5
540685	6,7	0	2	0	60	15	6,6
544117	6,1	12	2	0	67	3	6,5
544117	5,4	0	2	0	36	27	5,6
545075	7	9	6	0	68	7	7,3
545089	7,1	7	0	0	69	3	7,3
545404	4,9	0	15	0	52	20	5,4
546858	4,4	32	30	0	53	10	4,9
547204	6,9	20	13	0	58	14	6,8
548831	5,3	0	30	0	67	3	5,2
550304	6	24	15	0	49	3	6,9
551931	6,8	0	3	0	58	11	7,2
552116	8,7	1	6	0	60	9	8,5
552149	8,3	0	0	0	59	11	8,5
552485	6,8	16	1	0	55	47	7
552551	6	0	21	0	64	8	5,9
553252	3,7	70	53	0	65	8	5,2
554063	7	27	15	0	61	7	6,9
554292	7,1	22	9	0	66	1	7,1
554911	8,6	0	11	0	64	6	8,5
555274	5,8	0	5	0	65	8	6,1
555551	6,4	40	5	0	67	3	6,7
556211	6,4	0	0	0	70	0	6,9
557819	6,5	19	10	0	49	21	6,8
558079	4,9	34	18	0	55	15	5,2
558128	5,8	20	12	0	62	3	6,3
559296	6,6	5	1	0	65	5	7,2
560043	4,5	0	29	0	40	20	3,8
561524	4,5	0	14	0	62	10	5,3
562062	6,8	9	10	0	63	11	7,8
562706	6,4	0	18	0	68	4	6,4
564487	6,7	0	18	0	63	7	6,9
565892	5	0	22	0	62	11	5,8
566064	6,2	21	9	0	69	2	6,6
566823	5,4	16	7	0	55	15	6,1
567523	5,3	39	19	0	62	12	5,1
567928	7,6	8	6	0	62	10	7,4
568277	5,9	18	3	0	59	11	5,8
568877	5,5	19	13	0	70	1	6,5
569120	5,8	21	2	0	70	2	6,5
569480	5,5	30	16	0	59	17	5,1
569944	4,6	53	16	0	49	21	5,7
570148	8	0	4	0	62	11	8
570276	5,7	0	14	0	55	18	6,3
570293	7	7	3	0	68	2	7,5
570700	4,6	70	20	0	58	5	6
571566	6,8	37	0	0	61	9	9,1
571626	4,4	75	57	0	48	25	4,6
572179	6,2	0	1	0	52	17	6,2
572223	6,7	10	4	1	55	5	6,4
573037	5,1	60	15	0	64	2	4,8
573104	7,3	11	1	0	70	0	7,5
573292	6,7	4	5	0	68	5	7,1
573570	7,1	6	3	0	59	11	7,6
574320	7,9	3	0	0	66	4	7,5
574356	6,8	0	8	0	66	6	6,4
575658	4,4	38	14	0	58	20	5
577069	3,6	72	48	0	62	8	4,6
577179	5,5	0	17	0	58	17	5,5
577245	6,4	0	7	0	70	0	6,7
577247	5,6	1	9	0	66	9	6,2
577433	4,9	23	29	0	53	17	5,2
578071	6	22	20	0	55	2	7
582042	2,6	64	52	1	43	25	4,1
583002	4,4	57	14	0	61	17	5
583351	5,5	33	11	0	45	19	6,3
583726	3,8	67	31	0	44	19	5,6
584151	8,3	2	3	0	64	6	8,3
584176	3	70	52	1	47	19	4
586625	4,2	70	46	0	61	9	5,4
586765	6,3	11	10	0	62	9	6,2
588108	7,1	10	2	0	69	1	7,2
588420	4,8	0	20	0	63	9	5,5
589809	5,8	51	19	0	45	28	5
589812	4,2	95	29	0	56	20	4,4
590360	6,3	25	3	0	45	30	6,2
590630	5	0	40	0	33	41	5,3
591298	3,1	46	42	0	52	19	4,7
591904	3,6	66	29	0	47	18	4,9
592496	6,1	0	10	0	64	6	7
592672	5,1	35	7	0	52	9	5,6
593645	4,6	0	6	0	68	0	5,8
593811	5,8	20	9	0	63	4	6,1
593844	5,7	28	21	0	47	20	5,8
594078	3,9	0	46	0	49	17	3,9
595786	6,3	0	2	0	60	13	6
599449	7	8	6	0	69	1	7
599948	5,2	0	12	0	58	16	5,5
600666	6,2	0	1	0	64	7	6,8
600842	4,8	52	20	0	50	20	5,3
601193	6,7	0	3	0	56	15	7,1
601610	5,5	0	20	0	70	5	5,6
601955	6,4	4	5	0	68	4	6,9
602116	4,5	31	24	0	54	14	4,9
602120	6,3	48	13	0	36	35	5,5
602632	6,6	21	16	0	61	9	6,7
603710	6,2	13	22	0	61	9	6
604459	7,5	3	2	0	70	0	7,9
604586	7,2	0	1	0	66	7	7,7
604623	8,1	6	2	0	63	7	8
604772	6,2	2	16	0	59	13	6,4
605508	6,7	13	3	0	47	21	5,8
606334	3,6	67	37	0	58	19	4,9
606526	5,7	0	0	0	63	20	5,9
608767	6,3	14	0	0	70	0	7
609484	5,4	3	8	0	59	11	5,3
610707	7,6	5	9	0	61	7	7,5
611009	7,6	16	5	0	64	1	7,5
611954	6,2	19	17	0	66	8	6,7
612855	4,1	53	29	0	50	15	4,8
613310	5,5	0	13	0	59	9	5,2
614573	5,4	52	31	0	44	23	6,2
614757	4,4	68	31	0	54	14	5,1
615192	5,5	19	20	0	65	9	5,9
616926	5,7	78	7	0	60	3	7,2
617761	6,9	16	5	0	57	17	7,2
618222	6,3	21	9	0	62	8	7,2
618511	4,4	63	30	0	65	6	4,7
618840	6,2	40	12	0	67	4	6
619948	7,4	0	0	0	66	4	7,8
621394	4,8	0	30	0	69	1	5,8
623807	6,8	18	5	0	69	2	7,4
625734	4,1	41	18	0	18	56	3,6
628732	5,3	58	34	0	63	7	6,1
629304	5,4	0	4	0	44	25	5,5
629855	6,6	12	12	0	64	6	6,2
630196	7,8	7	0	0	65	3	7,9
631048	6	24	8	0	70	2	6,9
631119	5,8	0	5	0	70	0	7,5
631366	4,9	0	30	0	62	5	5,4
632908	6,6	0	0	0	42	27	6,6
633363	6,8	14	6	0	60	11	7
634073	6,9	12	5	0	65	6	6,7
635335	6,3	24	15	0	59	13	6,9
635356	7,1	0	6	0	69	2	6,7
636279	4,8	21	26	0	59	11	5,2
636956	4,9	55	20	0	58	11	5,5
636971	6,3	28	4	0	70	3	6,7
639005	7,5	0	0	0	62	9	7,6
639315	5,5	15	10	0	69	4	6
643051	4,7	35	2	0	70	0	5,5
643206	5,3	20	10	0	57	13	5,5
643770	6,3	29	9	0	39	21	5,8
645859	4,8	41	24	0	54	18	5,3
646308	6,5	0	3	1	66	5	7,1
646830	4,2	50	49	0	56	14	4,4
646949	5,9	23	5	0	64	8	6,3
648129	5,1	0	18	0	63	9	6,1
649410	5,2	0	36	0	65	2	5,6
649804	7,2	5	5	0	50	5	7,7
650702	8,4	3	3	0	69	1	8,5
651500	5,9	0	9	0	64	7	6,3
652411	5	19	7	0	42	10	6,1
655867	3,6	0	44	0	57	15	4,8
656917	6,6	23	15	0	55	14	6,6
657203	5,1	53	24	0	63	7	5,9
658111	5,9	20	7	0	62	10	6,1
659556	6,2	30	10	0	64	8	6,1
661255	6,3	0	1	0	59	9	6,6
661826	6,7	3	0	0	63	10	7,2
661948	5,8	21	13	0	60	10	5,9
663742	4,7	0	18	0	56	14	4,9
663990	6,7	0	17	0	65	10	7,1
664483	5	44	9	0	59	14	5,8
664862	8,9	0	0	0	59	9	8,7
665807	5,6	32	7	0	63	14	6
665950	6,6	0	5	0	65	10	7,1
666675	5,9	0	6	0	69	3	6,8
667236	5,9	39	0	0	64	16	5,9
668895	5,6	36	22	0	64	6	5,8
669343	7,7	6	2	0	67	6	8,2
669663	7,3	8	4	0	69	3	7,1
672404	3,5	74	26	0	56	21	4,7
672645	5,1	32	8	0	53	11	5,5
673216	4,8	31	30	0	46	26	5,3
674724	3,2	61	60	0	67	4	4,6
