id_titulo	categoria	qtde_paginas	edicao	tipo_capa	densidade_papel	cor	ano	preco
00105	Autoajuda	330	Reedicao	Flexivel	Baixa	Preto	2021-2023	29.85
00106	Gestao	559	Reedicao	Flexivel	Baixa	Preto	Até 2017	40.06
00107	Ciencias	108	Reedicao	Dura	Baixa	Preto	2021-2023	40.76
00108	Culinaria	478	Original	Dura	Baixa	Preto	2018-2020	61.58
00109	Gestao	644	Original	Flexivel	Baixa	Preto	2018-2020	64.51
00110	Espiritualidade	408	Original	Dura	Baixa	Preto	Até 2017	57.03
00111	Culinaria	424	Reedicao	Dura	Baixa	Preto	2018-2020	62.07
00112	Autoajuda	621	Reedicao	Flexivel	Baixa	Preto	2021-2023	68.57
00113	Infantil	298	Original	Flexivel	Baixa	Preto	2018-2020	57.77
00114	Espiritualidade	72	Original	Flexivel	Baixa	Preto	2021-2023	30.77
00115	Gestao	228	Reedicao	Flexivel	Baixa	Preto	Até 2017	35.11
00116	Biografia	284	Reedicao	Flexivel	Baixa	Preto	2018-2020	34.97
00117	Autoajuda	292	Reedicao	Flexivel	Alta	Preto	2018-2020	35.44
00118	Literatura	552	Reedicao	Flexivel	Baixa	Preto	Até 2017	67.62
00119	Ciencias	457	Reedicao	Flexivel	Alta	Preto	2021-2023	87.22
00120	Gestao	482	Reedicao	Flexivel	Alta	Preto	Até 2017	58.18
00121	Infantil	557	Reedicao	Dura	Baixa	Preto	2021-2023	70.04
00122	Autoajuda	135	Reedicao	Flexivel	Baixa	Cores	Até 2017	26.17
00123	Literatura	370	Reedicao	Dura	Alta	Preto	Até 2017	62.77
00124	Infantil	497	Original	Dura	Baixa	Cores	2018-2020	74.65
00125	Gestao	496	Reedicao	Flexivel	Baixa	Preto	2021-2023	50.96
00126	Espiritualidade	469	Reedicao	Flexivel	Baixa	Preto	Até 2017	49.63
00127	Gestao	366	Original	Flexivel	Baixa	Preto	Até 2017	36.23
00128	Biografia	387	Reedicao	Flexivel	Baixa	Preto	2018-2020	49.54
00129	Ciencias	542	Reedicao	Flexivel	Baixa	Preto	Até 2017	65.94
00130	Gestao	302	Original	Flexivel	Baixa	Preto	2021-2023	36.89
00131	Literatura	214	Original	Dura	Alta	Preto	2018-2020	43.83
00132	Literatura	396	Original	Flexivel	Baixa	Preto	2018-2020	64.99
00133	Autoajuda	449	Original	Flexivel	Baixa	Cores	Até 2017	49.07
00134	Ciencias	719	Original	Flexivel	Baixa	Preto	2021-2023	89.94
00135	Artes	599	Original	Dura	Alta	Preto	Até 2017	92.07
00136	Espiritualidade	485	Reedicao	Flexivel	Baixa	Preto	Até 2017	51.03
00137	Autoajuda	234	Reedicao	Flexivel	Baixa	Preto	2018-2020	34.31
00138	Infantil	391	Reedicao	Flexivel	Baixa	Preto	2021-2023	36.00
00139	Infantil	289	Original	Flexivel	Alta	Preto	2021-2023	23.50
00140	Artes	258	Original	Dura	Baixa	Preto	Até 2017	40.84
00141	Autoajuda	217	Reedicao	Flexivel	Baixa	Preto	2018-2020	33.17
00142	Culinaria	337	Original	Dura	Baixa	Cores	2018-2020	57.64
00143	Historia	530	Reedicao	Flexivel	Baixa	Preto	Até 2017	59.87
00144	Artes	245	Reedicao	Dura	Alta	Cores	Até 2017	50.66
00145	Biografia	355	Original	Flexivel	Baixa	Preto	2018-2020	58.65
00146	Literatura	765	Original	Flexivel	Alta	Preto	Até 2017	74.31
00147	Gestao	340	Original	Flexivel	Alta	Preto	2018-2020	45.16
00148	Gestao	217	Original	Flexivel	Baixa	Preto	2018-2020	26.62
00149	Ciencias	408	Original	Flexivel	Baixa	Preto	Até 2017	49.86
00150	Espiritualidade	309	Reedicao	Flexivel	Baixa	Preto	2021-2023	45.54
00151	Artes	242	Original	Flexivel	Alta	Preto	2021-2023	50.43
00152	Ciencias	391	Reedicao	Flexivel	Baixa	Preto	2018-2020	69.00
00153	Ciencias	315	Reedicao	Dura	Baixa	Preto	2021-2023	65.30
00154	Universitario	818	Reedicao	Flexivel	Baixa	Cores	Até 2017	122.14
00155	Historia	335	Reedicao	Flexivel	Baixa	Preto	2021-2023	52.36
00156	Universitario	976	Reedicao	Flexivel	Baixa	Cores	2018-2020	126.58
00157	Gestao	467	Reedicao	Flexivel	Alta	Preto	2021-2023	55.81
00158	Ciencias	408	Original	Flexivel	Alta	Preto	Até 2017	66.83
00159	Culinaria	378	Original	Dura	Alta	Preto	Até 2017	83.47
00160	Ciencias	277	Original	Flexivel	Baixa	Preto	2021-2023	57.07
00161	Literatura	192	Reedicao	Flexivel	Baixa	Preto	Até 2017	4.45
00162	Artes	297	Reedicao	Flexivel	Baixa	Preto	2021-2023	40.01
00163	Ciencias	530	Reedicao	Flexivel	Alta	Preto	2018-2020	69.00
00164	Ciencias	454	Reedicao	Flexivel	Baixa	Preto	Até 2017	73.43
00165	Universitario	446	Reedicao	Dura	Baixa	Preto	2021-2023	99.98
00166	Autoajuda	248	Reedicao	Flexivel	Baixa	Preto	2018-2020	37.26
00167	Gestao	492	Original	Flexivel	Baixa	Preto	2018-2020	64.47
00168	Culinaria	382	Reedicao	Dura	Alta	Cores	Até 2017	56.89
00169	Biografia	545	Reedicao	Flexivel	Baixa	Preto	Até 2017	47.23
00170	Literatura	398	Reedicao	Dura	Baixa	Preto	Até 2017	63.37
00171	Autoajuda	357	Reedicao	Dura	Alta	Cores	2018-2020	32.41
00172	Culinaria	578	Original	Dura	Baixa	Preto	Até 2017	81.30
00173	Literatura	52	Reedicao	Flexivel	Baixa	Preto	2018-2020	35.58
00174	Biografia	312	Reedicao	Flexivel	Baixa	Cores	Até 2017	57.34
00175	Historia	206	Reedicao	Flexivel	Baixa	Preto	2018-2020	24.02
00176	Historia	299	Reedicao	Dura	Alta	Cores	Até 2017	45.88
00177	Infantil	458	Original	Flexivel	Baixa	Cores	2018-2020	59.51
00178	Espiritualidade	238	Original	Flexivel	Baixa	Preto	Até 2017	42.74
00179	Historia	344	Original	Flexivel	Baixa	Preto	2018-2020	50.16
00180	Autoajuda	295	Original	Flexivel	Baixa	Preto	2018-2020	41.44
00181	Infantil	266	Reedicao	Flexivel	Baixa	Preto	2021-2023	50.49
00182	Historia	260	Original	Dura	Alta	Preto	2021-2023	49.62
00183	Infantil	565	Original	Flexivel	Baixa	Cores	Até 2017	62.79
00184	Gestao	376	Reedicao	Flexivel	Alta	Cores	2018-2020	62.24
00185	Viagem	378	Original	Flexivel	Baixa	Preto	Até 2017	21.88
00186	Gestao	371	Reedicao	Flexivel	Baixa	Preto	Até 2017	40.72
00187	Gestao	279	Original	Flexivel	Baixa	Preto	2018-2020	31.56
00188	Historia	165	Reedicao	Flexivel	Baixa	Preto	Até 2017	13.39
00189	Literatura	121	Reedicao	Flexivel	Baixa	Preto	2021-2023	32.57
00190	Biografia	730	Reedicao	Flexivel	Baixa	Preto	2018-2020	80.93
00191	Literatura	162	Reedicao	Flexivel	Baixa	Preto	2021-2023	37.64
00192	Autoajuda	262	Original	Flexivel	Baixa	Preto	2018-2020	35.51
00193	Autoajuda	243	Reedicao	Flexivel	Baixa	Preto	2021-2023	30.54
00194	Literatura	658	Original	Dura	Alta	Preto	Até 2017	93.09
00195	Historia	535	Original	Dura	Alta	Preto	2018-2020	70.22
00196	Infantil	617	Reedicao	Flexivel	Alta	Cores	2018-2020	76.47
00197	Historia	415	Original	Flexivel	Baixa	Preto	2021-2023	54.39
00198	Historia	268	Original	Dura	Baixa	Preto	2021-2023	41.63
00199	Biografia	551	Original	Flexivel	Alta	Preto	2021-2023	77.78
00200	Espiritualidade	188	Reedicao	Flexivel	Baixa	Preto	2018-2020	19.41
00201	Gestao	712	Original	Flexivel	Baixa	Preto	2021-2023	81.51
00202	Historia	595	Reedicao	Dura	Baixa	Preto	2018-2020	76.64
00203	Literatura	530	Original	Flexivel	Baixa	Preto	2018-2020	49.29
00204	Infantil	238	Reedicao	Dura	Baixa	Preto	Até 2017	59.12
00205	Espiritualidade	385	Reedicao	Flexivel	Baixa	Preto	2018-2020	16.51
00206	Viagem	223	Reedicao	Flexivel	Baixa	Preto	2018-2020	39.35
00207	Espiritualidade	378	Original	Flexivel	Alta	Preto	Até 2017	50.61
00208	Biografia	602	Original	Dura	Alta	Preto	2018-2020	99.12
00209	Literatura	439	Reedicao	Dura	Alta	Preto	Até 2017	68.02
00210	Ciencias	533	Reedicao	Flexivel	Baixa	Preto	Até 2017	67.56
00211	Autoajuda	375	Reedicao	Flexivel	Baixa	Preto	Até 2017	34.89
00212	Ciencias	459	Original	Flexivel	Alta	Preto	2021-2023	79.98
00213	Literatura	242	Reedicao	Flexivel	Alta	Preto	2021-2023	36.09
00214	Ciencias	414	Reedicao	Flexivel	Baixa	Preto	2018-2020	68.76
00215	Literatura	117	Reedicao	Flexivel	Baixa	Preto	2021-2023	34.33
00216	Gestao	756	Reedicao	Dura	Baixa	Preto	2018-2020	88.89
00217	Espiritualidade	77	Original	Flexivel	Alta	Cores	2018-2020	18.59
00218	Espiritualidade	158	Reedicao	Flexivel	Baixa	Preto	2018-2020	42.07
00219	Literatura	147	Reedicao	Flexivel	Baixa	Preto	2021-2023	19.64
00220	Historia	371	Reedicao	Flexivel	Baixa	Preto	2018-2020	24.66
00221	Infantil	648	Original	Flexivel	Alta	Cores	Até 2017	89.78
00222	Gestao	455	Original	Flexivel	Baixa	Preto	2021-2023	68.61
00223	Infantil	395	Reedicao	Dura	Baixa	Preto	2021-2023	54.94
00224	Culinaria	228	Reedicao	Dura	Baixa	Cores	2018-2020	49.77
00225	Espiritualidade	422	Reedicao	Flexivel	Alta	Preto	2018-2020	52.55
00226	Gestao	485	Reedicao	Flexivel	Baixa	Cores	Até 2017	68.06
00227	Ciencias	522	Reedicao	Flexivel	Baixa	Preto	2021-2023	79.76
00228	Ciencias	576	Original	Flexivel	Alta	Preto	Até 2017	101.60
00229	Gestao	473	Reedicao	Dura	Alta	Preto	Até 2017	60.47
00230	Literatura	263	Reedicao	Flexivel	Baixa	Preto	Até 2017	36.36
00231	Culinaria	229	Original	Flexivel	Baixa	Cores	2018-2020	25.86
00232	Historia	265	Reedicao	Flexivel	Baixa	Preto	Até 2017	36.35
00233	Espiritualidade	325	Reedicao	Flexivel	Baixa	Cores	Até 2017	49.63
00234	Gestao	249	Original	Flexivel	Baixa	Preto	2018-2020	40.82
00235	Autoajuda	227	Reedicao	Flexivel	Baixa	Preto	2018-2020	22.39
00236	Infantil	325	Original	Flexivel	Baixa	Preto	Até 2017	45.68
00237	Autoajuda	215	Original	Flexivel	Baixa	Preto	Até 2017	18.49
00238	Historia	198	Original	Dura	Baixa	Preto	2018-2020	42.69
00239	Biografia	329	Reedicao	Flexivel	Baixa	Preto	2018-2020	40.60
00240	Historia	155	Original	Flexivel	Baixa	Preto	2018-2020	16.96
00241	Autoajuda	268	Reedicao	Flexivel	Alta	Preto	Até 2017	28.26
00242	Biografia	687	Original	Flexivel	Baixa	Preto	Até 2017	69.14
00243	Culinaria	233	Reedicao	Flexivel	Baixa	Cores	2018-2020	27.45
00244	Infantil	131	Reedicao	Flexivel	Alta	Preto	2021-2023	51.52
00245	Historia	277	Reedicao	Flexivel	Baixa	Preto	2021-2023	35.53
00246	Viagem	430	Reedicao	Flexivel	Baixa	Cores	2018-2020	64.71
00247	Ciencias	676	Original	Flexivel	Baixa	Preto	Até 2017	80.33
00248	Culinaria	552	Reedicao	Dura	Baixa	Cores	2018-2020	93.27
00249	Artes	426	Reedicao	Flexivel	Baixa	Preto	2021-2023	44.87
00250	Culinaria	680	Reedicao	Flexivel	Baixa	Cores	2021-2023	78.91
00251	Ciencias	355	Original	Flexivel	Baixa	Preto	Até 2017	69.27
00252	Gestao	434	Reedicao	Flexivel	Baixa	Cores	2021-2023	72.65
00253	Ciencias	311	Reedicao	Flexivel	Alta	Preto	Até 2017	56.55
00254	Culinaria	355	Original	Dura	Baixa	Cores	2018-2020	35.24
00255	Gestao	436	Original	Dura	Alta	Preto	Até 2017	82.72
00256	Gestao	272	Original	Flexivel	Baixa	Preto	2021-2023	45.56
00257	Literatura	379	Reedicao	Flexivel	Baixa	Cores	2018-2020	78.17
00258	Ciencias	525	Reedicao	Flexivel	Baixa	Preto	Até 2017	72.04
00259	Literatura	321	Original	Flexivel	Baixa	Preto	2021-2023	50.05
00260	Infantil	415	Reedicao	Flexivel	Baixa	Preto	Até 2017	59.99
00261	Literatura	265	Original	Flexivel	Alta	Preto	2018-2020	57.41
00262	Infantil	182	Reedicao	Flexivel	Baixa	Preto	2018-2020	38.12
00263	Gestao	205	Original	Flexivel	Baixa	Preto	Até 2017	41.46
00264	Espiritualidade	281	Reedicao	Flexivel	Baixa	Cores	2021-2023	32.46
00265	Literatura	560	Original	Dura	Baixa	Preto	Até 2017	64.82
00266	Artes	232	Reedicao	Dura	Baixa	Cores	2018-2020	36.49
00267	Autoajuda	455	Reedicao	Flexivel	Baixa	Preto	Até 2017	45.60
00268	Ciencias	455	Reedicao	Flexivel	Alta	Cores	2021-2023	70.31
00269	Biografia	269	Original	Dura	Baixa	Preto	Até 2017	48.37
00270	Literatura	363	Reedicao	Flexivel	Baixa	Preto	Até 2017	36.72
00271	Infantil	187	Reedicao	Flexivel	Baixa	Preto	2018-2020	35.09
00272	Literatura	449	Reedicao	Flexivel	Baixa	Preto	2018-2020	34.23
00273	Infantil	513	Reedicao	Flexivel	Baixa	Cores	Até 2017	61.96
00274	Gestao	433	Reedicao	Flexivel	Alta	Preto	2018-2020	47.10
00275	Gestao	271	Reedicao	Flexivel	Baixa	Preto	Até 2017	46.93
00276	Culinaria	342	Original	Dura	Baixa	Preto	2018-2020	51.47
00277	Infantil	151	Original	Flexivel	Baixa	Cores	2018-2020	39.43
00278	Gestao	605	Reedicao	Flexivel	Baixa	Cores	Até 2017	45.97
00279	Infantil	533	Reedicao	Flexivel	Alta	Cores	2018-2020	85.44
00280	Espiritualidade	156	Original	Flexivel	Baixa	Preto	Até 2017	39.57
00281	Literatura	334	Reedicao	Flexivel	Alta	Preto	2018-2020	65.54
00282	Ciencias	508	Reedicao	Flexivel	Baixa	Preto	Até 2017	57.15
00283	Universitario	649	Original	Dura	Baixa	Preto	Até 2017	102.15
00284	Autoajuda	249	Original	Flexivel	Baixa	Preto	Até 2017	38.18
00285	Culinaria	270	Reedicao	Flexivel	Alta	Preto	2021-2023	54.90
00286	Espiritualidade	263	Original	Flexivel	Baixa	Preto	Até 2017	33.25
00287	Espiritualidade	309	Reedicao	Flexivel	Baixa	Preto	2021-2023	26.28
00288	Culinaria	185	Reedicao	Dura	Alta	Cores	Até 2017	42.63
00289	Ciencias	191	Original	Flexivel	Baixa	Preto	Até 2017	52.99
00290	Gestao	145	Reedicao	Flexivel	Baixa	Preto	2021-2023	16.10
00291	Autoajuda	747	Reedicao	Flexivel	Baixa	Preto	2021-2023	93.22
00292	Literatura	324	Original	Flexivel	Alta	Preto	2021-2023	46.62
00293	Ciencias	145	Reedicao	Flexivel	Baixa	Preto	2018-2020	53.73
00294	Literatura	389	Original	Flexivel	Alta	Preto	Até 2017	66.77
00295	Ciencias	222	Original	Flexivel	Baixa	Preto	2018-2020	67.58
00296	Gestao	600	Original	Dura	Alta	Preto	2021-2023	75.72
00297	Historia	168	Original	Flexivel	Baixa	Preto	2018-2020	5.15
00298	Literatura	369	Original	Flexivel	Baixa	Preto	Até 2017	52.70
00299	Autoajuda	260	Original	Flexivel	Baixa	Preto	Até 2017	20.51
00300	Artes	308	Reedicao	Flexivel	Baixa	Preto	2021-2023	52.53
00301	Literatura	178	Reedicao	Flexivel	Baixa	Preto	Até 2017	28.99
00302	Culinaria	155	Reedicao	Flexivel	Baixa	Cores	2021-2023	28.62
00303	Autoajuda	223	Original	Dura	Baixa	Preto	2021-2023	49.54
00304	Historia	287	Original	Flexivel	Baixa	Preto	Até 2017	32.56
00305	Infantil	372	Original	Flexivel	Alta	Cores	Até 2017	54.70
00306	Biografia	438	Original	Dura	Alta	Cores	Até 2017	95.43
00307	Gestao	438	Reedicao	Flexivel	Baixa	Preto	Até 2017	40.36
00308	Ciencias	462	Reedicao	Flexivel	Alta	Preto	2018-2020	76.39
00309	Autoajuda	356	Reedicao	Flexivel	Alta	Cores	2018-2020	61.73
00310	Universitario	392	Reedicao	Flexivel	Baixa	Preto	2018-2020	70.17
00311	Artes	436	Original	Flexivel	Baixa	Cores	2018-2020	65.82
00312	Gestao	206	Original	Flexivel	Baixa	Preto	2018-2020	45.28
00313	Infantil	340	Original	Flexivel	Alta	Preto	2018-2020	54.80
00314	Viagem	329	Reedicao	Dura	Baixa	Cores	2018-2020	42.18
00315	Viagem	486	Reedicao	Dura	Baixa	Preto	Até 2017	62.63
00316	Historia	351	Original	Flexivel	Baixa	Preto	2021-2023	38.08
00317	Biografia	564	Reedicao	Dura	Alta	Preto	Até 2017	75.46
00318	Viagem	218	Reedicao	Dura	Alta	Cores	2018-2020	28.76
00319	Espiritualidade	341	Reedicao	Flexivel	Baixa	Preto	2021-2023	27.92
00320	Culinaria	289	Original	Dura	Baixa	Preto	2018-2020	41.18
00321	Ciencias	342	Reedicao	Flexivel	Baixa	Preto	2021-2023	66.68
00322	Artes	235	Reedicao	Flexivel	Baixa	Preto	2018-2020	37.47
00323	Ciencias	314	Reedicao	Flexivel	Baixa	Preto	Até 2017	43.28
00324	Espiritualidade	296	Original	Flexivel	Baixa	Cores	2018-2020	46.26
00325	Gestao	438	Reedicao	Flexivel	Baixa	Preto	2021-2023	52.61
00326	Artes	180	Reedicao	Flexivel	Alta	Preto	2021-2023	40.52
00327	Literatura	230	Original	Flexivel	Baixa	Preto	2018-2020	53.82
00328	Espiritualidade	460	Reedicao	Flexivel	Baixa	Preto	Até 2017	47.90
00329	Historia	169	Original	Flexivel	Baixa	Cores	Até 2017	13.87
00330	Viagem	558	Original	Flexivel	Baixa	Preto	Até 2017	45.45
00331	Artes	277	Reedicao	Flexivel	Baixa	Cores	2021-2023	55.15
00332	Historia	151	Reedicao	Flexivel	Baixa	Preto	2018-2020	28.71
00333	Gestao	184	Reedicao	Flexivel	Baixa	Preto	2018-2020	21.34
00334	Gestao	319	Reedicao	Dura	Baixa	Preto	2021-2023	66.16
00335	Biografia	484	Reedicao	Flexivel	Baixa	Preto	Até 2017	69.94
00336	Artes	786	Reedicao	Flexivel	Baixa	Cores	Até 2017	86.27
00337	Ciencias	271	Reedicao	Flexivel	Baixa	Preto	2018-2020	26.45
00338	Ciencias	445	Reedicao	Flexivel	Baixa	Preto	Até 2017	54.20
00339	Infantil	151	Reedicao	Flexivel	Baixa	Preto	2018-2020	35.33
00340	Culinaria	449	Reedicao	Flexivel	Baixa	Preto	2021-2023	75.82
00341	Historia	443	Original	Flexivel	Alta	Preto	Até 2017	67.47
00342	Gestao	145	Reedicao	Flexivel	Baixa	Preto	Até 2017	28.87
00343	Ciencias	344	Original	Flexivel	Alta	Preto	2018-2020	48.65
00344	Ciencias	402	Original	Dura	Baixa	Preto	2021-2023	83.60
00345	Historia	225	Reedicao	Flexivel	Baixa	Preto	Até 2017	40.86
00346	Ciencias	282	Original	Flexivel	Alta	Preto	Até 2017	49.52
00347	Infantil	438	Reedicao	Dura	Alta	Preto	Até 2017	56.92
00348	Infantil	356	Original	Flexivel	Baixa	Preto	2018-2020	51.54
00349	Infantil	342	Original	Dura	Alta	Preto	2018-2020	51.34
00350	Ciencias	581	Reedicao	Dura	Baixa	Cores	2018-2020	80.59
00351	Ciencias	320	Reedicao	Flexivel	Alta	Preto	2021-2023	64.02
00352	Gestao	175	Reedicao	Flexivel	Baixa	Preto	2018-2020	32.80
