ID_CLIENTE	IDADE	VALOR_COMPRA_SITE	QTDE_ITENS_COMPRA_SITE	FLAG_ACESSORIOS_COMPRA_SITE	FLAG_FEMININA_COMPRA_SITE	FLAG_MASCULINA_COMPRA_SITE	NOTA_SATISF_COMPRA_SITE	FLAG_COMPROU_LOJA_FISICA_6M	QTDE_COMPRAS_LOJA_FISICA_6M	QTDE_ITENS_LOJA_FISICA_6M	FLAG_RECOMPRA_PROX_3_MESES
89	38	190.1	4	0	1	1	8	1	2	6	1
90	32	607.3	4	1	1	1	8	1	1	6	1
91	19	340	2	0	1	1	8	1	3	2	1
92	32	265.6	3	1	1	0	8	1	1	6	1
93	27	240.4	2	1	1	1	10	1	3	4	1
94	29	36	2	1	1	1	10	1	6	5	1
95	30	227.4	2	0	1	0	7	0	0	0	0
96	36	213.4	1	0	1	1	7	0	0	0	0
97	22	143.6	4	0	0	1	9	1	5	7	1
98	48	74	1	0	1	1	7	0	0	0	0
99	29	369.9	2	1	1	0	8	1	1	4	1
100	28	279.4	1	0	1	0	6	0	0	0	0
101	38	258.4	3	0	0	1	8	1	5	4	1
102	29	257.5	2	0	1	0	8	1	1	3	1
103	30	298.7	2	0	1	1	8	0	0	0	1
104	31	320.8	1	0	1	1	10	1	1	2	1
105	31	99.1	1	0	1	1	7	0	0	0	0
106	40	39.3	4	0	1	0	10	1	1	4	1
107	18	273.6	2	0	0	1	8	0	0	0	1
108	29	126.4	1	0	1	0	9	1	1	1	0
109	27	218.9	3	0	1	0	10	1	2	3	1
110	43	644.9	2	0	1	0	8	1	2	3	1
111	22	512.3	2	0	1	0	10	1	4	4	1
112	31	210.3	3	0	1	1	8	1	1	4	1
113	46	175.2	8	1	1	0	8	1	1	8	1
114	22	166.1	2	0	1	0	8	1	2	2	0
115	39	241.7	3	1	1	0	10	0	0	0	1
116	35	47	3	0	1	1	7	1	2	3	1
117	30	249.6	2	0	1	0	10	1	1	3	1
118	24	172.7	5	0	0	1	6	0	0	0	1
119	42	242.8	3	0	1	1	8	1	1	3	1
120	21	201.7	2	1	1	0	10	1	1	4	1
121	31	98.8	2	0	1	1	7	0	0	0	0
122	39	97.7	1	0	0	1	6	0	0	0	0
123	31	104.5	2	0	0	1	7	0	0	0	0
124	32	303.3	3	0	1	1	9	0	0	0	0
125	37	180.1	4	0	1	0	9	1	5	5	1
126	41	273.2	2	0	1	1	7	1	2	4	1
127	23	430.2	1	0	1	0	10	1	1	4	1
128	30	239.8	3	0	1	0	8	1	3	4	0
129	31	185.6	2	1	0	0	8	1	1	4	1
130	37	211.4	1	0	1	0	7	0	0	0	0
131	27	467.6	2	1	1	1	10	1	1	2	1
132	25	191.9	3	0	1	1	8	0	0	0	1
133	25	217.8	2	0	1	0	8	1	1	2	1
134	28	73.8	1	0	1	0	8	1	1	1	0
135	26	145.2	3	0	0	1	6	0	0	0	0
136	38	121.6	1	0	1	0	9	1	1	1	0
137	22	114.5	1	0	1	0	8	0	0	0	0
138	27	325.1	4	1	1	0	8	1	1	6	1
139	45	108.9	1	0	1	0	7	0	0	0	0
140	42	341.6	1	0	1	1	8	0	0	0	0
141	40	386.9	2	1	1	0	8	1	4	3	1
142	25	223.2	2	0	0	1	10	1	1	5	1
143	29	399.7	1	0	1	1	8	1	1	3	0
144	31	68	1	0	1	0	8	1	1	2	0
145	25	206.8	1	0	0	1	8	1	1	1	1
146	29	129.1	4	1	1	0	10	1	7	7	1
147	27	295.2	3	0	0	1	10	1	1	5	1
148	25	122.7	2	0	1	1	10	1	1	5	1
149	23	550.2	1	0	1	0	8	1	1	1	1
150	30	140.2	1	0	1	0	7	0	0	0	0
151	32	253.2	2	1	1	0	9	0	0	0	1
152	24	81.8	2	0	1	1	7	0	0	0	0
153	25	193.9	5	0	1	1	9	0	0	0	0
154	18	260.4	3	1	1	1	8	1	2	3	1
155	31	138.5	2	1	1	1	7	1	1	3	1
156	32	34	2	1	1	0	9	1	6	2	1
157	53	60.1	2	0	1	0	10	1	1	5	1
158	33	211.7	2	0	1	1	10	1	2	3	1
159	39	598.5	3	0	1	1	7	0	0	0	0
160	27	162.6	2	1	1	0	10	1	3	5	0
161	23	311.1	2	0	0	1	6	1	2	4	1
162	23	247.1	2	0	1	1	10	1	2	2	1
163	19	321.6	2	0	1	1	9	0	0	0	1
164	33	170.8	2	1	1	1	8	1	1	4	1
165	28	277.1	2	0	1	1	10	0	0	0	1
166	27	491.4	1	0	1	1	8	1	1	4	0
167	38	138.3	1	0	1	0	9	1	1	3	0
168	45	227.5	2	0	1	1	10	1	3	4	1
169	21	23.9	1	0	1	1	6	0	0	0	0
170	30	512.9	4	1	1	1	9	0	0	0	1
171	26	70.1	1	1	1	1	7	0	0	0	0
172	34	250.3	7	0	1	1	7	0	0	0	0
173	28	29.6	4	0	1	1	6	1	1	4	0
174	28	273.9	2	1	1	0	7	1	2	3	1
175	30	76.4	5	0	1	1	7	0	0	0	0
176	24	152.7	1	0	1	1	7	0	0	0	0
177	33	191.5	1	0	1	1	9	1	1	4	1
178	31	101.8	2	0	1	1	7	0	0	0	0
179	23	121.7	1	0	1	1	8	1	1	2	0
180	31	180	7	0	1	1	1	0	0	0	0
181	34	129.1	2	1	1	1	9	0	0	0	0
182	30	126.4	1	1	0	0	6	1	1	2	1
183	22	133.9	2	0	1	1	7	0	0	0	0
184	26	320	3	1	1	1	9	0	0	0	1
185	34	126.2	2	0	1	0	6	0	0	0	0
186	29	192.9	7	0	1	0	8	0	0	0	1
187	35	263.6	1	0	1	1	7	0	0	0	0
188	30	142.5	1	0	1	1	7	1	1	3	0
189	30	171.3	1	1	0	0	6	0	0	0	0
190	23	366.6	2	0	1	0	8	1	3	2	1
191	27	113.6	1	0	1	0	7	0	0	0	0
192	27	323.1	2	1	0	1	9	1	1	2	1
193	37	144.7	1	0	0	1	7	1	1	1	0
194	22	132.5	1	0	1	1	7	0	0	0	0
195	18	441.4	3	0	1	0	8	0	0	0	1
196	18	87.2	2	1	1	1	6	0	0	0	0
197	28	179.1	3	0	1	0	10	0	0	0	1
198	68	136.5	2	0	1	0	10	1	3	4	1
199	24	139.4	1	0	1	1	8	0	0	0	0
200	43	204.1	2	1	1	0	7	1	3	2	1
201	27	136	2	0	1	1	7	0	0	0	0
202	27	169.4	1	0	1	1	9	1	1	3	0
203	28	296.6	2	0	1	0	10	1	2	2	1
204	38	40	2	0	1	1	7	0	0	0	0
205	29	95.5	2	0	1	1	6	0	0	0	0
206	44	389.2	2	1	0	1	9	0	0	0	1
207	36	322.2	2	0	1	1	10	1	1	5	0
208	18	106.6	2	0	1	1	8	1	1	5	1
209	40	177.1	1	0	1	0	7	1	1	1	0
210	25	276.9	3	0	1	1	7	0	0	0	1
211	27	225.4	2	1	0	0	9	0	0	0	1
212	37	182.8	2	0	1	1	10	0	0	0	1
213	29	179.4	3	0	0	1	8	1	1	6	1
214	30	96.5	1	0	0	1	10	1	1	4	0
215	34	108.6	2	0	1	1	7	0	0	0	0
216	21	75.9	2	0	1	1	6	0	0	0	0
217	21	217	3	0	1	0	8	1	1	5	1
218	33	223.5	1	1	1	1	10	0	0	0	1
219	20	79.4	1	0	1	1	7	0	0	0	0
220	32	183.8	2	0	1	1	10	1	2	5	0
221	22	27.3	1	0	1	1	10	1	1	3	0
222	20	319.2	4	0	1	1	10	0	0	0	0
223	25	124.3	1	0	1	1	5	1	1	1	0
224	25	217.9	2	0	1	1	7	0	0	0	0
225	39	276	2	0	0	1	6	0	0	0	0
226	46	268.3	1	1	1	1	10	1	1	3	1
227	30	209.8	1	0	1	0	10	1	1	1	1
228	23	350	3	1	0	1	8	1	3	5	1
229	45	292.5	4	0	1	0	7	0	0	0	0
230	25	163.6	3	0	1	0	10	1	1	5	0
231	30	459.3	5	0	0	1	10	1	1	7	1
232	34	133.2	3	0	1	1	7	0	0	0	0
233	33	119.4	5	1	0	0	7	0	0	0	0
234	33	228	4	0	1	1	9	0	0	0	1
235	51	65.2	4	0	1	0	7	0	0	0	0
236	32	66.9	2	0	0	1	6	0	0	0	0
237	36	183.9	2	0	1	1	7	0	0	0	0
238	46	140.5	1	0	0	1	5	0	0	0	0
239	19	247	4	1	1	0	10	1	1	4	1
240	28	333.8	1	0	1	0	8	0	0	0	0
241	49	149.1	2	0	1	1	9	1	1	2	1
242	26	84.3	1	0	1	1	7	0	0	0	0
243	28	209.8	1	0	1	1	8	1	1	4	1
244	37	132.2	2	1	1	1	9	1	1	2	0
245	26	89.9	1	0	1	1	8	0	0	0	0
246	30	180.6	2	0	1	1	6	0	0	0	0
247	31	241.1	3	0	1	1	7	0	0	0	1
248	30	79.7	1	0	0	1	8	0	0	0	0
249	37	34.7	2	0	0	1	10	1	1	5	1
250	29	220	2	0	1	1	7	1	1	4	1
251	25	372.7	2	0	1	0	8	0	0	0	1
252	24	204.5	4	1	0	0	9	0	0	0	1
253	31	87	1	0	1	1	7	0	0	0	0
254	25	128.6	2	0	1	0	10	1	1	5	1
255	31	256.8	2	0	1	1	8	1	1	2	0
256	38	67.8	2	0	0	1	8	0	0	0	0
257	25	154.1	3	1	0	0	10	1	6	6	1
258	32	72.3	2	0	1	0	7	0	0	0	0
259	40	273.6	2	0	0	1	8	0	0	0	1
260	43	400.8	3	1	1	1	1	1	3	3	1
261	28	104.5	2	0	1	0	7	0	0	0	0
262	29	245.8	2	0	0	1	6	0	0	0	1
263	52	50.9	2	0	1	1	10	1	1	4	0
264	23	158.6	2	0	0	1	8	0	0	0	0
265	27	61.1	2	1	1	1	8	1	1	4	0
266	35	124.8	2	0	1	0	6	0	0	0	0
267	36	220	3	1	1	1	10	1	1	4	1
268	34	124.5	1	0	0	1	6	0	0	0	0
269	30	236.5	3	0	1	1	10	1	1	6	1
270	21	162.6	2	1	1	1	10	1	2	4	1
271	23	137.4	3	1	0	1	8	1	1	6	1
272	28	101.6	2	0	1	0	8	0	0	0	0
273	25	308.8	10	0	1	1	8	1	1	10	0
274	26	216.2	1	1	1	0	9	1	1	4	1
275	28	150.6	2	0	1	1	10	1	2	5	1
276	35	281.7	2	0	0	1	8	1	5	4	0
277	30	244.9	1	0	1	1	10	1	1	4	1
278	25	132.3	3	0	0	1	6	0	0	0	1
279	30	136	1	0	1	0	6	1	1	3	0
280	30	524	1	0	1	0	8	1	1	1	0
281	23	269.1	2	0	1	1	10	1	5	2	1
282	39	156.9	1	1	0	1	6	0	0	0	0
283	37	205.7	3	1	1	1	8	1	1	3	1
284	39	232.9	2	1	1	0	8	1	4	4	1
285	49	313.2	1	0	1	0	10	1	1	3	1
286	32	209	3	0	1	1	8	1	1	3	0
287	32	302.5	3	0	1	1	10	1	2	5	1
288	25	156.5	1	0	1	0	8	0	0	0	0
289	52	299.1	3	0	1	0	6	0	0	0	0
290	25	38.4	5	0	1	1	7	0	0	0	1
291	46	337.3	2	0	0	1	8	1	1	2	1
292	41	203.1	2	1	1	1	9	1	1	3	1
293	23	201.6	3	0	1	0	10	0	0	0	1
294	39	73.8	1	0	1	0	8	1	1	3	0
295	30	165.6	1	0	1	1	8	1	1	3	1
296	34	173.2	3	0	1	1	8	1	2	5	0
297	28	688.3	2	0	1	0	9	1	1	2	1
298	21	135.3	1	1	1	1	6	0	0	0	0
299	35	102.9	2	0	0	1	8	0	0	0	0
300	38	126.9	1	0	1	1	8	0	0	0	0
301	31	73.9	2	0	1	1	7	1	1	3	0
302	38	301.9	2	1	1	1	9	1	1	2	1
303	26	453.9	3	1	1	0	8	1	1	4	1
304	30	99.9	2	0	1	1	7	0	0	0	0
305	32	132.3	2	1	1	0	9	1	1	5	1
306	25	112	2	0	1	1	7	1	1	3	0
307	21	135.4	4	0	1	1	7	0	0	0	0
308	34	51.3	2	1	1	1	10	1	1	5	0
309	47	177.9	1	0	1	1	7	1	1	1	0
310	39	58.2	2	0	1	0	7	1	2	2	1
311	36	521.8	3	0	1	1	10	1	2	3	1
312	23	153.1	1	0	1	0	9	1	1	2	0
313	38	113.2	1	1	1	1	7	0	0	0	0
314	21	42.1	1	1	1	0	8	0	0	0	0
315	35	101.1	1	0	1	1	7	0	0	0	0
316	38	179.7	8	1	1	1	7	0	0	0	0
317	42	80.3	1	0	1	1	7	0	0	0	0
318	49	348.3	2	0	1	1	10	1	3	5	1
319	25	164.1	1	0	1	1	9	0	0	0	0
320	39	414.4	2	1	1	1	5	1	4	3	1
321	26	426.4	3	0	1	1	10	1	2	4	1
322	34	86.3	1	1	1	1	6	0	0	0	0
323	42	104.6	2	0	1	0	7	0	0	0	0
324	31	72.4	2	0	1	1	7	0	0	0	0
325	47	243.6	2	0	1	1	10	1	2	4	1
326	19	126.7	2	0	1	1	9	1	1	5	0
327	20	272.5	3	0	1	1	7	0	0	0	0
328	70	215.8	2	0	0	1	10	1	1	2	1
329	18	136	1	0	0	1	6	1	1	2	0
330	23	182.9	2	0	0	1	6	0	0	0	0
331	28	33.9	2	0	1	0	6	1	1	5	1
332	23	395.5	2	1	0	1	8	1	2	4	1
333	34	270	2	0	1	1	8	0	0	0	0
334	25	236.3	3	0	1	1	7	1	1	5	1
335	35	96.7	6	0	0	1	6	0	0	0	0
336	26	88.2	1	0	1	0	6	0	0	0	0
337	28	122.1	5	0	1	1	8	1	1	5	1
338	49	408.8	3	1	1	1	9	1	2	4	1
339	21	217.9	3	0	1	0	6	0	0	0	0
340	31	317.7	2	0	1	0	9	1	4	3	1
341	33	137.3	2	1	1	0	8	1	2	3	0
342	24	120.2	2	1	0	0	6	0	0	0	0
343	39	110.6	3	0	1	0	6	0	0	0	1
344	37	79	2	0	1	1	7	0	0	0	0
345	21	218.7	2	0	0	1	9	1	1	3	1
346	43	489.1	2	0	1	1	10	1	5	5	1
347	27	122.3	1	0	1	0	8	1	1	1	1
348	28	29.7	2	1	1	1	8	1	1	2	0
349	29	106.6	6	0	1	1	7	0	0	0	0
350	32	400.9	4	1	1	0	10	1	1	6	1
351	24	206.5	2	0	1	1	10	0	0	0	1
352	30	106.6	4	0	1	0	7	1	1	4	1
353	25	102.5	4	0	1	1	7	0	0	0	0
354	25	88.3	1	0	1	0	6	0	0	0	0
355	25	183.6	2	0	0	1	8	0	0	0	0
356	21	246.3	2	0	1	1	10	1	4	2	1
357	23	49.7	2	1	1	1	8	0	0	0	1
358	22	73.2	1	0	1	1	9	1	1	3	0
359	21	125.2	2	0	1	0	8	1	1	3	0
360	38	152.2	1	0	1	0	9	1	1	2	0
361	26	25.5	2	0	0	1	10	0	0	0	0
362	42	162.1	2	0	1	1	7	0	0	0	0
363	36	243.4	2	0	1	1	7	0	0	0	0
364	30	167.7	2	1	1	1	7	0	0	0	0
365	42	168.7	2	0	0	1	6	0	0	0	0
366	40	219.7	4	1	1	1	7	1	3	4	1
367	32	270.2	2	0	1	0	10	1	1	2	1
368	28	254	3	0	1	1	10	1	1	4	1
369	19	193	4	0	1	0	6	1	1	6	1
370	26	712.5	1	0	1	0	9	1	1	3	1
371	26	413	1	0	0	1	10	1	1	2	0
372	30	389.2	2	1	0	1	9	0	0	0	1
373	20	491	4	0	1	1	8	1	1	5	1
374	27	299.2	2	1	0	1	0	1	1	5	1
375	34	221.7	2	0	1	1	7	0	0	0	0
376	23	366.7	3	0	1	1	8	1	1	5	1
377	32	212.2	3	0	1	0	7	0	0	0	0
378	19	114.3	1	1	1	1	7	0	0	0	1
379	37	282.9	4	0	1	1	10	1	3	4	1
380	37	253.4	1	0	1	1	9	1	1	1	1
381	26	201.6	3	0	1	1	10	0	0	0	1
382	18	38.6	3	1	1	1	9	1	1	3	1
383	34	200.8	2	0	1	1	6	1	4	2	1
384	53	64.8	1	0	1	0	5	0	0	0	0
385	29	232.4	5	0	1	1	7	1	1	7	1
386	26	300	4	0	1	0	3	1	1	4	1
387	34	363.8	3	0	1	1	10	1	1	3	1
388	29	125.1	1	0	0	1	7	0	0	0	0
389	32	124.5	2	1	1	1	8	1	1	5	0
390	21	82	1	0	1	1	7	1	1	1	0
391	22	323.4	4	1	0	1	10	1	1	6	1
392	32	373.1	1	0	1	0	8	0	0	0	0
393	22	156.5	2	0	0	1	7	0	0	0	0
394	29	150.4	5	0	1	0	10	1	1	6	1
395	28	297.6	4	0	1	1	6	0	0	0	1
396	35	384	1	0	1	1	8	1	1	1	0
397	48	197.1	1	1	1	0	10	1	1	1	1
398	35	131.9	2	0	1	1	9	0	0	0	0
399	29	144.4	4	0	0	1	6	0	0	0	0
400	43	409.5	2	0	1	1	9	1	1	4	1
401	25	195.4	2	0	1	0	8	1	2	3	1
402	32	369.4	2	0	1	1	10	1	1	5	1
403	34	63.8	1	0	1	1	6	0	0	0	0
404	31	252.5	2	0	0	1	9	0	0	0	1
405	43	64.6	2	0	1	1	9	1	2	2	1
406	36	200.4	2	0	1	0	7	0	0	0	0
407	39	285.2	2	0	1	0	9	1	3	5	1
408	35	137.3	2	0	0	1	9	1	2	3	1
409	28	89.4	3	0	1	1	7	0	0	0	0
410	25	164.2	3	0	1	1	10	1	3	6	0
411	26	354.8	10	0	1	0	10	1	1	11	1
412	26	62.6	2	0	1	1	9	1	1	2	0
413	23	146.9	2	1	1	0	8	1	2	5	1
414	34	255.2	2	0	1	0	8	1	1	5	1
415	34	233.2	2	0	1	0	7	1	1	3	1
416	27	68.1	1	0	1	0	7	0	0	0	0
417	34	247.6	3	1	0	1	8	1	3	3	1
418	29	239.5	2	1	0	1	7	0	0	0	0
419	55	85.1	4	0	1	1	6	0	0	0	0
420	27	318.3	4	0	0	1	6	1	1	5	1
421	26	242.7	2	1	1	0	10	0	0	0	1
422	25	84.6	1	0	1	1	7	1	1	4	1
423	29	398.4	2	0	1	0	9	1	2	5	1
424	24	380.3	1	0	1	1	9	0	0	0	0
425	30	82.9	2	0	1	0	7	0	0	0	0
426	19	88.9	1	0	1	0	7	1	1	3	0
427	31	287.2	2	0	1	0	9	1	1	4	1
428	29	388.5	2	1	1	1	10	1	1	4	1
429	42	107.8	3	0	0	1	6	0	0	0	0
430	27	336.7	2	1	1	0	8	1	2	5	1
431	48	446.1	2	0	0	1	6	1	2	3	1
432	31	158.3	6	0	1	0	8	1	1	6	0
433	30	161.5	1	0	1	0	5	0	0	0	0
434	27	206	3	0	0	1	8	0	0	0	1
435	37	306.6	3	0	0	1	8	1	1	4	1
436	18	66.9	3	1	1	0	7	0	0	0	0
437	28	325.2	2	0	1	0	9	0	0	0	1
438	31	177.1	1	0	1	0	7	1	1	2	0
439	49	40.6	1	0	0	1	8	1	1	1	0
440	36	67.7	2	0	1	1	7	0	0	0	0
441	20	147.7	1	0	1	1	7	1	1	1	0
442	31	204.4	2	0	0	1	10	1	1	5	1
443	37	82.9	1	0	0	1	6	0	0	0	0
444	27	275.6	1	0	1	1	8	1	1	3	1
445	25	373.1	2	0	1	1	10	1	1	3	1
446	27	196.7	3	0	1	1	6	0	0	0	0
447	27	159	2	1	1	1	7	1	2	3	1
448	38	147.7	1	0	1	0	7	1	1	4	0
449	30	100.2	2	0	1	0	8	1	3	4	1
450	35	246.3	1	0	1	0	6	0	0	0	0
451	21	332.3	2	1	1	1	7	0	0	0	0
452	47	96.8	3	0	1	1	7	1	1	4	1
453	23	375.3	1	0	1	0	7	1	1	4	0
454	26	332	3	0	1	1	10	1	1	6	1
455	30	90.1	1	0	1	0	7	0	0	0	0
456	34	330.7	1	1	1	1	8	0	0	0	0
457	31	230.1	2	1	1	0	10	1	2	3	1
458	52	371.8	3	0	1	0	8	1	1	4	1
459	30	102.2	2	0	0	1	6	0	0	0	0
460	26	379.6	6	0	1	1	8	0	0	0	1
461	30	224.1	1	0	1	1	9	1	1	3	1
462	26	110.3	2	0	1	0	7	0	0	0	0
463	37	187.4	3	0	1	1	9	1	3	6	0
464	38	106.1	2	0	1	1	8	1	2	3	0
465	25	327.1	1	0	1	1	7	1	1	3	0
466	35	97	2	0	1	1	7	0	0	0	0
467	39	94.7	1	0	0	1	5	0	0	0	0
468	43	335.5	2	0	1	1	10	1	1	2	1
469	36	172	1	0	1	1	9	1	1	1	0
470	29	327.6	2	0	1	1	9	1	2	5	1
471	24	144.8	2	1	1	0	9	1	2	3	1
472	23	248.8	2	0	0	1	10	0	0	0	0
473	26	458.1	1	0	1	1	6	0	0	0	1
474	23	112.5	2	0	1	1	7	0	0	0	0
475	18	194.4	2	0	1	0	9	1	1	5	1
476	27	370.8	2	0	1	0	7	1	1	2	1
477	22	297.9	1	0	0	1	8	1	1	3	1
478	33	150.3	1	0	1	1	9	1	1	1	0
479	49	135.6	1	0	0	1	5	0	0	0	0
480	33	212.6	3	0	1	1	9	1	4	3	1
481	34	112.8	2	1	1	0	5	0	0	0	0
482	54	211.5	3	0	1	0	9	1	1	3	1
483	28	248.8	2	0	0	1	10	0	0	0	0
484	23	193.9	5	0	1	1	9	0	0	0	0
485	25	128.8	2	0	1	1	5	0	0	0	0
486	25	199.9	1	0	1	0	7	0	0	0	0
487	41	165.6	1	0	1	1	8	1	1	1	1
488	32	126.1	1	0	1	0	6	0	0	0	0
489	23	116.2	2	1	1	1	8	1	2	4	1
490	25	195.2	3	0	1	1	8	0	0	0	1
491	28	232.5	6	0	1	1	8	1	1	8	1
492	27	78.7	1	0	0	1	5	0	0	0	0
493	21	153.1	1	0	1	1	9	1	1	3	0
494	43	214.8	4	1	1	1	10	1	1	4	1
495	21	327.3	8	1	0	0	7	1	2	10	1
496	35	200.7	3	0	1	1	7	0	0	0	0
497	23	240.4	2	0	1	1	7	0	0	0	1
498	38	130.9	1	0	1	0	10	0	0	0	0
499	25	231.6	2	0	0	1	10	1	2	4	1
500	41	253.1	3	0	1	1	7	0	0	0	0
501	33	299.6	2	0	1	0	8	1	1	3	1
502	33	262.7	6	0	1	1	7	0	0	0	0
503	29	466.6	1	0	1	1	8	1	1	4	0
504	23	253.8	2	0	1	0	8	1	3	4	1
505	26	103.1	2	1	0	1	10	1	1	2	1
506	38	277.9	2	0	1	0	10	1	10	2	1
507	23	176.2	3	1	1	1	6	1	2	4	1
508	32	421.6	1	0	1	1	7	0	0	0	1
509	25	154.5	1	0	1	1	8	0	0	0	0
510	32	405.6	2	0	0	1	10	1	1	2	1
511	33	150.9	2	0	1	0	10	1	1	3	1
512	25	441.4	3	0	1	1	8	0	0	0	1
513	33	190.9	2	1	0	1	8	1	1	4	1
514	24	294.9	2	0	1	0	7	0	0	0	1
515	29	297.3	2	0	1	1	7	0	0	0	1
516	34	174.3	2	0	0	1	9	1	1	5	0
517	56	509.1	1	0	1	0	7	1	1	1	1
518	36	101.2	2	0	1	1	7	0	0	0	0
519	23	197.1	2	0	1	1	7	0	0	0	0
520	35	159.4	1	0	1	1	6	0	0	0	0
521	39	246.2	2	0	1	0	8	1	1	5	0
522	30	179	1	0	1	0	7	0	0	0	0
523	19	126.2	6	0	1	1	7	0	0	0	0
524	37	324.5	2	1	1	1	5	0	0	0	1
