ID_RESPONDENTE	IDADE	GENERO	ESTADO_CIVIL	OCUPACAO_USUAL	RENDA_MENSAL_FAMILIAR	GRAU_EDUCACAO	REFEICAO_MAIS_FREQUENTE	COMPRAS_SAUDAVEIS	RECLAMACAO_ATRASO	AVALIACAO_MEDIA_ANTERIOR	INFLUENCIADO_POR_NOTA
64	23	Masculino	Casado	Estudante	12900	Sem Instrucao	Almoco	Nao	Nao	4.6	1
65	36	Feminino	Casado	Sem Ocupacao	16300	Pos-Graduacao	Almoco	Nao	Nao	4.8	1
66	28	Masculino	Casado	Empregado CLT	3200	Ensino Fund./Medio	Almoco	Nao	Nao	4.5	1
67	34	Masculino	Solteiro	Estudante	10500	Ensino Fund./Medio	Cafe da manha	Nao	Nao	4.7	0
68	29	Feminino	Casado	Autonomo	1700	Ensino Fund./Medio	Almoco	Nao	Nao	4.5	1
69	28	Masculino	Solteiro	Autonomo	11600	Ensino Fund./Medio	Lanches	Nao	Nao	4.2	0
70	21	Masculino	Casado	Estudante	7000	Graduacao	Cafe da manha	Sim	Nao	4.7	0
71	22	Masculino	Solteiro	Estudante	8900	Ensino Fund./Medio	Almoco	Nao	Sim	4.2	1
72	43	Masculino	Casado	Autonomo	1800	Graduacao	Almoco	Nao	Nao	4.6	1
73	25	Feminino	Casado	Autonomo	5500	Graduacao	Jantar	Nao	Nao	4.4	0
74	27	Feminino	Casado	Estudante	12600	Graduacao	Lanches	Nao	Nao	4.5	1
75	22	Feminino	Solteiro	Estudante	11100	Ensino Fund./Medio	Almoco	Sim	Sim	4.8	1
76	19	Feminino	Solteiro	Estudante	5100	Ensino Fund./Medio	Cafe da manha	Nao	Nao	4.6	1
77	29	Masculino	Casado	Empregado CLT	3300	Graduacao	Almoco	Nao	Nao	4.5	1
78	33	Feminino	Casado	Empregado CLT	21100	Graduacao	Almoco	Nao	Nao	4.3	1
79	24	Masculino	Solteiro	Sem Ocupacao	8200	Ensino Fund./Medio	Cafe da manha	Nao	Nao	4.6	1
80	25	Masculino	Solteiro	Sem Ocupacao	3300	Ensino Fund./Medio	Almoco	Nao	Nao	4.7	1
81	21	Masculino	Solteiro	Estudante	5800	Graduacao	Lanches	Nao	Nao	4.8	0
82	18	Masculino	Solteiro	Autonomo	6300	Ensino Fund./Medio	Almoco	Nao	Sim	4.9	1
83	26	Masculino	Solteiro	Estudante	5400	Ensino Fund./Medio	Jantar	Nao	Nao	4.7	1
84	31	Masculino	Casado	Estudante	9400	Ensino Fund./Medio	Cafe da manha	Nao	Nao	4.8	1
85	20	Feminino	Casado	Estudante	24900	Sem Instrucao	Almoco	Nao	Nao	4.7	1
86	44	Masculino	Solteiro	Empregado CLT	12600	Graduacao	Cafe da manha	Sim	Sim	4.7	1
87	30	Masculino	Casado	Empregado CLT	7500	Ensino Fund./Medio	Jantar	Nao	Nao	4.6	1
88	66	Feminino	Viúvo	Sem Ocupacao	16000	Ensino Fund./Medio	Lanches	Nao	Nao	4.5	0
89	41	Feminino	Divorciado	Autonomo	10500	Graduacao	Lanches	Nao	Nao	4.6	0
90	37	Feminino	Solteiro	Empregado CLT	12200	Pos-Graduacao	Lanches	Sim	Sim	4.7	1
91	22	Feminino	Casado	Empregado CLT	10000	Ensino Fund./Medio	Almoco	Nao	Nao	4.4	0
92	30	Masculino	Casado	Empregado CLT	5100	Graduacao	Lanches	Nao	Nao	4.7	0
93	44	Masculino	Solteiro	Autonomo	11000	Ensino Fund./Medio	Almoco	Nao	Nao	4.7	1
94	46	Masculino	Viúvo	Autonomo	7700	Ensino Fund./Medio	Cafe da manha	Nao	Nao	4.2	0
95	38	Masculino	Casado	Empregado CLT	6200	Ensino Fund./Medio	Lanches	Sim	Nao	4.5	1
96	25	Feminino	Solteiro	Autonomo	5600	Ensino Fund./Medio	Lanches	Nao	Nao	4.8	0
97	67	Masculino	Viúvo	Autonomo	6700	Graduacao	Cafe da manha	Nao	Nao	4.6	1
98	27	Masculino	Solteiro	Estudante	4800	Pos-Graduacao	Lanches	Nao	Sim	4.0	0
99	36	Masculino	Casado	Autonomo	8300	Ensino Fund./Medio	Lanches	Nao	Nao	4.9	1
100	32	Feminino	Casado	Empregado CLT	5100	Pos-Graduacao	Lanches	Nao	Nao	4.7	1
101	41	Masculino	Casado	Empregado CLT	3800	Graduacao	Almoco	Nao	Nao	4.7	1
102	18	Feminino	Solteiro	Autonomo	5600	Sem Instrucao	Almoco	Nao	Nao	4.7	1
103	21	Masculino	Solteiro	Empregado CLT	5800	Sem Instrucao	Almoco	Nao	Sim	4.5	1
104	22	Masculino	Solteiro	Estudante	2800	Ensino Fund./Medio	Cafe da manha	Nao	Nao	4.7	1
105	24	Masculino	Solteiro	Estudante	7000	Ensino Fund./Medio	Cafe da manha	Nao	Nao	4.4	1
106	37	Feminino	Casado	Autonomo	3200	Pos-Graduacao	Cafe da manha	Nao	Nao	4.7	1
107	30	Feminino	Casado	Empregado CLT	4000	Graduacao	Lanches	Nao	Nao	4.6	0
108	19	Masculino	Solteiro	Estudante	3300	Sem Instrucao	Cafe da manha	Nao	Nao	4.5	0
109	30	Feminino	Casado	Empregado CLT	5000	Graduacao	Jantar	Nao	Nao	4.4	0
110	39	Masculino	Divorciado	Empregado CLT	14800	Graduacao	Lanches	Nao	Sim	4.4	1
111	32	Masculino	Divorciado	Sem Ocupacao	11900	Graduacao	Almoco	Sim	Nao	4.6	1
112	33	Masculino	Solteiro	Autonomo	6500	Pos-Graduacao	Lanches	Sim	Nao	4.7	1
113	44	Masculino	Divorciado	Empregado CLT	18300	Graduacao	Almoco	Sim	Nao	4.6	1
114	55	Masculino	Divorciado	Autonomo	5500	Pos-Graduacao	Lanches	Nao	Nao	4.5	0
115	41	Feminino	Casado	Empregado CLT	6500	Ensino Fund./Medio	Lanches	Nao	Nao	4.7	1
116	27	Feminino	Solteiro	Estudante	15600	Ensino Fund./Medio	Lanches	Nao	Nao	4.4	0
117	28	Feminino	Casado	Autonomo	7100	Graduacao	Cafe da manha	Nao	Nao	4.5	1
118	32	Feminino	Solteiro	Autonomo	18800	Graduacao	Jantar	Nao	Sim	4.7	1
119	25	Masculino	Solteiro	Empregado CLT	7300	Sem Instrucao	Almoco	Nao	Nao	4.4	1
120	24	Masculino	Solteiro	Estudante	14100	Sem Instrucao	Cafe da manha	Nao	Nao	4.5	1
121	25	Feminino	Solteiro	Empregado CLT	9800	Ensino Fund./Medio	Jantar	Nao	Nao	4.5	0
122	21	Feminino	Solteiro	Estudante	17400	Ensino Fund./Medio	Almoco	Sim	Sim	4.7	1
123	19	Feminino	Solteiro	Estudante	8100	Ensino Fund./Medio	Cafe da manha	Nao	Sim	4.2	1
124	22	Feminino	Casado	Empregado CLT	14400	Graduacao	Cafe da manha	Nao	Nao	4.4	0
125	29	Feminino	Solteiro	Estudante	5700	Graduacao	Almoco	Nao	Nao	4.6	1
126	45	Masculino	Casado	Aposentado	12100	Graduacao	Cafe da manha	Nao	Nao	4.5	1
127	30	Masculino	Solteiro	Empregado CLT	2600	Ensino Fund./Medio	Lanches	Nao	Nao	4.6	0
128	47	Feminino	Casado	Empregado CLT	15400	Pos-Graduacao	Jantar	Nao	Nao	4.2	0
129	23	Feminino	Casado	Estudante	9000	Ensino Fund./Medio	Almoco	Sim	Nao	4.5	1
130	26	Feminino	Solteiro	Estudante	2800	Ensino Fund./Medio	Almoco	Nao	Nao	4.6	1
131	55	Feminino	Casado	Sem Ocupacao	11400	Graduacao	Jantar	Nao	Nao	4.4	1
132	34	Feminino	Casado	Estudante	8700	Graduacao	Lanches	Nao	Nao	4.4	0
133	50	Masculino	Casado	Autonomo	2800	Pos-Graduacao	Almoco	Nao	Nao	4.6	1
134	31	Masculino	Solteiro	Empregado CLT	7800	Sem Instrucao	Cafe da manha	Nao	Nao	4.5	1
135	46	Masculino	Casado	Autonomo	7600	Pos-Graduacao	Cafe da manha	Nao	Nao	4.6	0
136	21	Masculino	Solteiro	Estudante	7700	Ensino Fund./Medio	Lanches	Nao	Sim	4.3	0
137	44	Masculino	Casado	Autonomo	27600	Pos-Graduacao	Lanches	Sim	Nao	4.8	1
138	41	Masculino	Casado	Empregado CLT	10200	Pos-Graduacao	Almoco	Nao	Nao	4.7	1
139	26	Masculino	Solteiro	Empregado CLT	9800	Ensino Fund./Medio	Jantar	Nao	Nao	4.2	0
140	34	Masculino	Divorciado	Autonomo	1800	Graduacao	Jantar	Nao	Nao	4.3	0
141	26	Feminino	Solteiro	Autonomo	4200	Ensino Fund./Medio	Almoco	Nao	Nao	4.4	0
142	26	Feminino	Solteiro	Autonomo	14900	Ensino Fund./Medio	Almoco	Nao	Sim	4.2	0
143	30	Masculino	Casado	Empregado CLT	8600	Graduacao	Cafe da manha	Nao	Nao	4.3	0
144	25	Masculino	Solteiro	Estudante	9400	Ensino Fund./Medio	Lanches	Nao	Nao	4.7	1
145	40	Masculino	Casado	Empregado CLT	5000	Graduacao	Cafe da manha	Nao	Nao	4.5	1
146	30	Feminino	Casado	Empregado CLT	6900	Pos-Graduacao	Cafe da manha	Nao	Nao	4.7	0
147	58	Masculino	Casado	Sem Ocupacao	9600	Pos-Graduacao	Lanches	Nao	Nao	4.6	1
148	26	Masculino	Casado	Sem Ocupacao	11900	Ensino Fund./Medio	Lanches	Nao	Nao	4.9	1
149	29	Feminino	Casado	Autonomo	4300	Graduacao	Cafe da manha	Nao	Nao	4.8	1
150	32	Feminino	Casado	Autonomo	3800	Pos-Graduacao	Lanches	Nao	Nao	4.4	0
151	28	Masculino	Casado	Estudante	5600	Ensino Fund./Medio	Almoco	Nao	Nao	4.5	1
152	43	Masculino	Solteiro	Autonomo	7600	Graduacao	Cafe da manha	Nao	Nao	4.9	1
153	19	Masculino	Solteiro	Estudante	3500	Ensino Fund./Medio	Cafe da manha	Nao	Nao	4.6	1
154	51	Masculino	Viúvo	Autonomo	3700	Pos-Graduacao	Cafe da manha	Nao	Nao	4.7	1
155	31	Masculino	Casado	Autonomo	3000	Graduacao	Cafe da manha	Nao	Nao	4.5	1
156	28	Masculino	Casado	Autonomo	2800	Ensino Fund./Medio	Almoco	Nao	Nao	4.5	1
157	27	Masculino	Casado	Estudante	13900	Pos-Graduacao	Lanches	Sim	Nao	4.7	1
158	22	Feminino	Solteiro	Autonomo	5800	Graduacao	Almoco	Nao	Sim	4.6	1
159	33	Masculino	Casado	Autonomo	3900	Graduacao	Cafe da manha	Nao	Nao	4.8	1
160	19	Masculino	Divorciado	Autonomo	16300	Ensino Fund./Medio	Almoco	Nao	Nao	4.5	0
161	39	Masculino	Solteiro	Empregado CLT	2200	Pos-Graduacao	Lanches	Nao	Nao	4.5	0
162	19	Feminino	Solteiro	Empregado CLT	6400	Ensino Fund./Medio	Almoco	Sim	Nao	4.7	0
163	18	Feminino	Solteiro	Estudante	11500	Ensino Fund./Medio	Cafe da manha	Nao	Nao	4.6	1
164	38	Masculino	Casado	Empregado CLT	11400	Pos-Graduacao	Lanches	Sim	Nao	4.7	1
165	27	Masculino	Solteiro	Estudante	9500	Ensino Fund./Medio	Almoco	Sim	Nao	4.9	1
166	34	Feminino	Casado	Empregado CLT	3700	Graduacao	Almoco	Nao	Sim	4.3	1
167	35	Feminino	Solteiro	Empregado CLT	6600	Graduacao	Cafe da manha	Nao	Nao	4.6	1
168	37	Feminino	Casado	Empregado CLT	6800	Graduacao	Cafe da manha	Nao	Nao	4.8	1
169	28	Masculino	Casado	Sem Ocupacao	8800	Pos-Graduacao	Jantar	Nao	Nao	4.8	1
170	33	Feminino	Casado	Autonomo	6600	Graduacao	Cafe da manha	Sim	Sim	4.5	1
171	36	Feminino	Divorciado	Estudante	6100	Ensino Fund./Medio	Cafe da manha	Nao	Nao	4.8	1
172	23	Feminino	Solteiro	Autonomo	7200	Ensino Fund./Medio	Almoco	Nao	Nao	4.7	1
173	23	Masculino	Solteiro	Autonomo	1600	Graduacao	Almoco	Nao	Nao	4.6	1
174	24	Masculino	Casado	Empregado CLT	10000	Ensino Fund./Medio	Cafe da manha	Sim	Nao	4.7	1
175	57	Masculino	Casado	Aposentado	6600	Pos-Graduacao	Lanches	Nao	Nao	4.5	0
176	34	Feminino	Casado	Empregado CLT	6500	Graduacao	Jantar	Nao	Nao	4.5	0
177	24	Feminino	Divorciado	Empregado CLT	6600	Pos-Graduacao	Almoco	Nao	Nao	4.7	1
178	23	Feminino	Solteiro	Empregado CLT	1800	Ensino Fund./Medio	Almoco	Nao	Nao	4.5	1
179	43	Feminino	Casado	Autonomo	8100	Graduacao	Jantar	Sim	Sim	4.7	1
180	44	Feminino	Divorciado	Autonomo	6600	Pos-Graduacao	Lanches	Nao	Nao	4.7	1
181	26	Masculino	Solteiro	Sem Ocupacao	12300	Ensino Fund./Medio	Cafe da manha	Nao	Nao	4.9	1
182	35	Feminino	Casado	Autonomo	10400	Sem Instrucao	Cafe da manha	Nao	Nao	4.7	1
183	30	Feminino	Solteiro	Empregado CLT	6900	Ensino Fund./Medio	Jantar	Nao	Nao	4.9	1
184	19	Masculino	Solteiro	Estudante	11300	Ensino Fund./Medio	Cafe da manha	Nao	Nao	4.8	1
185	23	Masculino	Solteiro	Empregado CLT	5200	Sem Instrucao	Almoco	Sim	Sim	4.6	1
186	28	Feminino	Casado	Autonomo	2500	Ensino Fund./Medio	Cafe da manha	Nao	Nao	4.4	1
187	27	Feminino	Solteiro	Estudante	1900	Ensino Fund./Medio	Almoco	Sim	Nao	4.6	0
188	28	Feminino	Solteiro	Empregado CLT	6000	Graduacao	Lanches	Nao	Nao	4.0	0
189	28	Feminino	Casado	Empregado CLT	6700	Pos-Graduacao	Almoco	Nao	Nao	4.5	0
190	28	Feminino	Casado	Autonomo	2400	Ensino Fund./Medio	Cafe da manha	Nao	Nao	4.7	1
191	25	Feminino	Solteiro	Estudante	2600	Graduacao	Cafe da manha	Nao	Nao	4.5	0
192	28	Masculino	Casado	Estudante	11000	Graduacao	Cafe da manha	Nao	Sim	4.4	1
193	19	Feminino	Casado	Estudante	4000	Sem Instrucao	Cafe da manha	Nao	Nao	4.4	1
194	43	Masculino	Casado	Autonomo	3000	Graduacao	Cafe da manha	Nao	Nao	4.6	1
195	40	Feminino	Casado	Empregado CLT	5700	Ensino Fund./Medio	Jantar	Nao	Sim	4.8	1
196	18	Feminino	Casado	Sem Ocupacao	9000	Ensino Fund./Medio	Cafe da manha	Sim	Nao	4.7	1
197	27	Masculino	Solteiro	Empregado CLT	12600	Ensino Fund./Medio	Lanches	Sim	Nao	4.8	1
198	20	Masculino	Solteiro	Autonomo	13800	Graduacao	Lanches	Nao	Nao	4.7	1
199	34	Feminino	Divorciado	Empregado CLT	7500	Pos-Graduacao	Cafe da manha	Nao	Nao	4.8	1
200	31	Feminino	Solteiro	Sem Ocupacao	11000	Graduacao	Cafe da manha	Nao	Nao	4.4	1
201	29	Masculino	Casado	Sem Ocupacao	5000	Graduacao	Almoco	Nao	Nao	4.5	1
202	23	Feminino	Solteiro	Autonomo	8200	Ensino Fund./Medio	Almoco	Nao	Nao	4.6	1
203	19	Feminino	Solteiro	Estudante	2600	Ensino Fund./Medio	Cafe da manha	Nao	Nao	4.5	1
204	22	Masculino	Divorciado	Estudante	13600	Ensino Fund./Medio	Almoco	Nao	Nao	4.6	1
205	26	Feminino	Solteiro	Estudante	3300	Graduacao	Almoco	Nao	Nao	4.5	0
206	43	Masculino	Casado	Autonomo	12100	Graduacao	Lanches	Nao	Nao	4.9	0
207	22	Feminino	Divorciado	Estudante	7000	Graduacao	Jantar	Sim	Nao	4.9	1
208	41	Feminino	Casado	Empregado CLT	12800	Pos-Graduacao	Cafe da manha	Sim	Sim	4.6	1
209	24	Feminino	Casado	Estudante	2100	Ensino Fund./Medio	Lanches	Nao	Nao	4.7	1
210	43	Feminino	Casado	Empregado CLT	4600	Graduacao	Lanches	Nao	Nao	4.2	1
211	25	Masculino	Solteiro	Empregado CLT	3800	Pos-Graduacao	Almoco	Nao	Nao	4.8	1
212	22	Masculino	Casado	Autonomo	9100	Ensino Fund./Medio	Jantar	Nao	Nao	4.5	1
213	35	Masculino	Casado	Sem Ocupacao	6100	Sem Instrucao	Almoco	Nao	Sim	4.3	0
214	39	Masculino	Casado	Empregado CLT	1200	Ensino Fund./Medio	Lanches	Nao	Nao	4.5	0
215	18	Feminino	Solteiro	Sem Ocupacao	12900	Ensino Fund./Medio	Lanches	Nao	Nao	4.7	1
216	35	Feminino	Divorciado	Empregado CLT	4100	Graduacao	Cafe da manha	Nao	Nao	4.5	1
217	36	Feminino	Casado	Empregado CLT	9100	Graduacao	Almoco	Nao	Nao	4.2	1
218	26	Feminino	Solteiro	Estudante	6000	Sem Instrucao	Almoco	Nao	Nao	4.5	1
219	35	Masculino	Casado	Autonomo	8700	Pos-Graduacao	Almoco	Sim	Nao	4.7	0
220	39	Masculino	Casado	Autonomo	14200	Sem Instrucao	Almoco	Nao	Nao	4.7	1
221	33	Feminino	Casado	Sem Ocupacao	12200	Pos-Graduacao	Jantar	Nao	Nao	4.6	1
222	31	Feminino	Casado	Autonomo	10200	Sem Instrucao	Lanches	Nao	Nao	4.3	0
223	37	Masculino	Casado	Autonomo	2900	Graduacao	Cafe da manha	Nao	Nao	4.7	0
224	24	Masculino	Casado	Empregado CLT	1500	Ensino Fund./Medio	Lanches	Sim	Nao	4.7	1
225	36	Masculino	Casado	Empregado CLT	6800	Graduacao	Almoco	Nao	Nao	4.5	1
226	22	Masculino	Solteiro	Sem Ocupacao	14600	Sem Instrucao	Cafe da manha	Sim	Nao	4.7	1
227	38	Masculino	Solteiro	Estudante	11100	Pos-Graduacao	Jantar	Nao	Nao	4.5	1
228	34	Feminino	Casado	Autonomo	12200	Graduacao	Cafe da manha	Sim	Nao	4.7	1
229	19	Feminino	Solteiro	Empregado CLT	5200	Sem Instrucao	Cafe da manha	Nao	Nao	4.5	1
230	38	Masculino	Casado	Aposentado	8300	Pos-Graduacao	Jantar	Nao	Nao	4.6	1
231	33	Masculino	Casado	Empregado CLT	8900	Graduacao	Jantar	Nao	Nao	4.7	1
232	32	Feminino	Solteiro	Sem Ocupacao	6200	Graduacao	Almoco	Nao	Nao	4.9	1
233	48	Masculino	Casado	Empregado CLT	5300	Graduacao	Almoco	Nao	Nao	4.6	1
234	18	Feminino	Solteiro	Sem Ocupacao	5300	Sem Instrucao	Almoco	Nao	Nao	4.8	1
235	38	Masculino	Divorciado	Estudante	1400	Ensino Fund./Medio	Jantar	Nao	Nao	4.3	0
236	35	Feminino	Casado	Empregado CLT	10900	Graduacao	Lanches	Nao	Nao	4.9	1
237	31	Masculino	Casado	Estudante	9400	Graduacao	Cafe da manha	Nao	Nao	4.0	0
238	40	Feminino	Casado	Sem Ocupacao	12500	Pos-Graduacao	Almoco	Nao	Nao	4.7	1
239	33	Masculino	Casado	Empregado CLT	14100	Pos-Graduacao	Cafe da manha	Nao	Nao	4.6	1
240	32	Masculino	Solteiro	Empregado CLT	7200	Ensino Fund./Medio	Almoco	Nao	Nao	4.5	1
241	30	Feminino	Casado	Estudante	2000	Graduacao	Almoco	Sim	Nao	4.7	1
242	38	Feminino	Solteiro	Empregado CLT	4100	Pos-Graduacao	Almoco	Nao	Nao	4.6	1
243	39	Masculino	Solteiro	Autonomo	3500	Graduacao	Almoco	Nao	Nao	4.4	1
244	35	Feminino	Casado	Empregado CLT	11000	Ensino Fund./Medio	Cafe da manha	Sim	Nao	4.6	1
245	38	Feminino	Divorciado	Empregado CLT	6200	Graduacao	Jantar	Nao	Nao	4.7	0
246	34	Masculino	Casado	Empregado CLT	3300	Pos-Graduacao	Almoco	Nao	Nao	4.8	1
247	31	Masculino	Casado	Estudante	10400	Sem Instrucao	Lanches	Nao	Sim	4.4	1
248	18	Masculino	Solteiro	Empregado CLT	11000	Ensino Fund./Medio	Cafe da manha	Nao	Nao	4.6	1
249	19	Feminino	Casado	Estudante	5700	Sem Instrucao	Lanches	Nao	Nao	4.3	0
250	27	Feminino	Solteiro	Empregado CLT	11700	Ensino Fund./Medio	Lanches	Nao	Nao	4.6	1
251	45	Masculino	Solteiro	Autonomo	8700	Pos-Graduacao	Lanches	Sim	Nao	4.8	1
252	25	Masculino	Solteiro	Autonomo	8200	Pos-Graduacao	Almoco	Sim	Nao	4.6	1
253	25	Masculino	Solteiro	Estudante	9400	Graduacao	Lanches	Nao	Nao	4.3	0
254	38	Feminino	Casado	Empregado CLT	1000	Graduacao	Cafe da manha	Nao	Nao	4.5	0
255	28	Masculino	Casado	Empregado CLT	2500	Pos-Graduacao	Almoco	Nao	Nao	4.6	1
256	46	Masculino	Casado	Sem Ocupacao	8100	Pos-Graduacao	Jantar	Nao	Nao	4.6	1
257	34	Masculino	Casado	Empregado CLT	9200	Graduacao	Almoco	Nao	Nao	4.5	1
