ID_CLIENTE	 CATEGORIA	VALOR_PAGO	NOTA_SATISFACAO
0266	celular	1110	10
0267	televisao	1650	6
0268	computador	2660	7
0269	celular	1500	9
0270	televisao	1600	5
0271	televisao	1810	0
0272	celular	1020	8
0273	televisao	1610	5
0274	celular	1360	7
0275	celular	1070	10
0276	celular	1100	10
0277	celular	1000	10
0278	computador	2000	10
0279	celular	1310	10
0280	celular	1180	10
0281	televisao	1320	6
0282	televisao	2340	7
0283	celular	1480	10
0284	computador	2290	10
0285	computador	1740	10
0286	celular	1160	5
0287	computador	1960	9
0288	celular	1770	10
0289	celular	1170	8
0290	televisao	2170	5
0291	celular	1050	8
0292	celular	1070	9
0293	computador	1580	0
0294	computador	2780	8
0295	celular	1440	8
0296	computador	2660	7
0297	televisao	2030	7
0298	televisao	2530	4
0299	celular	1120	10
0300	computador	1810	5
0301	televisao	1320	6
0302	computador	2770	9
0303	televisao	1320	7
0304	celular	1690	8
0305	televisao	1770	6
0306	celular	1580	9
0307	televisao	1360	5
0308	celular	1080	9
0309	celular	1480	5
0310	celular	1230	10
0311	celular	1050	8
0312	celular	1010	8
0313	computador	1750	6
0314	computador	2490	10
0315	televisao	1390	3
0316	celular	1580	10
0317	celular	1560	7
0318	celular	1260	9
0319	computador	2840	10
0320	televisao	2040	7
0321	celular	1000	10
0322	televisao	1510	3
0323	celular	1680	10
0324	computador	1750	6
0325	celular	1020	9
0326	celular	1080	10
0327	televisao	1340	3
0328	celular	1760	8
0329	computador	1830	0
0330	computador	2680	8
0331	computador	2610	10
0332	computador	1690	5
0333	celular	1020	10
0334	computador	2710	8
0335	celular	1050	7
0336	computador	1900	6
0337	televisao	2870	5
0338	celular	1110	10
0339	celular	1020	8
0340	computador	3330	9
0341	celular	950	5
0342	computador	1680	5
0343	celular	1070	10
0344	celular	1180	9
0345	televisao	2020	10
0346	computador	2400	9
0347	televisao	1360	10
0348	televisao	2510	2
0349	celular	950	10
0350	celular	1030	9
0351	televisao	1470	4
0352	celular	1490	9
0353	computador	1690	1
0354	computador	2320	10
0355	televisao	1470	6
0356	televisao	2090	9
0357	televisao	1860	6
0358	computador	1770	4
0359	celular	1300	9
0360	celular	1090	5
0361	televisao	2400	7
0362	computador	1930	7
0363	televisao	1340	9
0364	celular	1500	10
0365	celular	970	10
0366	televisao	1980	7
0367	celular	1000	10
0368	celular	1170	10
0369	televisao	1880	6
0370	celular	1330	8
0371	celular	1420	8
0372	celular	1560	9
0373	televisao	1950	6
0374	celular	1660	9
0375	celular	1010	7
0376	televisao	1980	6
0377	televisao	1490	3
0378	celular	1180	10
0379	televisao	2580	5
0380	celular	1110	10
0381	televisao	2680	5
0382	televisao	2040	8
0383	celular	1150	6
0384	celular	1020	9
0385	celular	1080	8
0386	televisao	1460	7
0387	celular	940	9
0388	computador	2270	8
0389	celular	1480	9
0390	televisao	1520	8
0391	celular	1540	6
0392	celular	1080	9
0393	celular	1050	10
0394	computador	1610	4
0395	celular	1190	9
0396	televisao	1700	10
0397	computador	1710	2
0398	computador	1660	4
0399	celular	1380	10
0400	celular	1050	8
0401	televisao	2620	3
0402	televisao	1600	8
0403	celular	1080	9
0404	computador	2220	10
0405	computador	1910	6
0406	celular	1340	10
0407	televisao	1880	9
0408	celular	1130	9
0409	computador	1770	2
0410	celular	1120	10
0411	televisao	2140	6
0412	celular	1080	7
0413	celular	1060	9
0414	televisao	1860	10
0415	celular	1150	10
0416	televisao	2500	7
0417	televisao	1950	4
0418	computador	1660	3
0419	celular	1040	9
0420	celular	1160	8
0421	celular	1090	9
0422	celular	1030	10
0423	celular	1070	10
0424	celular	1530	10
0425	celular	1060	10
0426	celular	1550	7
0427	televisao	1300	6
0428	celular	1040	9
0429	celular	1190	9
0430	celular	1070	9
0431	televisao	2310	1
0432	celular	1070	8
0433	televisao	1510	6
0434	celular	1130	6
0435	computador	1850	3
0436	computador	2290	9
0437	televisao	1320	9
0438	televisao	1740	2
0439	televisao	2030	2
0440	celular	1060	9
0441	computador	1960	10
0442	celular	1270	10
0443	televisao	1820	8
0444	computador	2440	8
0445	celular	1620	10
0446	celular	1140	10
0447	computador	2510	9
0448	celular	1480	9
0449	computador	1910	4
0450	computador	1740	3
0451	computador	1850	5
0452	computador	1890	3
0453	computador	2630	9
0454	computador	2310	9
0455	celular	1110	9
0456	celular	1630	10
0457	celular	1670	10
0458	celular	940	10
0459	celular	1050	10
0460	celular	1190	10
0461	televisao	1590	2
0462	televisao	1710	2
0463	televisao	2180	10
0464	celular	1050	9
0465	televisao	2660	10
0466	celular	1170	10
0467	celular	950	9
0468	celular	1130	10
0469	computador	2570	9
0470	celular	1300	8
0471	televisao	2220	10
0472	celular	990	10
0473	celular	1260	9
0474	televisao	1420	3
0475	computador	1590	4
0476	televisao	2020	7
0477	televisao	1660	10
0478	celular	1290	10
0479	televisao	1880	7
0480	televisao	1670	3
0481	televisao	1770	5
0482	celular	1170	8
0483	televisao	1160	6
0484	televisao	1470	5
0485	celular	1130	10
0486	computador	2620	9
0487	celular	1120	10
0488	celular	1090	7
0489	celular	1010	10
0490	televisao	1390	4
0491	computador	1930	4
0492	celular	1430	9
0493	televisao	1560	5
0494	celular	1000	9
0495	celular	1050	9
0496	computador	1760	2
0497	celular	1200	10
0498	televisao	1960	6
0499	celular	940	9
0500	celular	1650	10
0501	celular	960	9
0502	televisao	1840	6
0503	celular	1300	10
0504	televisao	2070	3
0505	celular	1120	10
0506	celular	1050	10
0507	televisao	2320	2
0508	celular	1410	10
0509	celular	1070	9
0510	televisao	1490	0
0511	televisao	1750	6
0512	televisao	1320	9
0513	celular	1640	7
0514	celular	1060	9
0515	celular	970	10
0516	celular	1100	6
0517	celular	980	7
0518	televisao	2580	4
0519	celular	1710	10
0520	celular	1150	8
0521	computador	1850	2
0522	celular	1330	6
0523	celular	1050	8
0524	celular	930	10
0525	celular	1000	10
0526	televisao	1530	2
0527	celular	1100	9
0528	televisao	1390	8
0529	celular	1000	9
0530	celular	1100	7
0531	televisao	1410	3
0532	celular	1160	10
0533	computador	2110	2
0534	televisao	1520	8
0535	celular	1150	10
0536	computador	2610	9
0537	televisao	2180	8
0538	celular	1020	5
0539	televisao	1850	7
0540	celular	1770	10
0541	televisao	2360	8
0542	celular	1120	7
0543	televisao	1910	4
0544	televisao	2720	4
0545	computador	1920	5
0546	celular	1060	9
0547	computador	3240	10
0548	televisao	1470	5
0549	televisao	1660	4
0550	computador	1880	2
0551	celular	1070	10
0552	celular	1550	10
0553	televisao	1760	3
0554	celular	1600	9
0555	celular	970	10
0556	televisao	1420	5
0557	computador	1910	2
0558	televisao	1350	5
0559	televisao	1300	5
0560	computador	1930	9
0561	televisao	2270	5
0562	celular	1010	7
0563	computador	2990	9
0564	televisao	1660	4
0565	computador	2660	10
0566	celular	1100	10
0567	televisao	1490	10
0568	celular	1470	8
0569	televisao	1850	9
0570	celular	1010	10
0571	televisao	1350	4
0572	celular	1150	10
0573	celular	1090	7
0574	celular	1070	9
0575	celular	1020	9
0576	televisao	1810	4
0577	televisao	2360	9
0578	celular	1430	10
0579	celular	1040	10
0580	celular	1030	7
0581	celular	1150	10
0582	computador	2790	9
0583	televisao	1250	6
0584	celular	1060	8
0585	celular	990	6
0586	televisao	1400	4
0587	celular	1370	9
0588	celular	1690	10
0589	computador	1850	2
0590	computador	2290	9
0591	computador	1650	6
0592	celular	1070	6
0593	celular	1490	10
0594	computador	2400	8
0595	celular	1330	10
0596	televisao	1580	6
0597	televisao	1590	3
0598	celular	1080	10
0599	televisao	1440	10
0600	celular	1080	8
0601	celular	1570	9
0602	celular	1040	10
0603	celular	1450	10
0604	celular	960	10
0605	televisao	1520	8
0606	celular	1060	10
0607	computador	3180	9
0608	computador	3130	10
0609	computador	1880	1
0610	televisao	2430	6
0611	celular	1110	10
0612	computador	1570	3
0613	celular	1440	3
0614	computador	2400	10
0615	celular	1670	9
0616	celular	1640	9
0617	celular	1750	7
0618	celular	1120	9
0619	celular	1290	7
0620	computador	1810	3
0621	televisao	1660	8
0622	televisao	1550	5
0623	celular	1380	10
0624	televisao	1740	9
0625	celular	1000	6
0626	celular	1280	9
0627	celular	1250	9
0628	celular	1160	10
0629	computador	3100	8
0630	celular	1030	9
0631	televisao	1740	7
0632	televisao	1240	9
0633	celular	1720	10
0634	televisao	1850	7
0635	televisao	1220	5
0636	televisao	3030	7
0637	computador	2040	2
0638	celular	1220	9
0639	celular	1040	6
0640	televisao	2070	10
0641	televisao	1940	8
0642	televisao	3020	9
0643	celular	1000	9
0644	computador	2870	8
0645	computador	1940	5
0646	computador	2660	10
0647	celular	1100	9
0648	televisao	1380	9
0649	computador	1740	4
0650	televisao	2010	8
0651	computador	1770	4
0652	celular	1130	9
0653	celular	1390	10
0654	celular	930	5
0655	celular	990	9
0656	celular	920	10
0657	computador	2460	9
0658	computador	1920	6
0659	televisao	1400	10
0660	celular	1050	10
0661	celular	1060	9
0662	celular	1030	8
0663	computador	1960	5
0664	celular	1640	10
0665	celular	1640	7
0666	televisao	1470	4
0667	celular	1140	10
0668	televisao	1610	8
0669	celular	1060	9
0670	celular	1120	7
0671	computador	1960	3
0672	computador	1740	2
0673	celular	980	6
0674	celular	1100	10
0675	celular	1350	10
0676	celular	970	9
0677	celular	1270	9
0678	televisao	2090	6
0679	computador	1680	2
0680	computador	1740	5
0681	computador	2980	9
0682	celular	1050	9
0683	computador	1770	3
0684	celular	1590	9
0685	celular	1540	7
0686	celular	970	9
0687	celular	1080	10
0688	televisao	1770	4
0689	televisao	1310	5
0690	celular	1660	10
0691	computador	3170	8
0692	celular	950	8
0693	televisao	1980	4
0694	computador	2870	10
0695	celular	1400	10
0696	celular	1430	10
0697	celular	1640	9
0698	computador	2920	10
0699	televisao	1520	2
0700	celular	1770	10
0701	televisao	1460	8
0702	celular	1050	4
0703	celular	990	8
0704	celular	1820	10
0705	celular	1090	10
0706	televisao	1850	9
0707	celular	1030	8
0708	celular	1150	9
0709	computador	1980	4
0710	televisao	1810	10
0711	celular	1590	10
0712	televisao	2400	8
0713	computador	1880	6
0714	celular	1050	6
0715	celular	1260	10
0716	celular	920	10
0717	celular	1110	10
0718	computador	2590	8
0719	celular	1130	10
0720	celular	970	8
0721	televisao	2280	9
0722	celular	1060	10
0723	celular	1090	10
0724	computador	2320	10
0725	celular	1550	6
0726	televisao	1890	5
0727	celular	1540	9
0728	computador	1690	9
0729	celular	1300	10
0730	celular	1490	9
0731	televisao	1690	7
0732	celular	1720	9
0733	celular	1560	10
0734	celular	1040	10
0735	celular	1830	9
0736	celular	980	8
0737	celular	1080	8
0738	computador	2850	10
0739	computador	1690	5
0740	celular	1180	8
0741	televisao	2440	8
0742	celular	1130	8
0743	celular	970	7
0744	televisao	1500	9
0745	celular	1140	10
0746	televisao	2570	5
0747	celular	1570	10
0748	televisao	1550	6
0749	celular	1050	10
0750	televisao	2390	9
0751	celular	930	10
0752	celular	1510	7
0753	celular	1110	10
0754	celular	1020	1
0755	computador	2200	10
0756	televisao	2820	8
0757	celular	940	10
0758	televisao	1460	4
0759	celular	1120	8
0760	computador	1780	2
0761	celular	1140	9
0762	celular	990	10
0763	computador	1700	2
0764	televisao	1830	4
0765	televisao	1680	7
0766	televisao	1590	10
0767	celular	1560	7
0768	celular	1230	10
0769	celular	1170	10
0770	celular	1110	10
0771	computador	2600	8
0772	celular	1300	7
0773	celular	1660	10
0774	celular	1480	4
0775	televisao	1370	5
0776	celular	930	9
0777	computador	1930	2
0778	televisao	1690	6
0779	computador	1750	3
0780	televisao	1490	8
0781	celular	1520	8
0782	celular	1510	10
0783	televisao	1360	1
0784	computador	2680	9
0785	celular	1700	10
0786	celular	1160	8
0787	celular	1150	10
0788	televisao	2630	5
0789	celular	1550	9
0790	computador	1820	4
0791	computador	2640	10
0792	celular	1200	4
0793	televisao	1360	4
0794	celular	1340	8
0795	celular	1110	10
0796	televisao	1730	5
0797	celular	1090	6
0798	televisao	1820	5
0799	celular	1610	10
0800	televisao	1990	8
0801	celular	1790	5
0802	celular	1080	10
0803	televisao	1900	10
0804	computador	1690	3
0805	celular	1100	9
0806	computador	2570	9
0807	televisao	1410	8
0808	celular	1060	10
0809	televisao	2520	8
0810	computador	1740	4
0811	televisao	1600	0
0812	celular	990	10
0813	celular	960	10
0814	televisao	1610	1
0815	celular	1110	9
0816	celular	1040	10
0817	computador	1960	5
0818	computador	1520	9
0819	computador	1960	10
0820	celular	970	10
0821	televisao	2390	8
0822	celular	1300	10
0823	televisao	1830	8
0824	celular	1050	9
0825	computador	1740	6
0826	computador	2200	8
0827	celular	1140	8
0828	televisao	1570	6
0829	televisao	1680	1
0830	celular	930	9
0831	celular	1060	6
0832	celular	1410	10
0833	celular	1020	10
0834	computador	2840	9
0835	televisao	1580	4
0836	computador	1710	4
0837	televisao	2250	5
0838	computador	2690	8
0839	televisao	1640	10
0840	televisao	1840	8
0841	celular	1080	8
0842	computador	2990	9
0843	televisao	2650	9
0844	televisao	1740	9
0845	celular	1450	10
0846	televisao	1590	5
0847	celular	920	9
0848	celular	1440	10
0849	televisao	1290	1
0850	celular	980	8
0851	celular	1390	9
0852	celular	1050	5
0853	televisao	1270	9
0854	celular	1260	9
0855	celular	1090	9
0856	celular	1080	9
0857	televisao	2040	4
0858	celular	990	8
0859	celular	1780	8
0860	computador	1830	1
0861	celular	960	9
0862	computador	2720	10
0863	computador	1840	2
0864	televisao	1810	8
0865	celular	1320	9
0866	televisao	1340	7
0867	televisao	1810	10
0868	televisao	1380	10
0869	computador	1650	4
0870	celular	940	9
0871	computador	2770	10
0872	televisao	2240	2
0873	celular	1150	8
0874	celular	1470	10
0875	televisao	2190	7
0876	televisao	1600	7
0877	celular	1120	7
0878	televisao	1500	3
0879	televisao	2090	6
0880	televisao	2150	7
0881	computador	1740	2
0882	celular	1380	10
0883	computador	1960	8
0884	celular	1430	10
0885	televisao	2700	5
0886	celular	950	10
0887	televisao	2050	9
0888	celular	980	10
0889	celular	1050	8
0890	celular	1100	9
0891	celular	1540	9
0892	computador	2680	9
0893	computador	2620	10
0894	celular	1050	7
0895	computador	1770	5
0896	computador	3050	9
0897	celular	1600	9
0898	celular	1050	9
0899	televisao	1480	5
0900	computador	3120	10
0901	celular	1310	10
0902	televisao	1760	3
0903	televisao	1600	6
0904	computador	2880	10
0905	computador	1870	6
0906	celular	1390	3
0907	televisao	2160	6
0908	televisao	1290	4
0909	televisao	1780	8
0910	televisao	1800	6
0911	televisao	2270	9
0912	celular	1160	8
0913	televisao	1700	5
0914	celular	1490	8
0915	celular	990	6
0916	celular	1090	9
0917	celular	1090	7
0918	computador	2450	8
0919	celular	1010	5
0920	televisao	1770	6
0921	televisao	1420	9
0922	celular	1130	10
0923	computador	3170	10
0924	televisao	2160	10
0925	televisao	1620	9
0926	televisao	1990	8
0927	celular	1440	7
0928	televisao	2240	10
0929	celular	1020	7
0930	televisao	1860	5
0931	televisao	1910	3
0932	celular	1050	10
0933	celular	1220	10
0934	celular	970	9
0935	televisao	1750	7
0936	computador	3180	9
0937	computador	1750	5
0938	celular	980	7
0939	computador	1870	4
0940	computador	2180	8
0941	televisao	1390	7
0942	televisao	1570	2
0943	televisao	2040	6
0944	computador	2050	3
0945	televisao	1460	6
0946	televisao	1410	2
0947	celular	1190	7
0948	celular	990	10
0949	computador	2700	8
0950	computador	2940	9
0951	televisao	1430	4
0952	computador	2420	9
0953	celular	1120	10
0954	celular	1340	8
0955	celular	1000	9
0956	celular	1040	8
0957	celular	970	5
0958	celular	1320	10
0959	celular	1170	9
0960	celular	1160	9
0961	celular	1040	8
0962	celular	970	10
0963	computador	2370	9
0964	computador	1690	2
0965	celular	1140	9
0966	celular	1180	10
0967	celular	1130	10
0968	celular	1090	7
0969	celular	1260	8
0970	televisao	1470	4
0971	computador	3290	8
0972	televisao	1360	1
0973	computador	1730	0
0974	televisao	2020	9
0975	celular	1060	10
0976	computador	1940	6
0977	televisao	2000	9
0978	celular	1140	9
0979	televisao	1720	10
0980	televisao	2340	5
0981	televisao	1740	10
0982	televisao	1330	7
0983	televisao	1770	4
0984	celular	970	9
0985	celular	1080	8
0986	computador	1820	4
0987	computador	1810	1
0988	televisao	1870	7
0989	celular	1370	8
0990	celular	950	10
0991	televisao	1600	8
0992	televisao	1680	9
0993	televisao	3260	3
0994	computador	1840	8
0995	computador	1830	4
0996	computador	2880	9
0997	celular	1140	7
0998	celular	1480	8
0999	computador	1730	0
1000	televisao	1880	6
1001	celular	1040	10
1002	televisao	2030	6
1003	celular	960	9
1004	computador	2080	9
1005	celular	1600	9
1006	celular	1030	9
1007	televisao	1450	4
1008	televisao	1680	9
1009	celular	980	7
1010	celular	1100	8
1011	celular	1040	10
1012	televisao	1350	7
1013	televisao	1300	10
1014	celular	1440	9
1015	celular	1440	10
1016	televisao	2000	3
1017	celular	1070	8
1018	celular	1260	9
1019	celular	1070	9
1020	televisao	1950	7
1021	computador	1750	6
1022	televisao	1780	10
1023	celular	1140	10
1024	celular	1450	10
1025	computador	2770	9
1026	celular	1400	10
1027	computador	1870	4
1028	celular	1070	9
1029	televisao	1780	7
1030	televisao	1390	4
1031	computador	1970	3
1032	celular	1050	9
1033	celular	1030	9
1034	celular	1040	7
1035	computador	2770	9
1036	celular	1290	8
1037	televisao	2580	6
1038	computador	1910	5
1039	televisao	2470	10
1040	computador	3360	10
1041	televisao	1620	4
1042	televisao	1560	6
1043	computador	2200	10
1044	televisao	1650	5
1045	celular	930	10
1046	celular	1060	10
1047	celular	1470	9
1048	celular	1090	8
1049	celular	1090	8
1050	celular	1690	7
1051	televisao	1950	3
1052	celular	960	10
1053	computador	1830	5
1054	televisao	1590	5
1055	televisao	1220	4
1056	celular	1170	6
1057	computador	1880	4
1058	televisao	2590	9
1059	computador	1780	0
1060	televisao	1790	10
1061	celular	1480	10
1062	celular	1060	9
1063	televisao	1710	6
1064	celular	1090	10
1065	celular	1040	7
1066	televisao	2120	8
1067	celular	1220	6
1068	celular	1070	10
1069	celular	1190	10
1070	computador	1910	3
1071	televisao	1910	4
1072	celular	1030	10
1073	televisao	1750	8
1074	celular	1100	5
1075	celular	1020	9
1076	televisao	2400	9
1077	computador	1720	6
1078	computador	2570	8
1079	televisao	1610	0
1080	celular	1120	10
1081	celular	1650	9
1082	celular	1230	5
1083	celular	1220	6
1084	celular	1110	9
1085	televisao	2230	9
1086	celular	1650	8
1087	televisao	1860	9
1088	televisao	2710	8
1089	celular	1600	10
1090	celular	1120	5
1091	celular	1140	9
1092	televisao	2380	6
1093	computador	2790	8
1094	televisao	1900	7
1095	televisao	1740	5
1096	celular	990	5
1097	celular	1060	8
1098	computador	2180	10
1099	celular	1130	9
1100	celular	1380	7
1101	celular	1120	10
1102	computador	2750	9
1103	computador	2420	10
1104	celular	1150	9
1105	televisao	1230	7
1106	televisao	1540	8
1107	celular	1020	10
1108	televisao	1270	8
1109	celular	1560	10
1110	computador	1780	1
1111	celular	1100	10
1112	televisao	2170	4
1113	celular	970	9
1114	computador	2070	9
1115	celular	1500	8
1116	computador	1840	5
1117	celular	1020	10
1118	televisao	2640	4
1119	televisao	1490	10
1120	computador	1770	6
1121	celular	1380	6
1122	celular	1050	10
1123	celular	1110	10
1124	celular	1110	8
1125	televisao	1410	5
1126	computador	2510	10
1127	computador	1680	6
1128	celular	1490	10
1129	celular	1280	10
1130	celular	1440	9
1131	celular	980	8
1132	computador	2790	7
1133	televisao	1280	2
1134	celular	1170	10
1135	celular	1090	8
1136	celular	1060	10
1137	celular	1150	10
1138	televisao	1850	3
1139	computador	1700	2
1140	celular	1760	10
1141	televisao	1560	9
1142	celular	1220	4
1143	televisao	1590	8
1144	celular	1440	9
1145	computador	1680	9
1146	computador	1810	6
1147	celular	990	7
1148	computador	1870	7
1149	televisao	1280	10
1150	celular	1160	8
1151	televisao	1770	5
1152	celular	1410	8
1153	computador	1770	3
1154	celular	1670	10
1155	televisao	2120	9
1156	televisao	1510	7
1157	computador	2920	9
1158	celular	1020	8
1159	celular	1060	8
1160	celular	1160	9
1161	celular	1110	5
1162	televisao	1500	5
1163	celular	940	3
1164	computador	1740	9
1165	televisao	2580	1
1166	celular	1080	10
1167	computador	3120	9
1168	televisao	1910	10
1169	celular	1430	9
1170	computador	1680	4
1171	celular	1120	8
1172	celular	1100	10
1173	computador	2600	10
1174	televisao	1710	5
1175	computador	2330	9
1176	celular	920	10
1177	celular	1000	10
1178	computador	1770	3
1179	celular	1050	10
1180	televisao	1730	9
1181	televisao	2290	7
1182	computador	1790	2
1183	televisao	2220	0
1184	televisao	1910	5
1185	computador	2720	9
1186	celular	1320	10
1187	televisao	2600	8
1188	celular	1110	10
1189	televisao	1800	9
1190	celular	1050	9
1191	televisao	2730	1
1192	celular	1000	9
1193	celular	1660	9
1194	computador	1870	9
1195	computador	1920	6
1196	celular	1120	9
1197	computador	2050	2
1198	televisao	1930	10
1199	celular	1030	8
1200	computador	1950	2
1201	computador	1820	2
1202	televisao	2590	6
1203	computador	1830	3
1204	celular	1070	9
1205	televisao	2070	7
1206	televisao	1950	8
1207	celular	1460	9
1208	celular	1070	9
1209	televisao	2590	8
1210	computador	1730	1
1211	celular	1500	8
1212	televisao	1830	7
1213	celular	1090	9
1214	televisao	1520	7
1215	celular	1050	4
1216	televisao	1550	8
1217	celular	970	5
1218	celular	1160	7
1219	celular	1480	7
1220	televisao	1640	3
1221	computador	1890	2
1222	celular	1100	9
1223	celular	1090	9
1224	celular	1100	10
1225	celular	1120	8
1226	celular	1050	10
1227	celular	1360	6
1228	celular	1100	9
1229	celular	1440	6
1230	computador	1830	3
1231	celular	1660	6
1232	computador	2580	9
1233	celular	930	9
1234	computador	1720	4
1235	celular	1020	8
1236	celular	1100	5
1237	celular	1160	10
